probe_country,service_id,service_class,deployment_type,total_valid_traces,mappable_traces,submarine_exposed_traces,service_physical_exposure_rate,mappable_trace_rate,unique_probes,unique_probe_asns,unique_target_ips,unique_target_asns,service_entry_resolution_rate,sufficient_trace_observation,auditable_paper_case,observation_sufficiency_reason,failed_thresholds,analysis_scope
GG,B-Root,dns_root,anycast,1,1,1,1.0,1.0,1,1,1,1,0.0,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",probe_country_service
GH,B-Root,dns_root,anycast,4,4,3,0.75,1.0,3,3,1,1,0.0,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes","minimum_mappable_segments,minimum_unique_probes",probe_country_service
GP,B-Root,dns_root,anycast,2,2,1,0.5,1.0,2,2,1,1,0.0,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",probe_country_service
GQ,B-Root,dns_root,anycast,1,1,0,0.0,1.0,1,1,1,1,0.0,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",probe_country_service
GR,B-Root,dns_root,anycast,75,70,0,0.0,0.9333333333333333,73,26,1,1,0.0,True,True,auditable,,probe_country_service
GT,B-Root,dns_root,anycast,4,4,0,0.0,1.0,4,3,1,1,0.0,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes","minimum_mappable_segments,minimum_unique_probes",probe_country_service
GU,B-Root,dns_root,anycast,9,8,8,0.8888888888888888,0.8888888888888888,9,5,1,1,0.0,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes","minimum_mappable_segments,minimum_unique_probes",probe_country_service
HK,B-Root,dns_root,anycast,52,50,47,0.9038461538461539,0.9615384615384616,49,32,1,1,0.0,True,True,auditable,,probe_country_service
HN,B-Root,dns_root,anycast,8,8,4,0.5,1.0,8,6,1,1,0.0,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes","minimum_mappable_segments,minimum_unique_probes",probe_country_service
HR,B-Root,dns_root,anycast,43,36,0,0.0,0.8372093023255814,42,20,1,1,0.0,True,True,auditable,,probe_country_service
HT,B-Root,dns_root,anycast,1,1,0,0.0,1.0,1,1,1,1,0.0,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",probe_country_service
