country,total_mappable_segments,top1_network_transition_share,top2_network_transition_share,top3_network_transition_share,network_transition_entropy,network_transition_normalized_entropy,effective_network_transition_count,network_transition_concentration_tier,top1_corridor_share,top2_corridor_share,top3_corridor_share,corridor_entropy,corridor_normalized_entropy,effective_corridor_count,corridor_minus_network_normalized_entropy,normalized_entropy_reduction,corridor_concentration_tier,cross_layer_distribution_class,country_fallback_share,auditable_cross_layer_case,sufficient_trace_observation,sufficient_corridor_observation,sufficient_network_transition_resolution,auditable_paper_case,observation_sufficiency_reason,failed_thresholds,unique_probes,unique_probe_asns,domestic_segment_share,international_segment_share,analysis_scope
NZ,102,0.47058823529411764,0.6666666666666666,0.7549019607843137,1.7942422127339588,0.6798799679715699,6.014914968394543,broad_network_transition_distribution,0.45588235294117646,0.9117647058823529,0.946078431372549,1.0383217755328449,0.5794984167044396,2.824472935063601,-0.10038155126713033,0.10038155126713033,moderate_corridor_observation_concentration,network_broad_physical_concentrated,0.47058823529411764,False,True,True,False,False,insufficient_maximum_country_fallback_share,maximum_country_fallback_share,23,10,1.0,0.0,transition_near_country
PA,2,1.0,1.0,1.0,-0.0,0.0,1.0,severe_network_transition_concentration,1.0,1.0,1.0,-0.0,0.0,1.0,0.0,0.0,severe_corridor_observation_concentration,network_and_physical_both_concentrated,0.0,False,False,False,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,0.0,1.0,transition_near_country
PE,6,0.6666666666666666,1.0,1.0,0.6365141682948128,0.9182958340544894,1.8898815748423097,moderate_network_transition_concentration,1.0,1.0,1.0,-0.0,0.0,1.0,-0.9182958340544894,0.9182958340544894,severe_corridor_observation_concentration,network_and_physical_both_concentrated,0.0,False,False,False,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes","minimum_mappable_segments,minimum_unique_probes",4,4,0.0,1.0,transition_near_country
PG,2,1.0,1.0,1.0,-0.0,0.0,1.0,severe_network_transition_concentration,1.0,1.0,1.0,-0.0,0.0,1.0,0.0,0.0,severe_corridor_observation_concentration,network_and_physical_both_concentrated,1.0,False,False,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns,maximum_country_fallback_share","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns,maximum_country_fallback_share",1,1,0.0,1.0,transition_near_country
PH,50,0.18,0.32,0.44,2.4431713912586863,0.925774276989606,11.50948400128812,broad_network_transition_distribution,0.36,0.64,0.76,1.6748049604561235,0.7622365859781863,5.337753974440864,-0.16353769101141968,0.16353769101141968,broad_corridor_observation_distribution,network_and_physical_both_broad,0.12,True,True,True,True,True,auditable,,24,16,0.36,0.64,transition_near_country
PR,4,0.5,1.0,1.0,0.6931471805599453,1.0,2.0,moderate_network_transition_concentration,1.0,1.0,1.0,-0.0,0.0,1.0,-1.0,1.0,severe_corridor_observation_concentration,network_and_physical_both_concentrated,0.0,False,False,False,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",2,2,0.0,1.0,transition_near_country
PT,234,0.17094017094017094,0.31196581196581197,0.452991452991453,2.7193071688655985,0.8346306308397264,15.169808487622118,broad_network_transition_distribution,0.9914529914529915,1.0,1.0,0.04921271968375354,0.07099894663640992,1.050443777043653,-0.7636316842033165,0.7636316842033165,severe_corridor_observation_concentration,network_broad_physical_concentrated,0.017094017094017096,True,True,True,True,True,auditable,,90,27,1.0,0.0,transition_near_country
RO,8,0.75,1.0,1.0,0.5623351446188083,0.8112781244591328,1.7547653506033232,moderate_network_transition_concentration,1.0,1.0,1.0,-0.0,0.0,1.0,-0.8112781244591328,0.8112781244591328,severe_corridor_observation_concentration,network_and_physical_both_concentrated,0.0,False,False,False,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",4,1,0.0,1.0,transition_near_country
SE,434,0.2073732718894009,0.3387096774193548,0.44930875576036866,2.4509245739724257,0.8479617084815406,11.599065957584223,broad_network_transition_distribution,0.6382488479262672,0.7338709677419355,0.8248847926267281,1.2754941917163458,0.613383048357283,3.580470411770709,-0.23457866012425765,0.23457866012425765,weak_corridor_observation_concentration,network_and_physical_both_broad,0.21658986175115208,True,True,True,True,True,auditable,,123,36,0.6105990783410138,0.38940092165898615,transition_near_country
SG,1163,0.31900257953568356,0.5133276010318143,0.5631986242476354,2.834219754594605,0.6671114343127884,17.017117591369974,broad_network_transition_distribution,0.33276010318142735,0.6655202063628547,0.998280309544282,1.1093881069737834,0.8002543601761362,3.0325022596309634,0.13314292586334775,-0.13314292586334775,weak_corridor_observation_concentration,network_and_physical_both_broad,0.19604471195184867,True,True,True,True,True,auditable,,195,97,0.998280309544282,0.0017196904557179708,transition_near_country
SN,1,1.0,1.0,1.0,-0.0,0.0,1.0,severe_network_transition_concentration,0.5,1.0,1.0,0.6931471805599453,1.0,2.0,1.0,-1.0,moderate_corridor_observation_concentration,network_and_physical_both_concentrated,0.0,False,False,False,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,0.0,1.0,transition_near_country
TG,2,1.0,1.0,1.0,-0.0,0.0,1.0,severe_network_transition_concentration,1.0,1.0,1.0,-0.0,0.0,1.0,0.0,0.0,severe_corridor_observation_concentration,network_and_physical_both_concentrated,1.0,False,False,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns,maximum_country_fallback_share","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns,maximum_country_fallback_share",1,1,0.0,1.0,transition_near_country
TH,2,1.0,1.0,1.0,-0.0,0.0,1.0,severe_network_transition_concentration,0.5,1.0,1.0,0.6931471805599453,1.0,2.0,1.0,-1.0,moderate_corridor_observation_concentration,network_and_physical_both_concentrated,0.0,False,False,False,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,0.0,1.0,transition_near_country
TO,2,1.0,1.0,1.0,-0.0,0.0,1.0,severe_network_transition_concentration,1.0,1.0,1.0,-0.0,0.0,1.0,0.0,0.0,severe_corridor_observation_concentration,network_and_physical_both_concentrated,0.0,False,False,False,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,0.0,1.0,transition_near_country
