unit_id,physical_level,feasible_candidate_count,feasible_corridor_count,candidate_entropy_uniform,corridor_entropy_uniform,effective_candidate_count_uniform,effective_corridor_count_uniform,physical_candidate_diversity_upper_bound,num_feasible_links,num_probes,candidate_identifier_column,diversity_weighting,physical_candidate_diversity_score,candidate_entropy,effective_num_candidates,dominant_candidate_support_share
src_country=FJ|msm_id=5051|file_name=ripe_atlas_5051_20251201.json,cable,5,6,1.6094379124341003,1.791759469228055,5.0,6.0,5.0,41,3,cable_id,uniform_feasible_set,5.0,1.6094379124341003,5.0,0.2
src_country=FR|msm_id=5051|file_name=ripe_atlas_5051_20251201.json,cable,24,66,3.1780538303479458,4.189654742026425,24.0,66.0,24.0,21317,8090,cable_id,uniform_feasible_set,24.0,3.1780538303479458,24.0,0.041666666666666664
src_country=GB|msm_id=5051|file_name=ripe_atlas_5051_20251201.json,cable,18,142,2.8903717578961645,4.955827057601261,18.0,142.0,18.0,1005,762,cable_id,uniform_feasible_set,18.0,2.8903717578961645,18.0,0.05555555555555555
src_country=GG|msm_id=5051|file_name=ripe_atlas_5051_20251201.json,cable,3,8,1.0986122886681098,2.0794415416798357,3.0,8.0,3.0,12,12,cable_id,uniform_feasible_set,3.0,1.0986122886681098,3.0,0.3333333333333333
src_country=GH|msm_id=5051|file_name=ripe_atlas_5051_20251201.json,cable,6,4,1.791759469228055,1.3862943611198906,6.0,4.0,6.0,371,20,cable_id,uniform_feasible_set,6.0,1.791759469228055,6.0,0.16666666666666666
src_country=GP|msm_id=5051|file_name=ripe_atlas_5051_20251201.json,cable,4,15,1.3862943611198906,2.70805020110221,4.0,15.0,4.0,96,1,cable_id,uniform_feasible_set,4.0,1.3862943611198906,4.0,0.25
src_country=GQ|msm_id=5051|file_name=ripe_atlas_5051_20251201.json,cable,3,3,1.0986122886681098,1.0986122886681098,3.0,3.0,3.0,99,4,cable_id,uniform_feasible_set,3.0,1.0986122886681098,3.0,0.3333333333333333
src_country=GR|msm_id=5051|file_name=ripe_atlas_5051_20251201.json,cable,7,13,1.9459101490553132,2.5649493574615367,7.0,13.0,7.0,47,32,cable_id,uniform_feasible_set,7.0,1.9459101490553132,7.0,0.14285714285714285
src_country=GT|msm_id=5051|file_name=ripe_atlas_5051_20251201.json,cable,2,4,0.6931471805599453,1.3862943611198906,2.0,4.0,2.0,410,12,cable_id,uniform_feasible_set,2.0,0.6931471805599453,2.0,0.5
src_country=GU|msm_id=5051|file_name=ripe_atlas_5051_20251201.json,cable,14,30,2.6390573296152584,3.4011973816621555,14.0,30.0,14.0,689,73,cable_id,uniform_feasible_set,14.0,2.6390573296152584,14.0,0.07142857142857142
src_country=HK|msm_id=5051|file_name=ripe_atlas_5051_20251201.json,cable,15,60,2.70805020110221,4.0943445622221,15.0,60.0,15.0,12527,6199,cable_id,uniform_feasible_set,15.0,2.70805020110221,15.0,0.06666666666666667
src_country=HN|msm_id=5051|file_name=ripe_atlas_5051_20251201.json,cable,6,11,1.791759469228055,2.3978952727983707,6.0,11.0,6.0,514,67,cable_id,uniform_feasible_set,6.0,1.791759469228055,6.0,0.16666666666666666
src_country=ID|msm_id=5051|file_name=ripe_atlas_5051_20251201.json,cable,61,144,4.110873864173311,4.969813299576001,61.0,144.0,61.0,12738,3203,cable_id,uniform_feasible_set,61.0,4.110873864173311,61.0,0.01639344262295082
src_country=IE|msm_id=5051|file_name=ripe_atlas_5051_20251201.json,cable,9,14,2.1972245773362196,2.6390573296152584,9.0,14.0,9.0,612,110,cable_id,uniform_feasible_set,9.0,2.1972245773362196,9.0,0.1111111111111111
src_country=IL|msm_id=5051|file_name=ripe_atlas_5051_20251201.json,cable,4,25,1.3862943611198906,3.2188758248682006,4.0,25.0,4.0,2223,729,cable_id,uniform_feasible_set,4.0,1.3862943611198906,4.0,0.25
src_country=IM|msm_id=5051|file_name=ripe_atlas_5051_20251201.json,cable,5,7,1.6094379124341003,1.9459101490553132,5.0,7.0,5.0,63,5,cable_id,uniform_feasible_set,5.0,1.6094379124341003,5.0,0.2
src_country=IN|msm_id=5051|file_name=ripe_atlas_5051_20251201.json,cable,14,22,2.6390573296152584,3.091042453358316,14.0,22.0,14.0,2419,314,cable_id,uniform_feasible_set,14.0,2.6390573296152584,14.0,0.07142857142857142
src_country=IT|msm_id=5051|file_name=ripe_atlas_5051_20251201.json,cable,19,113,2.9444389791664403,4.727387818712341,19.0,113.0,19.0,1708,854,cable_id,uniform_feasible_set,19.0,2.9444389791664403,19.0,0.05263157894736842
src_country=JE|msm_id=5051|file_name=ripe_atlas_5051_20251201.json,cable,3,8,1.0986122886681098,2.0794415416798357,3.0,8.0,3.0,3,3,cable_id,uniform_feasible_set,3.0,1.0986122886681098,3.0,0.3333333333333333
src_country=JM|msm_id=5051|file_name=ripe_atlas_5051_20251201.json,cable,4,12,1.3862943611198906,2.4849066497880004,4.0,12.0,4.0,21,7,cable_id,uniform_feasible_set,4.0,1.3862943611198906,4.0,0.25
