network_definition,physical_level,candidate_view,projection_subset,target_units,strict_target_units,target_jaccard_vs_baseline,target_recall_vs_baseline,quadrant_agreement_rate,rank_gap_spearman_vs_baseline,pdb_country_coverage,median_pdb_interconnection_footprint_percentile,dominant_pdb_interconnection_footprint_tier,interpretation
combined_supplementary,corridor,conservative_set,all,12,1,0.4444444444444444,0.5714285714285714,0.8596491228070176,0.7976092126806055,114,0.6385869565217391,high,"combined_supplementary network definition, corridor-level, conservative feasible-set view, all projections"
combined_supplementary,corridor,conservative_set,strong_only,3,0,0.0,0.0,0.47368421052631576,0.13043479518744389,19,0.8695652173913043,high,"combined_supplementary network definition, corridor-level, conservative feasible-set view, strong projections only"
combined_supplementary,corridor,conservative_set,strong_or_moderate,12,1,0.04,0.07142857142857142,0.53125,-0.006105523922839466,64,0.7391304347826086,high,"combined_supplementary network definition, corridor-level, conservative feasible-set view, strong/moderate projections only"
combined_supplementary,corridor,weighted_support,all,11,1,0.08695652173913043,0.14285714285714285,0.6551724137931034,0.39301095115456725,87,0.6847826086956522,high,"combined_supplementary network definition, corridor-level, weighted support view, all projections"
combined_supplementary,corridor,weighted_support,strong_only,3,0,0.0,0.0,0.47368421052631576,-0.030742207619936273,19,0.8695652173913043,high,"combined_supplementary network definition, corridor-level, weighted support view, strong projections only"
combined_supplementary,corridor,weighted_support,strong_or_moderate,8,1,0.047619047619047616,0.07142857142857142,0.609375,0.010010996377596849,64,0.7391304347826086,high,"combined_supplementary network definition, corridor-level, weighted support view, strong/moderate projections only"
composite,cable,conservative_set,all,12,1,0.23809523809523808,0.35714285714285715,0.7105263157894737,0.4701139898947428,114,0.6385869565217391,high,"composite network definition, cable-level, conservative feasible-set view, all projections"
composite,cable,conservative_set,strong_only,5,0,0.0,0.0,0.3684210526315789,0.2108037093938487,19,0.8695652173913043,high,"composite network definition, cable-level, conservative feasible-set view, strong projections only"
composite,cable,conservative_set,strong_or_moderate,6,1,0.05263157894736842,0.07142857142857142,0.609375,-0.02635978475225843,64,0.7391304347826086,high,"composite network definition, cable-level, conservative feasible-set view, strong/moderate projections only"
composite,cable,weighted_support,all,11,1,0.08695652173913043,0.14285714285714285,0.6091954022988506,0.25346464266761737,87,0.6847826086956522,high,"composite network definition, cable-level, weighted support view, all projections"
composite,cable,weighted_support,strong_only,5,0,0.0,0.0,0.3684210526315789,0.21939449237996528,19,0.8695652173913043,high,"composite network definition, cable-level, weighted support view, strong projections only"
composite,cable,weighted_support,strong_or_moderate,8,1,0.047619047619047616,0.07142857142857142,0.59375,0.0015802129868860396,64,0.7391304347826086,high,"composite network definition, cable-level, weighted support view, strong/moderate projections only"
composite,corridor,conservative_set,all,12,1,0.4444444444444444,0.5714285714285714,0.8596491228070176,0.7976092126806055,114,0.6385869565217391,high,"composite network definition, corridor-level, conservative feasible-set view, all projections"
composite,corridor,conservative_set,strong_only,3,0,0.0,0.0,0.47368421052631576,0.13043479518744389,19,0.8695652173913043,high,"composite network definition, corridor-level, conservative feasible-set view, strong projections only"
