physical_level,network_physical_mismatch_category,unit_count,unit_share,mode,network_definition
cable,network_high_physical_low,11,0.12790697674418605,high_confidence_subset_cable,combined_supplementary
cable,network_high_physical_high,32,0.37209302325581395,high_confidence_subset_cable,combined_supplementary
cable,network_low_physical_low,32,0.37209302325581395,high_confidence_subset_cable,combined_supplementary
cable,network_low_physical_high,11,0.12790697674418605,high_confidence_subset_cable,combined_supplementary
corridor,network_high_physical_low,11,0.12643678160919541,fused_dual_core_corridor,combined_supplementary
corridor,network_high_physical_high,33,0.3793103448275862,fused_dual_core_corridor,combined_supplementary
corridor,network_low_physical_low,33,0.3793103448275862,fused_dual_core_corridor,combined_supplementary
corridor,network_low_physical_high,10,0.11494252873563218,fused_dual_core_corridor,combined_supplementary
corridor,network_high_physical_low,11,0.12643678160919541,geo_only_corridor,combined_supplementary
corridor,network_high_physical_high,33,0.3793103448275862,geo_only_corridor,combined_supplementary
corridor,network_low_physical_low,33,0.3793103448275862,geo_only_corridor,combined_supplementary
corridor,network_low_physical_high,10,0.11494252873563218,geo_only_corridor,combined_supplementary
corridor,network_high_physical_low,11,0.12643678160919541,as_only_corridor,combined_supplementary
corridor,network_high_physical_high,33,0.3793103448275862,as_only_corridor,combined_supplementary
corridor,network_low_physical_low,33,0.3793103448275862,as_only_corridor,combined_supplementary
corridor,network_low_physical_high,10,0.11494252873563218,as_only_corridor,combined_supplementary
corridor,network_high_physical_low,9,0.10465116279069768,high_confidence_subset_corridor,combined_supplementary
corridor,network_high_physical_high,34,0.3953488372093023,high_confidence_subset_corridor,combined_supplementary
corridor,network_low_physical_low,34,0.3953488372093023,high_confidence_subset_corridor,combined_supplementary
corridor,network_low_physical_high,9,0.10465116279069768,high_confidence_subset_corridor,combined_supplementary
