Country,Root,Aggregation_Mode,Confidence_Filter,Owner_Multi_Entity_Mode,Total_Traces,Submarine_Traces,Dependency_Rate,Top_Cable,Top_Cable_Expected_Vol,Top_Cable_Share,Top2_Cable,Top2_Cable_Expected_Vol,Top2_Cable_Share,Dominance_Margin,Unique_CrossBorder_AS_Pairs,Top_CrossBorder_AS_Pair,Top_CrossBorder_AS_Pair_Count,Top_CrossBorder_AS_Pair_Share,Top2_CrossBorder_AS_Pair,Top2_CrossBorder_AS_Pair_Count,Top2_CrossBorder_AS_Pair_Share,CrossBorder_AS_Pair_Dominance_Margin,Cable_vs_ASPair_Concentration_Gap,Top_Owner,Top_Owner_Expected_Vol,Top_Owner_Share,Top2_Owner,Top2_Owner_Expected_Vol,Top2_Owner_Share,Owner_Dominance_Margin,Cable_Owner_Concentration_Gap,High_Bucket_Traces,Medium_Bucket_Traces,Ambiguous_Bucket_Traces
OM,anchor,weighted,all,full,287,75,0.2613,SeaMeWe-6,38.6372,0.1346,Asia Africa Europe-1 (AAE-1),4.5922,0.016,0.1186,123,AS8529->AS58453,25,0.0871,AS8529->AS9002,13,0.0453,0.0418,0.0475,China Unicom,58.0995,0.2024,Telecom Egypt,56.3882,0.1965,0.006,0.0678,31,17,27
NG,anchor,weighted,all,full,1139,245,0.2151,MainOne,105.9849,0.0931,West Africa Cable System (WACS),101.4615,0.0891,0.004,379,AS29465->AS16637,279,0.245,AS7018->AS29465,95,0.0834,0.1615,-0.1519,Bayobab,108.0084,0.0948,Vodafone,103.5341,0.0909,0.0039,0.0018,1,69,175
SV,anchor,weighted,all,full,1054,207,0.1964,South America-1 (SAm-1),110.6542,0.105,TIKAL-AMX3,21.3998,0.0203,0.0847,209,AS12127->AS12956,286,0.2713,AS61502->AS273189,96,0.0911,0.1803,-0.1664,Telxius,170.979,0.1622,América Móvil (Claro),23.4895,0.0223,0.1399,0.0572,3,127,77
VN,anchor,weighted,all,full,2778,527,0.1897,Asia Pacific Gateway (APG),204.917,0.0738,Asia-America Gateway (AAG) Cable System,180.4937,0.065,0.0088,769,AS7552->AS2914,217,0.0781,AS45899->AS6453,123,0.0443,0.0338,-0.0043,China Unicom,251.6428,0.0906,Viettel Corporation,240.1935,0.0865,0.0041,0.0168,8,70,449
SG,anchor,weighted,all,full,13065,2368,0.1812,Asia Connect Cable-1 (ACC-1),518.9168,0.0397,APCN-2,436.5772,0.0334,0.0063,2729,AS4845->AS7473,299,0.0229,AS18106->AS6939,252,0.0193,0.0036,0.0168,Singtel,834.5411,0.0639,Telekom Malaysia,711.0611,0.0544,0.0095,0.0242,90,274,2004
AF,anchor,weighted,all,full,672,121,0.1801,SeaMeWe-4,59.161,0.088,SeaMeWe-6,10.2679,0.0153,0.0728,220,AS138322->AS12389,96,0.1429,AS138322->AS9557,96,0.1429,0.0,-0.0548,Orange,89.9037,0.1338,Singtel,89.8646,0.1337,0.0001,0.0457,2,79,40
CV,anchor,weighted,all,full,318,55,0.173,West Africa Cable System (WACS),12.5899,0.0396,2Africa,6.6395,0.0209,0.0187,123,AS37517->AS1299,182,0.5723,AS37517->AS6939,47,0.1478,0.4245,-0.5327,Tata Communications,26.4059,0.083,Vodafone,20.9,0.0657,0.0173,0.0434,17,13,25
ZM,anchor,weighted,all,full,399,63,0.1579,2Africa,26.847,0.0673,Africa Coast to Europe (ACE),21.3065,0.0534,0.0139,186,AS14593->AS37662,90,0.2256,AS37146->AS30844,78,0.1955,0.0301,-0.1583,Orange,28.828,0.0723,Bayobab,25.4934,0.0639,0.0084,0.005,7,13,43
RW,anchor,weighted,all,full,96,15,0.1562,2Africa,6.8416,0.0713,SAT-3/WASC,4.4986,0.0469,0.0244,59,AS37006->AS30844,96,1.0,AS30844->AS6453,12,0.125,0.875,-0.9287,Orange,10.1448,0.1057,Vodafone,8.7476,0.0911,0.0146,0.0344,0,6,9
CL,anchor,weighted,all,full,8000,1239,0.1549,South America-1 (SAm-1),622.3792,0.0778,Asia Connect Cable-1 (ACC-1),66.8756,0.0084,0.0694,1322,AS12956->AS3356,202,0.0253,AS3549->AS3356,201,0.0251,0.0001,0.0525,Telxius,903.1917,0.1129,Meta,66.1069,0.0083,0.1046,0.0351,686,315,238
