country,msm_id,file_name,as_boundary_transition_key,as_boundary_observation_count,share_of_as_boundary_observations,rank_within_unit,is_top1_as_boundary_transition,is_top2_as_boundary_transition,is_top3_as_boundary_transition,group_total_hop_pair_segments,group_cross_as_boundary_segments,group_intra_as_hop_pair_segments,group_country_fallback_segments,cross_as_boundary_coverage_rate,intra_as_hop_pair_share,country_fallback_share,group_unique_probes,group_unique_probe_asns
ID,5011,dns-root_c-root_msm5011_20260701T000000Z_010000Z.json,147094->174,2,0.06896551724137931,8,False,False,False,93,29,53,11,0.3118279569892473,0.5698924731182796,0.11827956989247312,19,15
ID,5011,dns-root_c-root_msm5011_20260701T000000Z_010000Z.json,58389->3356,2,0.06896551724137931,9,False,False,False,93,29,53,11,0.3118279569892473,0.5698924731182796,0.11827956989247312,19,15
ID,5011,dns-root_c-root_msm5011_20260701T000000Z_010000Z.json,9905->7632,1,0.034482758620689655,10,False,False,False,93,29,53,11,0.3118279569892473,0.5698924731182796,0.11827956989247312,19,15
ID,5011,dns-root_c-root_msm5011_20260701T000000Z_010000Z.json,17451->174,1,0.034482758620689655,11,False,False,False,93,29,53,11,0.3118279569892473,0.5698924731182796,0.11827956989247312,19,15
ID,5011,dns-root_c-root_msm5011_20260701T000000Z_010000Z.json,138115->149391,1,0.034482758620689655,12,False,False,False,93,29,53,11,0.3118279569892473,0.5698924731182796,0.11827956989247312,19,15
IN,5011,dns-root_c-root_msm5011_20260701T000000Z_010000Z.json,4755->6453,13,0.5,1,True,False,False,152,26,104,22,0.17105263157894737,0.6842105263157895,0.14473684210526316,17,9
IN,5011,dns-root_c-root_msm5011_20260701T000000Z_010000Z.json,9498->174,8,0.3076923076923077,2,False,True,False,152,26,104,22,0.17105263157894737,0.6842105263157895,0.14473684210526316,17,9
IN,5011,dns-root_c-root_msm5011_20260701T000000Z_010000Z.json,136308->9498,2,0.07692307692307693,3,False,False,True,152,26,104,22,0.17105263157894737,0.6842105263157895,0.14473684210526316,17,9
IN,5011,dns-root_c-root_msm5011_20260701T000000Z_010000Z.json,6453->174,2,0.07692307692307693,4,False,False,False,152,26,104,22,0.17105263157894737,0.6842105263157895,0.14473684210526316,17,9
IN,5011,dns-root_c-root_msm5011_20260701T000000Z_010000Z.json,132933->4755,1,0.038461538461538464,5,False,False,False,152,26,104,22,0.17105263157894737,0.6842105263157895,0.14473684210526316,17,9
IT,5011,dns-root_c-root_msm5011_20260701T000000Z_010000Z.json,137->174,9,0.6923076923076923,1,True,False,False,61,13,48,0,0.21311475409836064,0.7868852459016393,0.0,10,3
IT,5011,dns-root_c-root_msm5011_20260701T000000Z_010000Z.json,8612->174,4,0.3076923076923077,2,False,True,False,61,13,48,0,0.21311475409836064,0.7868852459016393,0.0,10,3
KY,5011,dns-root_c-root_msm5011_20260701T000000Z_010000Z.json,36549->3855,1,1.0,1,True,False,False,1,1,0,0,1.0,0.0,0.0,1,1
LK,5011,dns-root_c-root_msm5011_20260701T000000Z_010000Z.json,45489->1299,3,0.75,1,True,False,False,18,4,14,0,0.2222222222222222,0.7777777777777778,0.0,4,3
LK,5011,dns-root_c-root_msm5011_20260701T000000Z_010000Z.json,17470->15412,1,0.25,2,False,True,False,18,4,14,0,0.2222222222222222,0.7777777777777778,0.0,4,3
MT,5011,dns-root_c-root_msm5011_20260701T000000Z_010000Z.json,15735->1299,3,1.0,1,True,False,False,3,3,0,0,1.0,0.0,0.0,2,1
MV,5011,dns-root_c-root_msm5011_20260701T000000Z_010000Z.json,7642->174,16,0.9411764705882353,1,True,False,False,17,17,0,0,1.0,0.0,0.0,10,3
MV,5011,dns-root_c-root_msm5011_20260701T000000Z_010000Z.json,24016->45489,1,0.058823529411764705,2,False,True,False,17,17,0,0,1.0,0.0,0.0,10,3
MX,5011,dns-root_c-root_msm5011_20260701T000000Z_010000Z.json,265539->23520,4,1.0,1,True,False,False,4,4,0,0,1.0,0.0,0.0,2,2
MY,5011,dns-root_c-root_msm5011_20260701T000000Z_010000Z.json,3491->174,1,0.5,1,True,False,False,9,2,7,0,0.2222222222222222,0.7777777777777778,0.0,2,1
MY,5011,dns-root_c-root_msm5011_20260701T000000Z_010000Z.json,38466->6453,1,0.5,2,False,True,False,9,2,7,0,0.2222222222222222,0.7777777777777778,0.0,2,1
NC,5011,dns-root_c-root_msm5011_20260701T000000Z_010000Z.json,18200->38195,9,1.0,1,True,False,False,9,9,0,0,1.0,0.0,0.0,5,2
NG,5011,dns-root_c-root_msm5011_20260701T000000Z_010000Z.json,30844->36937,2,1.0,1,True,False,False,6,2,4,0,0.3333333333333333,0.6666666666666666,0.0,2,2
NO,5011,dns-root_c-root_msm5011_20260701T000000Z_010000Z.json,49409->57829,3,0.3,1,True,False,False,79,10,69,0,0.12658227848101267,0.8734177215189873,0.0,4,3
NO,5011,dns-root_c-root_msm5011_20260701T000000Z_010000Z.json,57829->3356,3,0.3,2,False,True,False,79,10,69,0,0.12658227848101267,0.8734177215189873,0.0,4,3
NO,5011,dns-root_c-root_msm5011_20260701T000000Z_010000Z.json,25400->1299,2,0.2,3,False,False,True,79,10,69,0,0.12658227848101267,0.8734177215189873,0.0,4,3
NO,5011,dns-root_c-root_msm5011_20260701T000000Z_010000Z.json,48144->50304,1,0.1,4,False,False,False,79,10,69,0,0.12658227848101267,0.8734177215189873,0.0,4,3
NO,5011,dns-root_c-root_msm5011_20260701T000000Z_010000Z.json,50304->1299,1,0.1,5,False,False,False,79,10,69,0,0.12658227848101267,0.8734177215189873,0.0,4,3
NU,5011,dns-root_c-root_msm5011_20260701T000000Z_010000Z.json,55885->38800,1,1.0,1,True,False,False,1,1,0,0,1.0,0.0,0.0,1,0
NZ,5011,dns-root_c-root_msm5011_20260701T000000Z_010000Z.json,64073->137409,11,0.3142857142857143,1,True,False,False,226,35,191,0,0.15486725663716813,0.8451327433628318,0.0,22,8
NZ,5011,dns-root_c-root_msm5011_20260701T000000Z_010000Z.json,38022->135069,5,0.14285714285714285,2,False,True,False,226,35,191,0,0.15486725663716813,0.8451327433628318,0.0,22,8
