analysis_scope,country,network_atomic_segments,corridor_atomic_segments,shared_atomic_segments,network_only_atomic_segments,corridor_only_atomic_segments,segment_population_aligned,probe_country,service_id,path_scope_stratum
probe_country_service,,1,1,1,0,0,True,CW,Topology-IPv4-ICMP,all_publicly_visible
probe_country_service,,9,9,9,0,0,True,CY,Topology-IPv4-ICMP,all_publicly_visible
probe_country_service,,7,7,7,0,0,True,CY,Topology-IPv4-ICMP,resolved_entry_only
probe_country_service,,23,23,23,0,0,True,CZ,Topology-IPv4-ICMP,all_publicly_visible
probe_country_service,,16,16,16,0,0,True,CZ,Topology-IPv4-ICMP,resolved_entry_only
probe_country_service,,139,139,139,0,0,True,DE,Topology-IPv4-ICMP,all_publicly_visible
probe_country_service,,75,75,75,0,0,True,DE,Topology-IPv4-ICMP,resolved_entry_only
probe_country_service,,4,4,4,0,0,True,DJ,Topology-IPv4-ICMP,all_publicly_visible
probe_country_service,,3,3,3,0,0,True,DJ,Topology-IPv4-ICMP,resolved_entry_only
probe_country_service,,22,22,22,0,0,True,DK,Topology-IPv4-ICMP,all_publicly_visible
probe_country_service,,16,16,16,0,0,True,DK,Topology-IPv4-ICMP,resolved_entry_only
probe_country_service,,5,5,5,0,0,True,DO,Topology-IPv4-ICMP,all_publicly_visible
probe_country_service,,5,5,5,0,0,True,DO,Topology-IPv4-ICMP,resolved_entry_only
probe_country_service,,2,2,2,0,0,True,EC,Topology-IPv4-ICMP,all_publicly_visible
probe_country_service,,1,1,1,0,0,True,EC,Topology-IPv4-ICMP,resolved_entry_only
probe_country_service,,25,25,25,0,0,True,EE,Topology-IPv4-ICMP,all_publicly_visible
probe_country_service,,17,17,17,0,0,True,EE,Topology-IPv4-ICMP,resolved_entry_only
probe_country_service,,54,54,54,0,0,True,ES,Topology-IPv4-ICMP,all_publicly_visible
probe_country_service,,31,31,31,0,0,True,ES,Topology-IPv4-ICMP,resolved_entry_only
probe_country_service,,2,2,2,0,0,True,ET,Topology-IPv4-ICMP,all_publicly_visible
probe_country_service,,134,134,134,0,0,True,FI,Topology-IPv4-ICMP,all_publicly_visible
probe_country_service,,95,95,95,0,0,True,FI,Topology-IPv4-ICMP,resolved_entry_only
probe_country_service,,1,1,1,0,0,True,FM,Topology-IPv4-ICMP,all_publicly_visible
probe_country_service,,111,111,111,0,0,True,FR,Topology-IPv4-ICMP,all_publicly_visible
probe_country_service,,66,66,66,0,0,True,FR,Topology-IPv4-ICMP,resolved_entry_only
probe_country_service,,57,57,57,0,0,True,GB,Topology-IPv4-ICMP,all_publicly_visible
probe_country_service,,35,35,35,0,0,True,GB,Topology-IPv4-ICMP,resolved_entry_only
probe_country_service,,6,6,6,0,0,True,GE,Topology-IPv4-ICMP,all_publicly_visible
probe_country_service,,5,5,5,0,0,True,GE,Topology-IPv4-ICMP,resolved_entry_only
probe_country_service,,1,1,1,0,0,True,GH,Topology-IPv4-ICMP,all_publicly_visible
probe_country_service,,1,1,1,0,0,True,GH,Topology-IPv4-ICMP,resolved_entry_only
