probe_country,service_id,msm_id,file_name,total_mappable_segments,total_observation_mass,unique_corridors_observed,top1_corridor_id,top1_corridor_share,top2_corridor_share,top3_corridor_share,effective_corridor_count,corridor_concentration_tier,is_corridor_concentrated,auditable_corridor_concentration,sufficient_corridor_observation,auditable_paper_case,observation_sufficiency_reason,failed_thresholds,unique_probes,unique_probe_asns,unique_measurements_or_targets,domestic_segment_share,international_segment_share,analysis_scope
PH,F-Root,5004,dns-root_f-root_msm5004_20260701T000000Z_010000Z.json,148,148.0,11,landing_region_0230::landing_region_0230,0.41216216216216217,0.6418918918918919,0.75,5.740258310232495,broad_corridor_observation_distribution,False,False,True,True,auditable,,17,9,1,0.7635135135135135,0.23648648648648649,probe_country_service
PK,F-Root,5004,dns-root_f-root_msm5004_20260701T000000Z_010000Z.json,11,11.0,1,landing_region_0132::landing_region_0132,1.0,1.0,1.0,1.0,severe_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,1,1.0,0.0,probe_country_service
PT,F-Root,5004,dns-root_f-root_msm5004_20260701T000000Z_010000Z.json,162,162.0,3,landing_region_0239::landing_region_0239,0.9629629629629629,0.9876543209876543,1.0,1.1995964024827377,severe_corridor_observation_concentration,True,True,True,True,auditable,,66,16,1,1.0,0.0,probe_country_service
RO,F-Root,5004,dns-root_f-root_msm5004_20260701T000000Z_010000Z.json,6,6.0,1,landing_region_0051::landing_region_0051,1.0,1.0,1.0,1.0,severe_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,1,1.0,0.0,probe_country_service
RU,F-Root,5004,dns-root_f-root_msm5004_20260701T000000Z_010000Z.json,1,1.0,1,landing_region_0230::landing_region_0230,1.0,1.0,1.0,1.0,severe_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,1,1.0,0.0,probe_country_service
SE,F-Root,5004,dns-root_f-root_msm5004_20260701T000000Z_010000Z.json,350,350.0,6,landing_region_0051::landing_region_0051,0.66,0.8142857142857143,0.9342857142857143,2.8773290454008733,moderate_corridor_observation_concentration,True,True,True,True,auditable,,42,15,1,0.6714285714285714,0.32857142857142857,probe_country_service
SG,F-Root,5004,dns-root_f-root_msm5004_20260701T000000Z_010000Z.json,759,759.0,3,landing_region_0132::landing_region_0132,0.9920948616600791,0.9973649538866931,1.0,1.0525000432570502,severe_corridor_observation_concentration,True,True,True,True,auditable,,106,52,1,0.997364953886693,0.002635046113306983,probe_country_service
SL,F-Root,5004,dns-root_f-root_msm5004_20260701T000000Z_010000Z.json,2,2.0,1,landing_region_0006::landing_region_0556,1.0,1.0,1.0,1.0,severe_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,1,0.0,1.0,probe_country_service
SV,F-Root,5004,dns-root_f-root_msm5004_20260701T000000Z_010000Z.json,1,1.0,1,landing_region_0174::landing_region_0779,1.0,1.0,1.0,1.0,severe_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,1,0.0,1.0,probe_country_service
TG,F-Root,5004,dns-root_f-root_msm5004_20260701T000000Z_010000Z.json,2,2.0,1,landing_region_0556::landing_region_0586,1.0,1.0,1.0,1.0,severe_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,1,0.0,1.0,probe_country_service
TH,F-Root,5004,dns-root_f-root_msm5004_20260701T000000Z_010000Z.json,6,6.0,3,landing_region_0132::landing_region_0132,0.3333333333333333,0.6666666666666666,1.0,2.9999999999999996,weak_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,1,0.6666666666666666,0.3333333333333333,probe_country_service
TL,F-Root,5004,dns-root_f-root_msm5004_20260701T000000Z_010000Z.json,18,18.0,2,landing_region_0132::landing_region_0132,0.8888888888888888,1.0,1.0,1.4174111811317323,severe_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",3,1,1,1.0,0.0,probe_country_service
TO,F-Root,5004,dns-root_f-root_msm5004_20260701T000000Z_010000Z.json,2,2.0,1,landing_region_0701::landing_region_0903,1.0,1.0,1.0,1.0,severe_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,1,0.0,1.0,probe_country_service
TR,F-Root,5004,dns-root_f-root_msm5004_20260701T000000Z_010000Z.json,8,8.0,1,landing_region_0461::landing_region_0614,1.0,1.0,1.0,1.0,severe_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",3,2,1,0.0,1.0,probe_country_service
TV,F-Root,5004,dns-root_f-root_msm5004_20260701T000000Z_010000Z.json,4,4.0,2,landing_region_0041::landing_region_0041,0.5,1.0,1.0,2.0,moderate_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,1,0.5,0.5,probe_country_service
TW,F-Root,5004,dns-root_f-root_msm5004_20260701T000000Z_010000Z.json,258,258.0,5,landing_region_0719::landing_region_0719,0.8294573643410853,0.9612403100775194,0.9844961240310078,1.794958302634045,severe_corridor_observation_concentration,True,True,True,True,auditable,,50,20,1,1.0,0.0,probe_country_service
UG,F-Root,5004,dns-root_f-root_msm5004_20260701T000000Z_010000Z.json,1,1.0,1,landing_region_0054::landing_region_0650,1.0,1.0,1.0,1.0,severe_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,1,0.0,1.0,probe_country_service
US,F-Root,5004,dns-root_f-root_msm5004_20260701T000000Z_010000Z.json,908,908.0,20,landing_region_0223::landing_region_0223,0.7841409691629956,0.9019823788546255,0.9251101321585903,2.5036427842187,moderate_corridor_observation_concentration,True,True,True,True,auditable,,104,48,1,0.9845814977973568,0.015418502202643172,probe_country_service
VE,F-Root,5004,dns-root_f-root_msm5004_20260701T000000Z_010000Z.json,14,14.0,1,landing_region_0210::landing_region_0210,1.0,1.0,1.0,1.0,severe_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",4,2,1,1.0,0.0,probe_country_service
VI,F-Root,5004,dns-root_f-root_msm5004_20260701T000000Z_010000Z.json,4,4.0,2,landing_region_0174::landing_region_0208,0.5,1.0,1.0,2.0,moderate_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,1,0.5,0.5,probe_country_service
VN,F-Root,5004,dns-root_f-root_msm5004_20260701T000000Z_010000Z.json,58,58.0,2,landing_region_0132::landing_region_0132,0.5,1.0,1.0,2.0,moderate_corridor_observation_concentration,True,False,False,False,insufficient_minimum_unique_probes,minimum_unique_probes,7,4,1,1.0,0.0,probe_country_service
ZA,F-Root,5004,dns-root_f-root_msm5004_20260701T000000Z_010000Z.json,1,1.0,1,landing_region_0104::landing_region_0233,1.0,1.0,1.0,1.0,severe_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,1,0.0,1.0,probe_country_service
