network_definition,physical_level,candidate_view,projection_subset,target_units,strict_target_units,target_jaccard_vs_baseline,target_recall_vs_baseline,quadrant_agreement_rate,rank_gap_spearman_vs_baseline,pdb_country_coverage,median_pdb_interconnection_footprint_percentile,dominant_pdb_interconnection_footprint_tier,interpretation
combined_supplementary,cable,conservative_set,strong_only,0,0,0.0,0.0,0.0,0.0,0,,,"combined_supplementary network definition, cable-level, conservative feasible-set view, strong projections only"
combined_supplementary,cable,conservative_set,strong_or_moderate,6,2,0.0,0.0,0.4,0.1354627694887022,0,,,"combined_supplementary network definition, cable-level, conservative feasible-set view, strong/moderate projections only"
combined_supplementary,cable,weighted_support,all,12,1,0.03333333333333333,0.05263157894736842,0.4533333333333333,-0.2747178505099753,0,,,"combined_supplementary network definition, cable-level, weighted support view, all projections"
combined_supplementary,cable,weighted_support,strong_only,1,0,0.0,0.0,0.0,0.0,0,,,"combined_supplementary network definition, cable-level, weighted support view, strong projections only"
combined_supplementary,cable,weighted_support,strong_or_moderate,8,0,0.0,0.0,0.2,0.04060034710527864,0,,,"combined_supplementary network definition, cable-level, weighted support view, strong/moderate projections only"
combined_supplementary,corridor,conservative_set,all,13,0,0.5238095238095238,0.5789473684210527,0.8076923076923077,0.6444089567534925,0,,,"combined_supplementary network definition, corridor-level, conservative feasible-set view, all projections"
combined_supplementary,corridor,conservative_set,strong_only,0,0,0.0,0.0,0.0,0.0,0,,,"combined_supplementary network definition, corridor-level, conservative feasible-set view, strong projections only"
combined_supplementary,corridor,conservative_set,strong_or_moderate,8,0,0.0,0.0,0.2,0.02771362586605081,0,,,"combined_supplementary network definition, corridor-level, conservative feasible-set view, strong/moderate projections only"
combined_supplementary,corridor,weighted_support,all,10,1,0.03571428571428571,0.05263157894736842,0.5333333333333333,0.23628430712229737,0,,,"combined_supplementary network definition, corridor-level, weighted support view, all projections"
combined_supplementary,corridor,weighted_support,strong_only,1,0,0.0,0.0,0.0,0.0,0,,,"combined_supplementary network definition, corridor-level, weighted support view, strong projections only"
combined_supplementary,corridor,weighted_support,strong_or_moderate,8,0,0.0,0.0,0.2,0.03770681310277049,0,,,"combined_supplementary network definition, corridor-level, weighted support view, strong/moderate projections only"
composite,cable,conservative_set,all,15,0,0.0967741935483871,0.15789473684210525,0.5384615384615384,0.020946794583847687,0,,,"composite network definition, cable-level, conservative feasible-set view, all projections"
composite,cable,conservative_set,strong_only,0,0,0.0,0.0,0.0,0.0,0,,,"composite network definition, cable-level, conservative feasible-set view, strong projections only"
composite,cable,conservative_set,strong_or_moderate,6,2,0.0,0.0,0.4,0.1354627694887022,0,,,"composite network definition, cable-level, conservative feasible-set view, strong/moderate projections only"
composite,cable,weighted_support,all,12,1,0.03333333333333333,0.05263157894736842,0.4533333333333333,-0.2747178505099753,0,,,"composite network definition, cable-level, weighted support view, all projections"
composite,cable,weighted_support,strong_only,1,0,0.0,0.0,0.0,0.0,0,,,"composite network definition, cable-level, weighted support view, strong projections only"
composite,cable,weighted_support,strong_or_moderate,8,0,0.0,0.0,0.2,0.04060034710527864,0,,,"composite network definition, cable-level, weighted support view, strong/moderate projections only"
