probe_country,service_id,service_class,deployment_type,total_valid_traces,mappable_traces,submarine_exposed_traces,service_physical_exposure_rate,mappable_trace_rate,unique_probes,unique_probe_asns,unique_target_ips,unique_target_asns,service_entry_resolution_rate,sufficient_trace_observation,auditable_paper_case,observation_sufficiency_reason,failed_thresholds,analysis_scope
KE,M-Root,dns_root,anycast,30,28,12,0.4,0.9333333333333333,15,10,1,1,0.9333333333333333,True,True,auditable,,probe_country_service
KG,M-Root,dns_root,anycast,40,36,0,0.0,0.9,20,13,1,1,0.875,True,True,auditable,,probe_country_service
KH,M-Root,dns_root,anycast,6,6,0,0.0,1.0,3,3,1,1,1.0,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes","minimum_mappable_segments,minimum_unique_probes",probe_country_service
KI,M-Root,dns_root,anycast,4,4,3,0.75,1.0,2,1,1,1,1.0,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",probe_country_service
KN,M-Root,dns_root,anycast,2,2,2,1.0,1.0,1,1,1,1,1.0,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",probe_country_service
KR,M-Root,dns_root,anycast,44,38,0,0.0,0.8636363636363636,22,12,1,1,0.5909090909090909,True,True,auditable,,probe_country_service
KW,M-Root,dns_root,anycast,4,2,0,0.0,0.5,2,2,1,1,0.5,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",probe_country_service
KY,M-Root,dns_root,anycast,2,2,2,1.0,1.0,1,1,1,1,1.0,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",probe_country_service
KZ,M-Root,dns_root,anycast,106,106,0,0.0,1.0,53,20,1,1,1.0,True,True,auditable,,probe_country_service
LA,M-Root,dns_root,anycast,2,2,1,0.5,1.0,1,1,1,1,1.0,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",probe_country_service
LB,M-Root,dns_root,anycast,4,2,0,0.0,0.5,2,2,1,1,0.5,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",probe_country_service
LC,M-Root,dns_root,anycast,4,4,2,0.5,1.0,2,2,1,1,1.0,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",probe_country_service
LI,M-Root,dns_root,anycast,6,6,0,0.0,1.0,3,3,1,1,1.0,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes","minimum_mappable_segments,minimum_unique_probes",probe_country_service
LK,M-Root,dns_root,anycast,26,24,0,0.0,0.9230769230769231,13,6,1,1,0.9230769230769231,False,False,insufficient_minimum_mappable_segments,minimum_mappable_segments,probe_country_service
LS,M-Root,dns_root,anycast,2,2,1,0.5,1.0,1,1,1,1,1.0,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",probe_country_service
LT,M-Root,dns_root,anycast,72,68,6,0.08333333333333333,0.9444444444444444,36,21,1,1,0.9444444444444444,True,True,auditable,,probe_country_service
LU,M-Root,dns_root,anycast,76,72,0,0.0,0.9473684210526315,38,20,1,1,0.9210526315789473,True,True,auditable,,probe_country_service
LV,M-Root,dns_root,anycast,60,58,0,0.0,0.9666666666666667,30,19,1,1,0.9666666666666667,True,True,auditable,,probe_country_service
MA,M-Root,dns_root,anycast,2,2,0,0.0,1.0,1,1,1,1,1.0,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",probe_country_service
MD,M-Root,dns_root,anycast,50,50,4,0.08,1.0,25,15,1,1,1.0,True,True,auditable,,probe_country_service
ME,M-Root,dns_root,anycast,12,12,0,0.0,1.0,6,5,1,1,1.0,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes","minimum_mappable_segments,minimum_unique_probes",probe_country_service
MG,M-Root,dns_root,anycast,4,4,2,0.5,1.0,2,1,1,1,1.0,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",probe_country_service
MH,M-Root,dns_root,anycast,2,2,0,0.0,1.0,1,1,1,1,0.0,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",probe_country_service
MK,M-Root,dns_root,anycast,20,18,2,0.1,0.9,10,8,1,1,0.6,False,False,insufficient_minimum_mappable_segments,minimum_mappable_segments,probe_country_service
ML,M-Root,dns_root,anycast,2,2,2,1.0,1.0,1,1,1,1,1.0,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",probe_country_service
MM,M-Root,dns_root,anycast,6,6,6,1.0,1.0,3,3,1,1,1.0,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes","minimum_mappable_segments,minimum_unique_probes",probe_country_service
MN,M-Root,dns_root,anycast,13,13,3,0.23076923076923078,1.0,7,7,1,1,1.0,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes","minimum_mappable_segments,minimum_unique_probes",probe_country_service
MP,M-Root,dns_root,anycast,2,2,2,1.0,1.0,1,1,1,1,0.0,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",probe_country_service
MT,M-Root,dns_root,anycast,16,16,16,1.0,1.0,8,2,1,1,1.0,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",probe_country_service
MU,M-Root,dns_root,anycast,16,14,2,0.125,0.875,8,4,1,1,0.875,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes","minimum_mappable_segments,minimum_unique_probes",probe_country_service
MV,M-Root,dns_root,anycast,22,22,20,0.9090909090909091,1.0,11,4,1,1,1.0,False,False,insufficient_minimum_mappable_segments,minimum_mappable_segments,probe_country_service
MW,M-Root,dns_root,anycast,2,2,1,0.5,1.0,1,1,1,1,1.0,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",probe_country_service
MX,M-Root,dns_root,anycast,85,81,5,0.058823529411764705,0.9529411764705882,43,22,1,1,0.9529411764705882,True,True,auditable,,probe_country_service
MY,M-Root,dns_root,anycast,66,64,2,0.030303030303030304,0.9696969696969697,33,18,1,1,0.9393939393939394,True,True,auditable,,probe_country_service
MZ,M-Root,dns_root,anycast,5,5,4,0.8,1.0,3,3,1,1,1.0,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes","minimum_mappable_segments,minimum_unique_probes",probe_country_service
