country,msm_id,file_name,total_mappable_segments,total_observation_mass,unique_corridors_observed,top1_corridor_id,top1_corridor_share,top2_corridor_share,top3_corridor_share,corridor_entropy,corridor_normalized_entropy,effective_corridor_count,corridor_concentration_tier,is_corridor_concentrated,auditable_corridor_concentration,sufficient_corridor_observation,auditable_paper_case,observation_sufficiency_reason,failed_thresholds,unique_probes,unique_probe_asns,unique_measurements_or_targets,domestic_segment_share,international_segment_share,analysis_scope
CY,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,2,2.0,1,landing_region_08ea81d123b5::landing_region_3e7b4a85e943,1.0,1.0,1.0,-0.0,0.0,1.0,severe_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",2,1,1,0.0,1.0,transition_near_country
DJ,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,2,2.0,2,landing_region_08ea81d123b5::landing_region_173727a59ebb,0.5,1.0,1.0,0.6931471805599453,1.0,2.0,moderate_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",2,2,1,0.0,1.0,transition_near_country
DK,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,1,1.0,1,landing_region_1ce0b85cd8b9::landing_region_e1a72a298b9d,1.0,1.0,1.0,-0.0,0.0,1.0,severe_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,1,0.0,1.0,transition_near_country
DO,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,1,1.0,1,landing_region_0c894d5ef6d3::landing_region_bf457e1b83fe,1.0,1.0,1.0,-0.0,0.0,1.0,severe_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,1,0.0,1.0,transition_near_country
EE,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,16,16.0,2,landing_region_5631d1801aee::landing_region_71db3ba08a92,0.8125,1.0,1.0,0.48257756517701206,0.6962122601251458,1.6202453123826384,severe_corridor_observation_concentration,True,False,False,False,insufficient_minimum_mappable_segments,minimum_mappable_segments,16,9,1,0.0,1.0,transition_near_country
ES,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,51,51.0,4,landing_region_08ea81d123b5::landing_region_8eb611963dd1,0.8823529411764706,0.9607843137254901,0.9803921568627451,0.4642768193097385,0.33490493240893054,1.5908632911707372,severe_corridor_observation_concentration,True,True,True,True,auditable,,51,26,1,0.0392156862745098,0.9607843137254902,transition_near_country
FI,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,64,64.0,6,landing_region_65aa8d7cf62e::landing_region_71db3ba08a92,0.75,0.828125,0.90625,0.9308493509371095,0.5195169144763321,2.536662779815533,moderate_corridor_observation_concentration,True,True,True,True,auditable,,61,40,1,0.140625,0.859375,transition_near_country
FJ,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,3,3.0,1,landing_region_1cece50a3587::landing_region_58084817cbe7,1.0,1.0,1.0,-0.0,0.0,1.0,severe_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes","minimum_mappable_segments,minimum_unique_probes",3,3,1,0.0,1.0,transition_near_country
GH,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,1,1.0,1,landing_region_2e263771884f::landing_region_30beda532e6f,1.0,1.0,1.0,-0.0,0.0,1.0,severe_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,1,0.0,1.0,transition_near_country
GU,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,2,2.0,2,landing_region_91000f65ec77::landing_region_bc6c664daa8f,0.5,1.0,1.0,0.6931471805599453,1.0,2.0,moderate_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",2,1,1,0.0,1.0,transition_near_country
HK,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,47,47.0,4,landing_region_319252418c1f::landing_region_d0ecf913edd7,0.8085106382978723,0.9787234042553191,0.9893617021276595,0.5699208097423691,0.4111109629573692,1.7681270274547125,severe_corridor_observation_concentration,True,True,True,True,auditable,,41,30,1,0.1702127659574468,0.8297872340425532,transition_near_country
HN,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,5,5.0,1,landing_region_0c894d5ef6d3::landing_region_620bdff3a2d2,1.0,1.0,1.0,-0.0,0.0,1.0,severe_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes","minimum_mappable_segments,minimum_unique_probes",5,4,1,0.0,1.0,transition_near_country
ID,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,73,73.0,8,landing_region_149ad599e1a3::landing_region_d0ecf913edd7,0.3972602739726027,0.6232876712328766,0.8493150684931506,1.5643842911482913,0.7523098196280787,4.779731106966157,weak_corridor_observation_concentration,True,True,True,True,auditable,,46,39,1,0.6575342465753424,0.3424657534246575,transition_near_country
IL,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,19,19.0,4,landing_region_7559ef31b258::landing_region_c6ca70161fbc,0.5789473684210527,0.7894736842105263,0.9210526315789473,1.1117574035291102,0.8019634463715187,3.0396956750909037,weak_corridor_observation_concentration,True,False,False,False,insufficient_minimum_mappable_segments,minimum_mappable_segments,11,6,1,0.7894736842105263,0.21052631578947367,transition_near_country
IN,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,35,35.0,5,landing_region_32509493c7f4::landing_region_d0ecf913edd7,0.6,0.8571428571428571,0.9428571428571428,1.0694672256544941,0.6644973486656848,2.913826674261578,moderate_corridor_observation_concentration,True,True,True,True,auditable,,34,15,1,0.05714285714285714,0.9428571428571428,transition_near_country
IT,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,1,1.0,1,landing_region_1d5c9bdda1cc::landing_region_ea98b74befe5,1.0,1.0,1.0,-0.0,0.0,1.0,severe_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,1,1.0,0.0,transition_near_country
JP,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,6,6.0,1,landing_region_a995dae8d34a::landing_region_df61fea74887,1.0,1.0,1.0,-0.0,0.0,1.0,severe_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes","minimum_mappable_segments,minimum_unique_probes",6,5,1,0.0,1.0,transition_near_country
LC,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,2,2.0,1,landing_region_b69228a09b14::landing_region_c92fc361db9a,1.0,1.0,1.0,-0.0,0.0,1.0,severe_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",2,1,1,0.0,1.0,transition_near_country
LK,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,7,7.0,2,landing_region_465d1b4e7da4::landing_region_8dc97f28b4d0,0.5714285714285714,1.0,1.0,0.6829081047004717,0.9852281360342515,1.9796263300525183,moderate_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes","minimum_mappable_segments,minimum_unique_probes",7,3,1,0.0,1.0,transition_near_country
MM,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,1,1.0,1,landing_region_a314ea9d2330::landing_region_d0ecf913edd7,1.0,1.0,1.0,-0.0,0.0,1.0,severe_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,1,0.0,1.0,transition_near_country
MT,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,1,1.0,1,landing_region_08ea81d123b5::landing_region_9e3a5ff856b9,1.0,1.0,1.0,-0.0,0.0,1.0,severe_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,1,0.0,1.0,transition_near_country
