country,corridor_id,corridor_label,observation_mass,raw_segment_count_with_corridor_feasible,unique_atomic_segments,unique_traceroutes,unique_probes,unique_probe_asns,share_of_country_observation_mass,rank_within_country,is_top1_corridor,is_top2_corridor,is_top3_corridor,domestic_segment_mass,international_segment_mass
TW,landing_region_0230::landing_region_0719,landing_region_0230 -> landing_region_0719,2.0,2,2,2,2,2,0.027777777777777776,6,False,False,False,0.0,2.0
TW,landing_region_0317::landing_region_0719,landing_region_0317 -> landing_region_0719,1.6666666666666665,5,5,5,5,3,0.023148148148148147,7,False,False,False,1.6666666666666665,0.0
TW,landing_region_0441::landing_region_0719,landing_region_0441 -> landing_region_0719,1.6666666666666665,5,5,5,5,3,0.023148148148148147,8,False,False,False,1.6666666666666665,0.0
TZ,landing_region_0312::landing_region_0650,landing_region_0312 -> landing_region_0650,1.0,1,1,1,1,1,1.0,1,True,False,False,0.0,1.0
US,landing_region_0149::landing_region_0149,landing_region_0149 -> landing_region_0149,41.5,73,73,53,53,21,0.2785234899328859,1,True,False,False,41.5,0.0
US,landing_region_0149::landing_region_0610,landing_region_0149 -> landing_region_0610,37.5,69,69,50,50,18,0.2516778523489933,2,False,True,False,37.5,0.0
US,landing_region_0223::landing_region_0223,landing_region_0223 -> landing_region_0223,24.833333333333332,34,34,26,26,14,0.16666666666666666,3,False,False,True,24.833333333333332,0.0
US,landing_region_0149::landing_region_0159,landing_region_0149 -> landing_region_0159,18.0,18,18,18,18,15,0.12080536912751678,4,False,False,False,0.0,18.0
US,landing_region_0174::landing_region_0465,landing_region_0174 -> landing_region_0465,6.0,6,6,6,6,5,0.040268456375838924,5,False,False,False,6.0,0.0
US,landing_region_0223::landing_region_0293,landing_region_0223 -> landing_region_0293,4.833333333333333,14,14,14,14,9,0.03243847874720358,6,False,False,False,4.833333333333333,0.0
US,landing_region_0008::landing_region_0223,landing_region_0008 -> landing_region_0223,4.333333333333333,13,13,13,13,8,0.029082774049217,7,False,False,False,4.333333333333333,0.0
US,landing_region_0089::landing_region_0348,landing_region_0089 -> landing_region_0348,4.0,4,4,4,4,1,0.026845637583892617,8,False,False,False,0.0,4.0
US,landing_region_0125::landing_region_0348,landing_region_0125 -> landing_region_0348,3.0,3,3,3,3,2,0.020134228187919462,9,False,False,False,3.0,0.0
US,landing_region_0041::landing_region_0348,landing_region_0041 -> landing_region_0348,2.0,2,2,2,2,1,0.013422818791946308,10,False,False,False,0.0,2.0
US,landing_region_0200::landing_region_0944,landing_region_0200 -> landing_region_0944,2.0,2,2,2,2,2,0.013422818791946308,11,False,False,False,1.0,1.0
US,landing_region_0266::landing_region_0348,landing_region_0266 -> landing_region_0348,1.0,1,1,1,1,1,0.006711409395973154,12,False,False,False,0.0,1.0
VI,landing_region_0174::landing_region_0208,landing_region_0174 -> landing_region_0208,1.0,1,1,1,1,1,0.5,1,True,False,False,0.0,1.0
VI,landing_region_0115::landing_region_0115,landing_region_0115 -> landing_region_0115,0.3333333333333333,1,1,1,1,1,0.16666666666666666,2,False,True,False,0.3333333333333333,0.0
VI,landing_region_0115::landing_region_0208,landing_region_0115 -> landing_region_0208,0.3333333333333333,1,1,1,1,1,0.16666666666666666,3,False,False,True,0.3333333333333333,0.0
VI,landing_region_0208::landing_region_0208,landing_region_0208 -> landing_region_0208,0.3333333333333333,1,1,1,1,1,0.16666666666666666,4,False,False,False,0.3333333333333333,0.0
VN,landing_region_0132::landing_region_0988,landing_region_0132 -> landing_region_0988,5.0,5,5,5,5,4,0.625,1,True,False,False,0.0,5.0
VN,landing_region_0230::landing_region_0988,landing_region_0230 -> landing_region_0988,3.0,3,3,3,3,2,0.375,2,False,True,False,0.0,3.0
ZA,landing_region_0233::landing_region_0233,landing_region_0233 -> landing_region_0233,12.0,12,12,7,7,6,0.6666666666666666,1,True,False,False,12.0,0.0
ZA,landing_region_0104::landing_region_0233,landing_region_0104 -> landing_region_0233,3.0,3,3,3,3,2,0.16666666666666666,2,False,True,False,0.0,3.0
ZA,landing_region_0233::landing_region_0239,landing_region_0233 -> landing_region_0239,3.0,3,3,3,3,1,0.16666666666666666,3,False,False,True,0.0,3.0
