probe_country,service_id,path_scope_stratum,msm_id,file_name,as_boundary_transition_key,as_boundary_observation_count,share_of_as_boundary_observations,rank_within_unit,is_top1_as_boundary_transition,is_top2_as_boundary_transition,is_top3_as_boundary_transition,group_total_hop_pair_segments,group_cross_as_boundary_segments,group_intra_as_hop_pair_segments,group_country_fallback_segments,cross_as_boundary_coverage_rate,intra_as_hop_pair_share,country_fallback_share,group_unique_probes,group_unique_probe_asns
ID,H-Root,resolved_entry_only,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,17451->6453,7,0.2,1,True,False,False,132,35,80,17,0.26515151515151514,0.6060606060606061,0.12878787878787878,18,14
ID,H-Root,resolved_entry_only,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,23700->7632,4,0.11428571428571428,2,False,True,False,132,35,80,17,0.26515151515151514,0.6060606060606061,0.12878787878787878,18,14
ID,H-Root,resolved_entry_only,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,9905->7632,2,0.05714285714285714,3,False,False,True,132,35,80,17,0.26515151515151514,0.6060606060606061,0.12878787878787878,18,14
ID,H-Root,resolved_entry_only,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,138074->4787,2,0.05714285714285714,4,False,False,False,132,35,80,17,0.26515151515151514,0.6060606060606061,0.12878787878787878,18,14
ID,H-Root,resolved_entry_only,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,24203->6453,2,0.05714285714285714,5,False,False,False,132,35,80,17,0.26515151515151514,0.6060606060606061,0.12878787878787878,18,14
ID,H-Root,resolved_entry_only,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,149728->58389,2,0.05714285714285714,6,False,False,False,132,35,80,17,0.26515151515151514,0.6060606060606061,0.12878787878787878,18,14
ID,H-Root,resolved_entry_only,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,142360->55666,2,0.05714285714285714,7,False,False,False,132,35,80,17,0.26515151515151514,0.6060606060606061,0.12878787878787878,18,14
ID,H-Root,resolved_entry_only,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,55666->58389,2,0.05714285714285714,8,False,False,False,132,35,80,17,0.26515151515151514,0.6060606060606061,0.12878787878787878,18,14
ID,H-Root,resolved_entry_only,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,138840->2914,2,0.05714285714285714,9,False,False,False,132,35,80,17,0.26515151515151514,0.6060606060606061,0.12878787878787878,18,14
ID,H-Root,resolved_entry_only,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,131749->58389,2,0.05714285714285714,10,False,False,False,132,35,80,17,0.26515151515151514,0.6060606060606061,0.12878787878787878,18,14
ID,H-Root,resolved_entry_only,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,58389->6939,2,0.05714285714285714,11,False,False,False,132,35,80,17,0.26515151515151514,0.6060606060606061,0.12878787878787878,18,14
ID,H-Root,resolved_entry_only,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,58453->3491,2,0.05714285714285714,12,False,False,False,132,35,80,17,0.26515151515151514,0.6060606060606061,0.12878787878787878,18,14
