country,msm_id,file_name,as_boundary_transition_key,as_boundary_observation_count,share_of_as_boundary_observations,rank_within_unit,is_top1_as_boundary_transition,is_top2_as_boundary_transition,is_top3_as_boundary_transition,group_total_hop_pair_segments,group_cross_as_boundary_segments,group_intra_as_hop_pair_segments,group_country_fallback_segments,cross_as_boundary_coverage_rate,intra_as_hop_pair_share,country_fallback_share,group_unique_probes,group_unique_probe_asns
NZ,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,4049->55850,4,0.21052631578947367,3,False,False,True,219,19,174,26,0.0867579908675799,0.7945205479452054,0.1187214611872146,12,6
NZ,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,14593->55850,2,0.10526315789473684,4,False,False,False,219,19,174,26,0.0867579908675799,0.7945205479452054,0.1187214611872146,12,6
PA,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,11556->23520,2,1.0,1,True,False,False,2,2,0,0,1.0,0.0,0.0,1,1
PE,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,3356->3549,22,1.0,1,True,False,False,36,22,14,0,0.6111111111111112,0.3888888888888889,0.0,11,5
PG,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,17828->36236,2,1.0,1,True,False,False,2,2,0,0,1.0,0.0,0.0,1,1
PH,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,137818->132021,2,0.2857142857142857,1,True,False,False,72,7,65,0,0.09722222222222222,0.9027777777777778,0.0,4,4
PH,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,45209->9821,2,0.2857142857142857,2,False,True,False,72,7,65,0,0.09722222222222222,0.9027777777777778,0.0,4,4
PH,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,132400->134707,2,0.2857142857142857,3,False,False,True,72,7,65,0,0.09722222222222222,0.9027777777777778,0.0,4,4
PH,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,18187->6939,1,0.14285714285714285,4,False,False,False,72,7,65,0,0.09722222222222222,0.9027777777777778,0.0,4,4
PR,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,5786->20080,2,0.5,1,True,False,False,6,4,2,0,0.6666666666666666,0.3333333333333333,0.0,2,1
PR,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,14638->23520,2,0.5,2,False,True,False,6,4,2,0,0.6666666666666666,0.3333333333333333,0.0,2,1
PT,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,2860->6453,2,1.0,1,True,False,False,2,2,0,0,1.0,0.0,0.0,1,1
PW,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,17893->140627,1,1.0,1,True,False,False,1,1,0,0,1.0,0.0,0.0,1,1
SE,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,8434->29518,2,1.0,1,True,False,False,378,2,376,0,0.005291005291005291,0.9947089947089947,0.0,1,0
SG,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,58453->3491,6,0.3333333333333333,1,True,False,False,242,18,193,31,0.0743801652892562,0.7975206611570248,0.128099173553719,11,8
SG,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,20940->3491,6,0.3333333333333333,2,False,True,False,242,18,193,31,0.0743801652892562,0.7975206611570248,0.128099173553719,11,8
SG,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,14907->3491,2,0.1111111111111111,3,False,False,True,242,18,193,31,0.0743801652892562,0.7975206611570248,0.128099173553719,11,8
SG,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,134707->6939,2,0.1111111111111111,4,False,False,False,242,18,193,31,0.0743801652892562,0.7975206611570248,0.128099173553719,11,8
SG,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,1273->3491,1,0.05555555555555555,5,False,False,False,242,18,193,31,0.0743801652892562,0.7975206611570248,0.128099173553719,11,8
SG,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,15412->3491,1,0.05555555555555555,6,False,False,False,242,18,193,31,0.0743801652892562,0.7975206611570248,0.128099173553719,11,8
