probe_country,service_id,path_scope_stratum,msm_id,file_name,as_boundary_transition_key,as_boundary_observation_count,share_of_as_boundary_observations,rank_within_unit,is_top1_as_boundary_transition,is_top2_as_boundary_transition,is_top3_as_boundary_transition,group_total_hop_pair_segments,group_cross_as_boundary_segments,group_intra_as_hop_pair_segments,group_country_fallback_segments,cross_as_boundary_coverage_rate,intra_as_hop_pair_share,country_fallback_share,group_unique_probes,group_unique_probe_asns
ID,I-Root,all_publicly_visible,5005,dns-root_i-root_msm5005_20260701T000000Z_010000Z.json,45147->1299,4,0.12903225806451613,3,False,False,True,125,31,40,54,0.248,0.32,0.432,14,12
ID,I-Root,all_publicly_visible,5005,dns-root_i-root_msm5005_20260701T000000Z_010000Z.json,23700->7632,3,0.0967741935483871,4,False,False,False,125,31,40,54,0.248,0.32,0.432,14,12
ID,I-Root,all_publicly_visible,5005,dns-root_i-root_msm5005_20260701T000000Z_010000Z.json,138074->4787,2,0.06451612903225806,5,False,False,False,125,31,40,54,0.248,0.32,0.432,14,12
ID,I-Root,all_publicly_visible,5005,dns-root_i-root_msm5005_20260701T000000Z_010000Z.json,24203->45430,2,0.06451612903225806,6,False,False,False,125,31,40,54,0.248,0.32,0.432,14,12
ID,I-Root,all_publicly_visible,5005,dns-root_i-root_msm5005_20260701T000000Z_010000Z.json,149728->58389,2,0.06451612903225806,7,False,False,False,125,31,40,54,0.248,0.32,0.432,14,12
ID,I-Root,all_publicly_visible,5005,dns-root_i-root_msm5005_20260701T000000Z_010000Z.json,142360->4800,2,0.06451612903225806,8,False,False,False,125,31,40,54,0.248,0.32,0.432,14,12
ID,I-Root,all_publicly_visible,5005,dns-root_i-root_msm5005_20260701T000000Z_010000Z.json,141626->58389,2,0.06451612903225806,9,False,False,False,125,31,40,54,0.248,0.32,0.432,14,12
ID,I-Root,all_publicly_visible,5005,dns-root_i-root_msm5005_20260701T000000Z_010000Z.json,9905->7632,2,0.06451612903225806,10,False,False,False,125,31,40,54,0.248,0.32,0.432,14,12
ID,I-Root,all_publicly_visible,5005,dns-root_i-root_msm5005_20260701T000000Z_010000Z.json,131749->58389,1,0.03225806451612903,11,False,False,False,125,31,40,54,0.248,0.32,0.432,14,12
ID,I-Root,all_publicly_visible,5005,dns-root_i-root_msm5005_20260701T000000Z_010000Z.json,4800->2914,1,0.03225806451612903,12,False,False,False,125,31,40,54,0.248,0.32,0.432,14,12
IL,I-Root,all_publicly_visible,5005,dns-root_i-root_msm5005_20260701T000000Z_010000Z.json,208905->3491,1,1.0,1,True,False,False,18,1,17,0,0.05555555555555555,0.9444444444444444,0.0,1,1
KY,I-Root,all_publicly_visible,5005,dns-root_i-root_msm5005_20260701T000000Z_010000Z.json,36549->3855,2,1.0,1,True,False,False,2,2,0,0,1.0,0.0,0.0,1,1
