landing_station_id,landing_station_name,landing_region_id,landing_region_label,latitude,longitude,region_assignment_method
atafona-brazil,"Atafona, Brazil",landing_region_0085,"Atafona, Brazil",-21.631160717587278,-41.027240450573984,geographic_connected_component
atafu-tokelau,"Atafu, Tokelau",landing_region_0086,"Atafu, Tokelau",-8.559089911025799,-172.5108858421898,geographic_connected_component
atalaia-do-norte-brazil,"Atalaia do Norte, Brazil",landing_region_0087,"Atalaia do Norte, Brazil",-4.366370093000299,-70.19319400999984,geographic_connected_component
athens-greece,"Athens, Greece",landing_region_0088,"Athens, Greece",37.97607760623158,23.73628788908491,geographic_connected_component
auckland-new-zealand,"Auckland, New Zealand",landing_region_0089,"Auckland, New Zealand",-36.88420899999972,174.7704190000004,geographic_connected_component
auki-solomon-islands,"Auki, Solomon Islands",landing_region_0090,"Auki, Solomon Islands",-8.774649361837039,160.70132758051585,geographic_connected_component
aupaluk-qc-canada,"Aupaluk, QC, Canada",landing_region_0091,"Aupaluk, QC, Canada",59.30574000000011,-69.59748899999985,geographic_connected_component
autazes-brazil,"Autazes, Brazil",landing_region_0092,"Autazes, Brazil",-3.580329971999896,-59.131660679999904,geographic_connected_component
auxiliadora-brazil,"Auxiliadora, Brazil",landing_region_0093,"Auxiliadora, Brazil",-6.249583144669121,-61.83829256374144,geographic_connected_component
awashimaura-japan,"Awashimaura, Japan",landing_region_0094,"Awashimaura, Japan",38.464632729999536,139.25283649999992,geographic_connected_component
aylesford-ns-canada,"Aylesford, NS, Canada",landing_region_0095,"Aylesford, NS, Canada",45.089458,-64.94827799999959,geographic_connected_component
ayre-of-cara-united-kingdom,"Ayre of Cara, United Kingdom",landing_region_0021,"Aikerness Bay, United Kingdom",58.83327167074278,-2.900119022684513,geographic_connected_component
baa-indonesia,"Baa, Indonesia",landing_region_0096,"Baa, Indonesia",-10.733340209244103,123.03526539632057,geographic_connected_component
baby-beach-aruba,"Baby Beach, Aruba",landing_region_0097,"Baby Beach, Aruba",12.414141621401608,-69.87868485568913,geographic_connected_component
baclayon-philippines,"Baclayon, Philippines",landing_region_0098,"Baclayon, Philippines",9.622559999999629,123.9135399999997,geographic_connected_component
bacolod-philippines,"Bacolod, Philippines",landing_region_0099,"Bacolod, Philippines",10.640738999999655,122.968957,geographic_connected_component
bacong-philippines,"Bacong, Philippines",landing_region_0100,"Bacong, Philippines",9.246330876791975,123.29495595749427,geographic_connected_component
bagre-brazil,"Bagre, Brazil",landing_region_0101,"Bagre, Brazil",-1.898843353,-50.20909264999976,geographic_connected_component
bahar-ic-caghaq-malta,"Bahar ic-Caghaq, Malta",landing_region_0102,"Bahar ic-Caghaq, Malta",35.93405994507042,14.45875539887589,geographic_connected_component
baie-comeau-qc-canada,"Baie-Comeau, QC, Canada",landing_region_0103,"Baie-Comeau, QC, Canada",49.22103999999976,-68.15247899999949,geographic_connected_component
baie-du-tombeau-mauritius,"Baie du Tombeau, Mauritius",landing_region_0104,"Baie du Tombeau, Mauritius",-20.122119652452948,57.49512645132687,geographic_connected_component
baie-jacotet-mauritius,"Baie Jacotet, Mauritius",landing_region_0104,"Baie du Tombeau, Mauritius",-20.473998881300506,57.48538507465786,geographic_connected_component
