probe_country,service_id,service_class,deployment_type,path_scope_stratum,total_valid_traces,mappable_traces,traces_with_feasible_submarine_corridor_candidates,submarine_candidate_exposure_rate,any_candidate_exposure_rate,inter_region_candidate_exposure_rate,domestic_inter_region_candidate_exposure_rate,international_inter_region_candidate_exposure_rate,intra_region_candidate_rate,submarine_exposed_traces,service_physical_exposure_rate,mappable_trace_rate,unique_probes,unique_probe_asns,unique_target_ips,unique_target_asns,service_entry_resolution_rate,sufficient_trace_observation,auditable_paper_case,observation_sufficiency_reason,failed_thresholds,analysis_scope
PA,J-Root,dns_root,anycast,all_publicly_visible,36,25,2,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.0,0.05555555555555555,0.0,2,0.05555555555555555,0.6944444444444444,18,11,1,1,0.0,True,True,auditable,,probe_country_service
PE,J-Root,dns_root,anycast,all_publicly_visible,38,28,1,0.02631578947368421,0.02631578947368421,0.02631578947368421,0.0,0.02631578947368421,0.0,1,0.02631578947368421,0.7368421052631579,19,14,1,1,0.0,True,True,auditable,,probe_country_service
PH,J-Root,dns_root,anycast,all_publicly_visible,118,95,36,0.3050847457627119,0.3050847457627119,0.288135593220339,0.0847457627118644,0.23728813559322035,0.03389830508474576,36,0.3050847457627119,0.8050847457627118,59,33,1,1,0.0,True,True,auditable,,probe_country_service
PL,J-Root,dns_root,anycast,all_publicly_visible,405,380,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.9382716049382716,203,119,1,1,0.0,True,True,auditable,,probe_country_service
PT,J-Root,dns_root,anycast,all_publicly_visible,190,159,53,0.2789473684210526,0.2789473684210526,0.0,0.0,0.0,0.2789473684210526,53,0.2789473684210526,0.8368421052631579,95,21,1,1,0.0,True,True,auditable,,probe_country_service
RE,J-Root,dns_root,anycast,all_publicly_visible,72,72,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,36,4,1,1,0.0,True,True,auditable,,probe_country_service
RO,J-Root,dns_root,anycast,all_publicly_visible,161,87,2,0.012422360248447204,0.012422360248447204,0.012422360248447204,0.012422360248447204,0.012422360248447204,0.0,2,0.012422360248447204,0.5403726708074534,81,43,1,1,0.0,True,True,auditable,,probe_country_service
RS,J-Root,dns_root,anycast,all_publicly_visible,90,75,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.8333333333333334,45,16,1,1,0.0,True,True,auditable,,probe_country_service
RU,J-Root,dns_root,anycast,all_publicly_visible,936,747,1,0.0010683760683760685,0.0010683760683760685,0.0010683760683760685,0.0,0.0010683760683760685,0.0,1,0.0010683760683760685,0.7980769230769231,467,280,1,1,0.0,True,True,auditable,,probe_country_service
SA,J-Root,dns_root,anycast,all_publicly_visible,30,10,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.3333333333333333,15,8,1,1,0.0,True,True,auditable,,probe_country_service
