country,msm_id,file_name,network_transition_key,network_transition_representation,network_transition_observation_count,unique_atomic_segments,share_of_network_transition_observations,rank_within_unit,is_top1_network_transition,is_top2_network_transition,is_top3_network_transition,used_country_fallback_transition,group_total_mappable_segments,group_unique_probes,group_unique_probe_asns,domestic_segment_count,international_segment_count
ID,176517335,edge-localization-extension_netflix-assets_msm176517335_20260701T000000Z_010000Z.json,9905->7632,as_transition,3,3,0.02,12,False,False,False,False,150,54,39,3,0
ID,176517335,edge-localization-extension_netflix-assets_msm176517335_20260701T000000Z_010000Z.json,141626->58389,as_transition,3,3,0.02,13,False,False,False,False,150,54,39,3,0
ID,176517335,edge-localization-extension_netflix-assets_msm176517335_20260701T000000Z_010000Z.json,55818->55818,as_transition,3,3,0.02,14,False,False,False,False,150,54,39,3,0
ID,176517335,edge-localization-extension_netflix-assets_msm176517335_20260701T000000Z_010000Z.json,153087->-1,as_transition,3,3,0.02,15,False,False,False,False,150,54,39,0,3
ID,176517335,edge-localization-extension_netflix-assets_msm176517335_20260701T000000Z_010000Z.json,-1->45430,as_transition,3,3,0.02,16,False,False,False,False,150,54,39,0,3
ID,176517335,edge-localization-extension_netflix-assets_msm176517335_20260701T000000Z_010000Z.json,149728->58389,as_transition,3,3,0.02,17,False,False,False,False,150,54,39,3,0
ID,176517335,edge-localization-extension_netflix-assets_msm176517335_20260701T000000Z_010000Z.json,58389->-1,as_transition,3,3,0.02,18,False,False,False,False,150,54,39,0,3
ID,176517335,edge-localization-extension_netflix-assets_msm176517335_20260701T000000Z_010000Z.json,131749->58389,as_transition,3,3,0.02,19,False,False,False,False,150,54,39,3,0
ID,176517335,edge-localization-extension_netflix-assets_msm176517335_20260701T000000Z_010000Z.json,24521->24521,as_transition,3,3,0.02,20,False,False,False,False,150,54,39,3,0
ID,176517335,edge-localization-extension_netflix-assets_msm176517335_20260701T000000Z_010000Z.json,134654->-1,as_transition,3,3,0.02,21,False,False,False,False,150,54,39,0,3
ID,176517335,edge-localization-extension_netflix-assets_msm176517335_20260701T000000Z_010000Z.json,4761->4761,as_transition,3,3,0.02,22,False,False,False,False,150,54,39,3,0
ID,176517335,edge-localization-extension_netflix-assets_msm176517335_20260701T000000Z_010000Z.json,-1->133840,as_transition,3,3,0.02,23,False,False,False,False,150,54,39,3,0
ID,176517335,edge-localization-extension_netflix-assets_msm176517335_20260701T000000Z_010000Z.json,21859->-1,as_transition,2,2,0.013333333333333334,24,False,False,False,False,150,54,39,0,2
