probe_country,service_id,service_class,deployment_type,path_scope_stratum,total_valid_traces,mappable_traces,traces_with_feasible_submarine_corridor_candidates,submarine_candidate_exposure_rate,any_candidate_exposure_rate,inter_region_candidate_exposure_rate,domestic_inter_region_candidate_exposure_rate,international_inter_region_candidate_exposure_rate,intra_region_candidate_rate,submarine_exposed_traces,service_physical_exposure_rate,mappable_trace_rate,unique_probes,unique_probe_asns,unique_target_ips,unique_target_asns,service_entry_resolution_rate,sufficient_trace_observation,auditable_paper_case,observation_sufficiency_reason,failed_thresholds,analysis_scope
FI,Topology-IPv4-UDP,topology_baseline,dynamic_multi_target,resolved_entry_only,199,199,135,0.678391959798995,0.678391959798995,0.6231155778894473,0.20100502512562815,0.5577889447236181,0.17587939698492464,135,0.678391959798995,1.0,118,48,195,166,1.0,True,True,auditable,,probe_country_service
FR,Topology-IPv4-UDP,topology_baseline,dynamic_multi_target,all_publicly_visible,3086,2926,498,0.16137394685677253,0.16137394685677253,0.09332469215813351,0.01782242384964355,0.07874270900842514,0.10920285158781594,498,0.16137394685677253,0.948152948801037,952,163,2987,1938,0.40084251458198317,True,True,auditable,,probe_country_service
FR,Topology-IPv4-UDP,topology_baseline,dynamic_multi_target,resolved_entry_only,1237,1237,256,0.20695230396119643,0.20695230396119643,0.12045270816491511,0.025060630557801132,0.10185933710590138,0.1463217461600647,256,0.20695230396119643,1.0,745,133,1210,816,1.0,True,True,auditable,,probe_country_service
GB,Topology-IPv4-UDP,topology_baseline,dynamic_multi_target,all_publicly_visible,1671,1561,260,0.15559545182525433,0.15559545182525433,0.06642728904847396,0.016756433273488927,0.05326152004787552,0.12387791741472172,260,0.15559545182525433,0.9341711549970078,525,186,1629,1162,0.39916217833632556,True,True,auditable,,probe_country_service
GB,Topology-IPv4-UDP,topology_baseline,dynamic_multi_target,resolved_entry_only,667,667,136,0.20389805097451275,0.20389805097451275,0.08995502248875563,0.017991004497751123,0.07646176911544228,0.15742128935532235,136,0.20389805097451275,1.0,414,159,661,495,1.0,True,True,auditable,,probe_country_service
GE,Topology-IPv4-UDP,topology_baseline,dynamic_multi_target,all_publicly_visible,34,34,8,0.23529411764705882,0.23529411764705882,0.20588235294117646,0.029411764705882353,0.17647058823529413,0.058823529411764705,8,0.23529411764705882,1.0,10,6,34,33,0.5,True,True,auditable,,probe_country_service
GR,Topology-IPv4-UDP,topology_baseline,dynamic_multi_target,all_publicly_visible,239,220,41,0.17154811715481172,0.17154811715481172,0.09623430962343096,0.012552301255230125,0.08368200836820083,0.11715481171548117,41,0.17154811715481172,0.9205020920502092,73,26,237,216,0.39748953974895396,True,True,auditable,,probe_country_service
GR,Topology-IPv4-UDP,topology_baseline,dynamic_multi_target,resolved_entry_only,95,95,21,0.22105263157894736,0.22105263157894736,0.11578947368421053,0.010526315789473684,0.10526315789473684,0.1368421052631579,21,0.22105263157894736,1.0,56,25,95,90,1.0,True,True,auditable,,probe_country_service
HK,Topology-IPv4-UDP,topology_baseline,dynamic_multi_target,all_publicly_visible,155,142,111,0.7161290322580646,0.7161290322580646,0.18064516129032257,0.025806451612903226,0.16129032258064516,0.7032258064516129,111,0.7161290322580646,0.9161290322580645,49,32,153,143,0.4,True,True,auditable,,probe_country_service
HK,Topology-IPv4-UDP,topology_baseline,dynamic_multi_target,resolved_entry_only,62,62,49,0.7903225806451613,0.7903225806451613,0.20967741935483872,0.04838709677419355,0.1774193548387097,0.7741935483870968,49,0.7903225806451613,1.0,41,27,62,58,1.0,True,True,auditable,,probe_country_service
HR,Topology-IPv4-UDP,topology_baseline,dynamic_multi_target,all_publicly_visible,133,112,22,0.16541353383458646,0.16541353383458646,0.09022556390977443,0.015037593984962405,0.07518796992481203,0.12030075187969924,22,0.16541353383458646,0.8421052631578947,42,20,133,127,0.3609022556390977,True,True,auditable,,probe_country_service
HR,Topology-IPv4-UDP,topology_baseline,dynamic_multi_target,resolved_entry_only,48,48,11,0.22916666666666666,0.22916666666666666,0.16666666666666666,0.020833333333333332,0.14583333333333334,0.125,11,0.22916666666666666,1.0,33,18,48,48,1.0,True,True,auditable,,probe_country_service
HU,Topology-IPv4-UDP,topology_baseline,dynamic_multi_target,all_publicly_visible,183,171,18,0.09836065573770492,0.09836065573770492,0.04371584699453552,0.02185792349726776,0.0273224043715847,0.07650273224043716,18,0.09836065573770492,0.9344262295081968,55,23,165,149,0.41530054644808745,True,True,auditable,,probe_country_service
HU,Topology-IPv4-UDP,topology_baseline,dynamic_multi_target,resolved_entry_only,76,76,14,0.18421052631578946,0.18421052631578946,0.05263157894736842,0.013157894736842105,0.039473684210526314,0.15789473684210525,14,0.18421052631578946,1.0,41,19,72,67,1.0,True,True,auditable,,probe_country_service
ID,Topology-IPv4-UDP,topology_baseline,dynamic_multi_target,all_publicly_visible,251,245,226,0.900398406374502,0.900398406374502,0.6414342629482072,0.3705179282868526,0.38247011952191234,0.7928286852589641,226,0.900398406374502,0.9760956175298805,79,57,245,223,0.44223107569721115,True,True,auditable,,probe_country_service
ID,Topology-IPv4-UDP,topology_baseline,dynamic_multi_target,resolved_entry_only,111,111,104,0.9369369369369369,0.9369369369369369,0.6306306306306306,0.36936936936936937,0.34234234234234234,0.8288288288288288,104,0.9369369369369369,1.0,66,49,110,100,1.0,True,True,auditable,,probe_country_service
IE,Topology-IPv4-UDP,topology_baseline,dynamic_multi_target,all_publicly_visible,279,268,61,0.21863799283154123,0.21863799283154123,0.14336917562724014,0.03225806451612903,0.11827956989247312,0.13620071684587814,61,0.21863799283154123,0.9605734767025089,88,25,273,248,0.40860215053763443,True,True,auditable,,probe_country_service
