probe_country,service_id,path_scope_stratum,msm_id,file_name,network_transition_key,network_transition_representation,network_transition_observation_count,unique_atomic_segments,share_of_network_transition_observations,rank_within_unit,is_top1_network_transition,is_top2_network_transition,is_top3_network_transition,used_country_fallback_transition,group_total_mappable_segments,group_unique_probes,group_unique_probe_asns,domestic_segment_count,international_segment_count
RU,A-Root,all_publicly_visible,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,6939->6939,as_transition,4,4,1.0,1,True,False,False,False,4,4,4,0,4
SE,A-Root,all_publicly_visible,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,1299->1299,as_transition,22,22,0.7096774193548387,1,True,False,False,False,31,29,8,22,0
SE,A-Root,all_publicly_visible,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,8434->8434,as_transition,4,4,0.12903225806451613,2,False,True,False,False,31,29,8,4,0
SE,A-Root,all_publicly_visible,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,2603->2603,as_transition,3,3,0.0967741935483871,3,False,False,True,False,31,29,8,0,3
SE,A-Root,all_publicly_visible,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,42708->42708,as_transition,1,1,0.03225806451612903,4,False,False,False,False,31,29,8,1,0
SE,A-Root,all_publicly_visible,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,8473->8473,as_transition,1,1,0.03225806451612903,5,False,False,False,False,31,29,8,1,0
SG,A-Root,all_publicly_visible,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,7473->7473,as_transition,5,5,0.5,1,True,False,False,False,10,8,6,0,5
SG,A-Root,all_publicly_visible,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,2914->2914,as_transition,2,2,0.2,2,False,True,False,False,10,8,6,0,2
SG,A-Root,all_publicly_visible,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,58453->58453,as_transition,1,1,0.1,3,False,False,True,False,10,8,6,0,1
SG,A-Root,all_publicly_visible,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,7473->2914,as_transition,1,1,0.1,4,False,False,False,False,10,8,6,0,1
SG,A-Root,all_publicly_visible,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,8888->8888,as_transition,1,1,0.1,5,False,False,False,False,10,8,6,0,1
SL,A-Root,all_publicly_visible,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,329109->60171,as_transition,1,1,1.0,1,True,False,False,False,1,1,1,0,1
SV,A-Root,all_publicly_visible,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,23520->23520,as_transition,1,1,1.0,1,True,False,False,False,1,1,1,0,1
TH,A-Root,all_publicly_visible,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,58453->58453,as_transition,1,1,1.0,1,True,False,False,False,1,1,1,0,1
TL,A-Root,all_publicly_visible,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,7699->4826,as_transition,1,1,0.5,1,True,False,False,False,2,1,1,1,0
TL,A-Root,all_publicly_visible,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,-1->-1,as_transition,1,1,0.5,2,False,True,False,False,2,1,1,1,0
TO,A-Root,all_publicly_visible,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,24390->24390,as_transition,1,1,0.5,1,True,False,False,False,2,1,1,0,1
TO,A-Root,all_publicly_visible,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,24390->7575,as_transition,1,1,0.5,2,False,True,False,False,2,1,1,0,1
TV,A-Root,all_publicly_visible,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,9241->-1,as_transition,1,1,0.3333333333333333,1,True,False,False,False,3,1,1,0,1
TV,A-Root,all_publicly_visible,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,-1->6939,as_transition,1,1,0.3333333333333333,2,False,True,False,False,3,1,1,1,0
TV,A-Root,all_publicly_visible,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,6939->6939,as_transition,1,1,0.3333333333333333,3,False,False,True,False,3,1,1,0,1
TW,A-Root,all_publicly_visible,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,3462->-1,as_transition,11,11,0.5,1,True,False,False,False,22,20,7,11,0
TW,A-Root,all_publicly_visible,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,18041->7539,as_transition,2,2,0.09090909090909091,2,False,True,False,False,22,20,7,2,0
TW,A-Root,all_publicly_visible,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,4780->4780,as_transition,2,2,0.09090909090909091,3,False,False,True,False,22,20,7,2,0
TW,A-Root,all_publicly_visible,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,7539->3491,as_transition,2,2,0.09090909090909091,4,False,False,False,False,22,20,7,2,0
TW,A-Root,all_publicly_visible,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,1659->1659,as_transition,2,2,0.09090909090909091,5,False,False,False,False,22,20,7,2,0
