country,msm_id,file_name,network_transition_key,network_transition_representation,network_transition_observation_count,unique_atomic_segments,share_of_network_transition_observations,rank_within_unit,is_top1_network_transition,is_top2_network_transition,is_top3_network_transition,used_country_fallback_transition,group_total_mappable_segments,group_unique_probes,group_unique_probe_asns,domestic_segment_count,international_segment_count
TW,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,3462->3462,as_transition,1,1,0.034482758620689655,8,False,False,False,False,29,27,8,1,0
US,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,6939->6939,as_transition,9,9,0.3333333333333333,1,True,False,False,False,27,27,15,9,0
US,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,137409->7578,as_transition,6,6,0.2222222222222222,2,False,True,False,False,27,27,15,0,6
US,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,174->174,as_transition,3,3,0.1111111111111111,3,False,False,True,False,27,27,15,3,0
US,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,1299->1299,as_transition,2,2,0.07407407407407407,4,False,False,False,False,27,27,15,2,0
US,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,26370->-1,as_transition,1,1,0.037037037037037035,5,False,False,False,False,27,27,15,1,0
US,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,174->3356,as_transition,1,1,0.037037037037037035,6,False,False,False,False,27,27,15,0,1
US,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,7922->7922,as_transition,1,1,0.037037037037037035,7,False,False,False,False,27,27,15,1,0
US,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,63479->63479,as_transition,1,1,0.037037037037037035,8,False,False,False,False,27,27,15,1,0
US,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,7018->7018,as_transition,1,1,0.037037037037037035,9,False,False,False,False,27,27,15,1,0
US,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,17456->17456,as_transition,1,1,0.037037037037037035,10,False,False,False,False,27,27,15,1,0
US,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,19518->19518,as_transition,1,1,0.037037037037037035,11,False,False,False,False,27,27,15,1,0
VI,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,14434->14434,as_transition,1,1,1.0,1,True,False,False,False,1,1,1,0,1
ZA,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,37640->60171,as_transition,3,3,0.5,1,True,False,False,False,6,6,3,0,3
ZA,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,37100->37100,as_transition,3,3,0.5,2,False,True,False,False,6,6,3,0,3
