probe_country,total_valid_traces,mappable_traces,submarine_exposed_traces,service_physical_exposure_rate,mappable_trace_rate,unique_services,unique_probes,unique_probe_asns,unique_target_ips,unique_target_asns
FR,1849,1780,312,0.1687398593834505,0.9626825310978907,1,946,162,7,3
GB,1012,957,14,0.01383399209486166,0.9456521739130435,1,522,185,5,2
GE,20,20,0,0.0,1.0,1,10,6,2,1
GF,2,2,0,0.0,1.0,1,1,1,1,1
GG,2,2,0,0.0,1.0,1,1,1,1,1
GH,6,6,2,0.3333333333333333,1.0,1,3,3,2,1
GP,4,4,4,1.0,1.0,1,2,2,1,1
GQ,2,2,2,1.0,1.0,1,1,1,1,1
GR,142,127,0,0.0,0.8943661971830986,1,73,26,3,2
GT,6,6,1,0.16666666666666666,1.0,1,4,3,1,1
GU,17,17,17,1.0,1.0,1,9,5,3,1
HK,97,88,57,0.5876288659793815,0.9072164948453608,1,49,32,4,2
HN,17,17,10,0.5882352941176471,1.0,1,9,6,1,1
HR,82,81,0,0.0,0.9878048780487805,1,41,20,3,2
HT,2,2,0,0.0,1.0,1,1,1,2,1
HU,107,96,0,0.0,0.897196261682243,1,55,23,1,1
ID,146,143,95,0.6506849315068494,0.9794520547945206,1,77,56,3,1
IE,172,165,0,0.0,0.9593023255813954,1,88,25,3,2
IL,57,57,18,0.3157894736842105,1.0,1,30,12,1,1
IM,5,5,2,0.4,1.0,1,3,3,1,1
IN,257,229,64,0.2490272373540856,0.8910505836575876,1,131,57,5,2
IQ,15,15,0,0.0,1.0,1,8,6,2,1
IR,80,18,0,0.0,0.225,1,42,21,3,2
IS,21,21,0,0.0,1.0,1,11,8,1,1
IT,584,566,5,0.008561643835616438,0.9691780821917808,1,303,101,4,2
JO,4,4,0,0.0,1.0,1,2,2,1,1
JP,436,407,220,0.5045871559633027,0.9334862385321101,1,223,99,2,2
KE,25,23,2,0.08,0.92,1,14,9,1,1
KG,39,35,0,0.0,0.8974358974358975,1,20,13,2,1
KH,6,6,0,0.0,1.0,1,3,3,1,1
KI,4,4,4,1.0,1.0,1,2,1,1,1
KN,2,2,0,0.0,1.0,1,1,1,1,1
KR,42,35,4,0.09523809523809523,0.8333333333333334,1,22,12,2,2
KW,4,2,0,0.0,0.5,1,2,2,1,1
KY,2,2,2,1.0,1.0,1,1,1,1,1
KZ,90,88,0,0.0,0.9777777777777777,1,54,20,3,2
LA,2,2,0,0.0,1.0,1,1,1,1,1
LB,4,4,0,0.0,1.0,1,2,2,1,1
LC,4,4,4,1.0,1.0,1,2,2,1,1
LI,6,6,6,1.0,1.0,1,3,3,1,1
LK,21,21,15,0.7142857142857143,1.0,1,12,6,1,1
LS,2,2,0,0.0,1.0,1,1,1,1,1
LT,68,66,2,0.029411764705882353,0.9705882352941176,1,36,21,3,1
LU,69,61,0,0.0,0.8840579710144928,1,38,20,3,1
