country,total_mappable_segments,top1_network_transition_share,top2_network_transition_share,top3_network_transition_share,network_transition_entropy,network_transition_normalized_entropy,effective_network_transition_count,network_transition_concentration_tier,top1_corridor_share,top2_corridor_share,top3_corridor_share,corridor_entropy,corridor_normalized_entropy,effective_corridor_count,corridor_minus_network_normalized_entropy,normalized_entropy_reduction,corridor_concentration_tier,cross_layer_distribution_class,country_fallback_share,auditable_cross_layer_case,sufficient_trace_observation,sufficient_corridor_observation,sufficient_network_transition_resolution,auditable_paper_case,observation_sufficiency_reason,failed_thresholds,unique_probes,unique_probe_asns,domestic_segment_share,international_segment_share,analysis_scope
MT,4,1.0,1.0,1.0,-0.0,0.0,1.0,severe_network_transition_concentration,1.0,1.0,1.0,-0.0,0.0,1.0,0.0,0.0,severe_corridor_observation_concentration,network_and_physical_both_concentrated,0.0,False,False,False,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",2,2,0.0,1.0,transition_near_country
MV,60,0.55,0.8333333333333334,0.9,1.2067872804689548,0.6735208052166041,3.3427281349977385,moderate_network_transition_concentration,0.6833333333333333,0.9666666666666667,0.9833333333333334,0.7539932024915625,0.5438911270492827,2.125470527330243,-0.1296296781673214,0.1296296781673214,moderate_corridor_observation_concentration,network_and_physical_both_concentrated,0.2833333333333333,True,True,True,True,True,auditable,,10,3,0.6833333333333333,0.31666666666666665,transition_near_country
MX,4,1.0,1.0,1.0,-0.0,0.0,1.0,severe_network_transition_concentration,1.0,1.0,1.0,-0.0,0.0,1.0,0.0,0.0,severe_corridor_observation_concentration,network_and_physical_both_concentrated,0.0,False,False,False,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",2,2,0.0,1.0,transition_near_country
MY,75,0.9066666666666666,0.9466666666666667,0.9733333333333333,0.4108887863333855,0.29639360720003005,1.5081576194922075,severe_network_transition_concentration,0.76,0.84,0.92,0.8147468773673191,0.5877156397787998,2.2586038962236197,0.29132203257876976,-0.29132203257876976,moderate_corridor_observation_concentration,network_and_physical_both_concentrated,0.9066666666666666,False,True,True,False,False,insufficient_maximum_country_fallback_share,maximum_country_fallback_share,39,9,0.08,0.92,transition_near_country
NC,9,1.0,1.0,1.0,-0.0,0.0,1.0,severe_network_transition_concentration,1.0,1.0,1.0,-0.0,0.0,1.0,0.0,0.0,severe_corridor_observation_concentration,network_and_physical_both_concentrated,0.0,False,False,False,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",5,2,0.0,1.0,transition_near_country
NG,7,0.5714285714285714,0.8571428571428571,1.0,0.9556998911125343,0.8699155297736259,2.6004900059896596,moderate_network_transition_concentration,0.35714285714285715,0.7142857142857143,1.0,1.0933747175566466,0.9952325573220987,2.984328363147378,0.12531702754847285,-0.12531702754847285,weak_corridor_observation_concentration,network_and_physical_both_concentrated,0.0,False,False,False,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes","minimum_mappable_segments,minimum_unique_probes",5,4,0.0,1.0,transition_near_country
NO,277,0.21299638989169675,0.35018050541516244,0.4332129963898917,2.72573162557102,0.8366024744086475,15.267579993602014,broad_network_transition_distribution,0.6594464500601684,0.7448856799037304,0.7882069795427196,1.498769405077387,0.48487506324897717,4.476177318585804,-0.3517274111596704,0.3517274111596704,broad_corridor_observation_distribution,network_and_physical_both_broad,0.0,True,True,True,True,True,auditable,,68,26,1.0,0.0,transition_near_country
NU,2,1.0,1.0,1.0,-0.0,0.0,1.0,severe_network_transition_concentration,1.0,1.0,1.0,-0.0,0.0,1.0,0.0,0.0,severe_corridor_observation_concentration,network_and_physical_both_concentrated,0.0,False,False,False,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,0.0,1.0,transition_near_country
NZ,282,0.2695035460992908,0.5283687943262412,0.677304964539007,2.190102761963192,0.689133312044438,8.93613136191959,broad_network_transition_distribution,0.2872340425531915,0.3900709219858156,0.4929078014184397,2.17183796886345,0.8740118945911872,8.774396296481378,0.18487858254674927,-0.18487858254674927,broad_corridor_observation_distribution,network_and_physical_both_broad,0.0035460992907801418,True,True,True,True,True,auditable,,69,20,0.5957446808510638,0.40425531914893614,transition_near_country
PA,2,1.0,1.0,1.0,-0.0,0.0,1.0,severe_network_transition_concentration,1.0,1.0,1.0,-0.0,0.0,1.0,0.0,0.0,severe_corridor_observation_concentration,network_and_physical_both_concentrated,0.0,False,False,False,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,0.0,1.0,transition_near_country
PE,16,0.9375,1.0,1.0,0.2337916587064593,0.3372900666170139,1.2633812503027273,severe_network_transition_concentration,1.0,1.0,1.0,-0.0,0.0,1.0,-0.3372900666170139,0.3372900666170139,severe_corridor_observation_concentration,network_and_physical_both_concentrated,0.0,False,False,False,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes","minimum_mappable_segments,minimum_unique_probes",9,7,0.0,1.0,transition_near_country
PG,2,1.0,1.0,1.0,-0.0,0.0,1.0,severe_network_transition_concentration,1.0,1.0,1.0,-0.0,0.0,1.0,0.0,0.0,severe_corridor_observation_concentration,network_and_physical_both_concentrated,0.0,False,False,False,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,0.0,1.0,transition_near_country
PH,99,0.2727272727272727,0.4242424242424242,0.5555555555555556,2.261315216343022,0.7981450535968369,9.595701294273221,broad_network_transition_distribution,0.7676767676767676,0.8686868686868686,0.8888888888888888,0.9679172582426601,0.420361124193712,2.63245601976026,-0.37778392940312483,0.37778392940312483,moderate_corridor_observation_concentration,network_broad_physical_concentrated,0.13131313131313133,True,True,True,True,True,auditable,,49,25,0.1414141414141414,0.8585858585858586,transition_near_country
PK,8,1.0,1.0,1.0,-0.0,0.0,1.0,severe_network_transition_concentration,1.0,1.0,1.0,-0.0,0.0,1.0,0.0,0.0,severe_corridor_observation_concentration,network_and_physical_both_concentrated,1.0,False,False,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,maximum_country_fallback_share","minimum_mappable_segments,minimum_unique_probes,maximum_country_fallback_share",4,4,0.0,1.0,transition_near_country
PR,4,0.5,1.0,1.0,0.6931471805599453,1.0,2.0,moderate_network_transition_concentration,1.0,1.0,1.0,-0.0,0.0,1.0,-1.0,1.0,severe_corridor_observation_concentration,network_and_physical_both_concentrated,0.0,False,False,False,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",2,2,0.0,1.0,transition_near_country
PT,401,0.26683291770573564,0.5162094763092269,0.6533665835411471,2.3546511782182513,0.7066346531337137,10.534453573857133,broad_network_transition_distribution,0.7855361596009975,1.0,1.0,0.5198111811522648,0.749929013247007,1.6817100811586179,0.04329436011329335,-0.04329436011329335,moderate_corridor_observation_concentration,network_broad_physical_concentrated,0.14463840399002495,True,True,True,True,True,auditable,,71,22,0.7855361596009975,0.2144638403990025,transition_near_country
SA,4,1.0,1.0,1.0,-0.0,0.0,1.0,severe_network_transition_concentration,0.75,1.0,1.0,0.5623351446188083,0.8112781244591328,1.7547653506033232,0.8112781244591328,-0.8112781244591328,moderate_corridor_observation_concentration,network_and_physical_both_concentrated,0.0,False,False,False,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",2,2,0.25,0.75,transition_near_country
SE,301,0.16279069767441862,0.29900332225913623,0.42524916943521596,2.5395142601372607,0.8786116364442044,12.673513444795919,broad_network_transition_distribution,0.6445182724252492,0.7541528239202657,0.8637873754152824,1.2053461995213828,0.5796489948679527,3.3379144624484316,-0.29896264157625163,0.29896264157625163,weak_corridor_observation_concentration,network_and_physical_both_broad,0.026578073089700997,True,True,True,True,True,auditable,,78,30,0.8172757475083057,0.18272425249169436,transition_near_country
SG,4909,0.3063760440008148,0.5005092686901609,0.5636585862701161,2.7091043525585183,0.5809241415801829,15.015820609038618,broad_network_transition_distribution,0.33306172336524753,0.6661234467304951,0.9991851700957426,1.1048919045077308,0.6865079391827558,3.0188981218899746,0.10558379760257286,-0.10558379760257286,weak_corridor_observation_concentration,network_and_physical_both_broad,0.3063760440008148,False,True,True,False,False,insufficient_maximum_country_fallback_share,maximum_country_fallback_share,1296,505,0.9991851700957425,0.0008148299042574863,transition_near_country
SL,1,1.0,1.0,1.0,-0.0,0.0,1.0,severe_network_transition_concentration,1.0,1.0,1.0,-0.0,0.0,1.0,0.0,0.0,severe_corridor_observation_concentration,network_and_physical_both_concentrated,0.0,False,False,False,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,0.0,1.0,transition_near_country
SN,4,0.5,1.0,1.0,0.6931471805599453,1.0,2.0,moderate_network_transition_concentration,0.5,0.75,1.0,1.0397207708399179,0.946394630357186,2.82842712474619,-0.05360536964281404,0.05360536964281404,weak_corridor_observation_concentration,network_and_physical_both_concentrated,0.0,False,False,False,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",2,2,0.0,1.0,transition_near_country
TH,2,1.0,1.0,1.0,-0.0,0.0,1.0,severe_network_transition_concentration,0.3333333333333333,0.6666666666666666,1.0,1.0986122886681096,0.9999999999999998,2.9999999999999996,0.9999999999999998,-0.9999999999999998,weak_corridor_observation_concentration,network_and_physical_both_concentrated,0.0,False,False,False,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",2,1,0.0,1.0,transition_near_country
TO,2,1.0,1.0,1.0,-0.0,0.0,1.0,severe_network_transition_concentration,1.0,1.0,1.0,-0.0,0.0,1.0,0.0,0.0,severe_corridor_observation_concentration,network_and_physical_both_concentrated,0.0,False,False,False,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,0.0,1.0,transition_near_country
TW,190,0.2631578947368421,0.4631578947368421,0.6,2.2381702808250603,0.7743537746349187,9.376159843320524,broad_network_transition_distribution,0.3631578947368421,0.5039473684210527,0.6447368421052632,2.0691752323651333,0.8067119244853013,7.918289674886353,0.032358149850382545,-0.032358149850382545,broad_corridor_observation_distribution,network_and_physical_both_broad,0.4789473684210526,False,True,True,False,False,insufficient_maximum_country_fallback_share,maximum_country_fallback_share,59,20,0.4526315789473683,0.5473684210526314,transition_near_country
TZ,2,1.0,1.0,1.0,-0.0,0.0,1.0,severe_network_transition_concentration,1.0,1.0,1.0,-0.0,0.0,1.0,0.0,0.0,severe_corridor_observation_concentration,network_and_physical_both_concentrated,0.0,False,False,False,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,0.0,1.0,transition_near_country
US,765,0.13856209150326798,0.257516339869281,0.34901960784313724,3.262208479501707,0.7873768764316604,26.107130584886235,broad_network_transition_distribution,0.7241830065359477,0.8470588235294118,0.8753812636165577,1.1105072098454483,0.41007630116807214,3.035897841266243,-0.3773005752635883,0.3773005752635883,moderate_corridor_observation_concentration,network_broad_physical_concentrated,0.08888888888888889,True,True,True,True,True,auditable,,220,80,0.9529411764705882,0.047058823529411764,transition_near_country
VE,11,0.45454545454545453,0.9090909090909091,1.0,0.9347698978582794,0.8508642289005679,2.5466274058954403,moderate_network_transition_concentration,1.0,1.0,1.0,-0.0,0.0,1.0,-0.8508642289005679,0.8508642289005679,severe_corridor_observation_concentration,network_and_physical_both_concentrated,0.0,False,False,False,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",4,2,1.0,0.0,transition_near_country
VI,4,1.0,1.0,1.0,-0.0,0.0,1.0,severe_network_transition_concentration,1.0,1.0,1.0,-0.0,0.0,1.0,0.0,0.0,severe_corridor_observation_concentration,network_and_physical_both_concentrated,0.0,False,False,False,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",2,1,0.0,1.0,transition_near_country
VN,2,1.0,1.0,1.0,-0.0,0.0,1.0,severe_network_transition_concentration,1.0,1.0,1.0,-0.0,0.0,1.0,0.0,0.0,severe_corridor_observation_concentration,network_and_physical_both_concentrated,0.0,False,False,False,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,0.0,1.0,transition_near_country
ZA,27,0.37037037037037035,0.5925925925925926,0.7777777777777777,1.5927820367139973,0.8889485804700208,4.917410332333914,broad_network_transition_distribution,0.37037037037037035,0.5555555555555556,0.7407407407407407,1.4975511631312977,0.9304808539438555,4.470727571847209,0.0415322734738347,-0.0415322734738347,broad_corridor_observation_distribution,network_and_physical_both_broad,0.07407407407407407,False,False,False,True,False,insufficient_minimum_mappable_segments,minimum_mappable_segments,14,10,0.0,1.0,transition_near_country
