country,corridor_id,corridor_label,observation_mass,raw_segment_count_with_corridor_feasible,unique_atomic_segments,unique_traceroutes,unique_probes,unique_probe_asns,group_unique_probes,group_unique_probe_asns,share_of_country_observation_mass,rank_within_country,is_top1_corridor,is_top2_corridor,is_top3_corridor,domestic_segment_mass,international_segment_mass
CO,landing_region_0c894d5ef6d3::landing_region_af49038972b6,"Dania Beach, FL, United States -> Barranquilla, Colombia",2.0,2,2,2,1,1,3,2,0.4,2,False,True,False,0.0,2.0
CW,landing_region_0c894d5ef6d3::landing_region_83c1ffe3b901,"Dania Beach, FL, United States -> Mahuma, Curaçao",4.0,4,4,4,3,3,3,3,1.0,1,True,False,False,0.0,4.0
CY,landing_region_08ea81d123b5::landing_region_3e7b4a85e943,"Marseille, France -> Pentaskhinos, Cyprus",20.0,20,20,20,11,6,11,6,1.0,1,True,False,False,0.0,20.0
DJ,landing_region_08ea81d123b5::landing_region_173727a59ebb,"Marseille, France -> Djibouti City, Djibouti",3.0,6,6,6,4,3,4,3,0.5,1,True,False,False,0.0,3.0
DJ,landing_region_173727a59ebb::landing_region_b368d05deae2,"Djibouti City, Djibouti -> La Tour Fondue, France",3.0,6,6,6,4,3,4,3,0.5,2,False,True,False,0.0,3.0
DK,landing_region_1ce0b85cd8b9::landing_region_e1a72a298b9d,"Uto, Sweden -> Dragor, Denmark",1.0,1,1,1,1,1,1,1,1.0,1,True,False,False,0.0,1.0
DO,landing_region_0c894d5ef6d3::landing_region_508245093782,"Dania Beach, FL, United States -> Puerto Plata, Dominican Republic",4.0,4,4,4,2,2,4,4,0.5,1,True,False,False,0.0,4.0
DO,landing_region_0c894d5ef6d3::landing_region_bf457e1b83fe,"Dania Beach, FL, United States -> Haina, Dominican Republic",4.0,4,4,4,2,2,4,4,0.5,2,False,True,False,0.0,4.0
EE,landing_region_5631d1801aee::landing_region_71db3ba08a92,"Tallinn, Estonia -> Stockholm, Sweden",24.0,24,24,24,14,9,19,11,0.7272727272727273,1,True,False,False,0.0,24.0
EE,landing_region_5631d1801aee::landing_region_65aa8d7cf62e,"Tallinn, Estonia -> Espoo, Finland",9.0,9,9,9,5,2,19,11,0.2727272727272727,2,False,True,False,0.0,9.0
ES,landing_region_08ea81d123b5::landing_region_8eb611963dd1,"Marseille, France -> Barcelona, Spain",110.0,110,110,110,58,22,59,22,0.9821428571428571,1,True,False,False,0.0,110.0
ES,landing_region_e7d55bab279f::landing_region_ea21c9a3a42e,"Güimar, Canary Islands, Spain -> San Sebastian de la Gomera, Canary Islands, Spain",2.0,2,2,2,1,1,59,22,0.017857142857142856,2,False,True,False,2.0,0.0
FI,landing_region_65aa8d7cf62e::landing_region_71db3ba08a92,"Espoo, Finland -> Stockholm, Sweden",87.0,87,87,87,45,14,54,18,0.7016129032258065,1,True,False,False,0.0,87.0
FI,landing_region_5ff6ee2e39f7::landing_region_65aa8d7cf62e,"Haradsholm, Finland -> Espoo, Finland",25.0,25,25,17,9,4,54,18,0.20161290322580644,2,False,True,False,25.0,0.0
FI,landing_region_1497f5544d8d::landing_region_5ff6ee2e39f7,"Hanko, Finland -> Haradsholm, Finland",10.0,10,10,7,4,2,54,18,0.08064516129032258,3,False,False,True,10.0,0.0
FI,landing_region_65aa8d7cf62e::landing_region_6a085d7da78f,"Espoo, Finland -> Kotka, Finland",2.0,2,2,2,1,1,54,18,0.016129032258064516,4,False,False,False,2.0,0.0
FJ,landing_region_1cece50a3587::landing_region_58084817cbe7,"Suva, Fiji -> Paddington, NSW, Australia",6.0,6,6,6,4,3,4,3,1.0,1,True,False,False,0.0,6.0
FR,landing_region_08ea81d123b5::landing_region_d0ecf913edd7,"Marseille, France -> Katong, Singapore",6.0,9,9,9,6,5,7,6,0.5454545454545454,1,True,False,False,0.0,6.0
FR,landing_region_b368d05deae2::landing_region_d0ecf913edd7,"La Tour Fondue, France -> Katong, Singapore",3.0,6,6,6,4,4,7,6,0.2727272727272727,2,False,True,False,0.0,3.0
FR,landing_region_08ea81d123b5::landing_region_a98ab4a2cae2,"Marseille, France -> Genoa, Italy",2.0,2,2,2,1,1,7,6,0.18181818181818182,3,False,False,True,0.0,2.0
GG,landing_region_0389fb1be871::landing_region_6f4e74811068,"Havelet Bay, Guernsey -> Archirondel, Jersey",2.0,2,2,2,1,1,1,1,1.0,1,True,False,False,2.0,0.0
GH,landing_region_2e263771884f::landing_region_30beda532e6f,"Accra, Ghana -> Lagos, Nigeria",2.0,2,2,2,1,1,1,1,1.0,1,True,False,False,0.0,2.0
GP,landing_region_24728f09c1b8::landing_region_89faef27b517,"Beausejour, Guadeloupe -> Capesterre-Belle-Eau, Guadeloupe",2.0,2,2,2,1,1,1,1,1.0,1,True,False,False,2.0,0.0
GU,landing_region_91000f65ec77::landing_region_bc6c664daa8f,"Kapolei, HI, United States -> Alupang, Guam",1.5,3,3,3,2,1,3,2,0.375,1,True,False,False,0.0,1.5
GU,landing_region_bc6c664daa8f::landing_region_c227a3796213,"Alupang, Guam -> Keawaula, HI, United States",1.5,3,3,3,2,1,3,2,0.375,2,False,True,False,0.0,1.5
GU,landing_region_bc6c664daa8f::landing_region_df61fea74887,"Alupang, Guam -> El Segundo, CA, United States",1.0,1,1,1,1,1,3,2,0.25,3,False,False,True,0.0,1.0
HK,landing_region_319252418c1f::landing_region_d0ecf913edd7,"Deep Water Bay, China -> Katong, Singapore",176.0,176,176,175,111,60,114,61,0.9214659685863874,1,True,False,False,0.0,176.0
HK,landing_region_319252418c1f::landing_region_6d0b3b188139,"Deep Water Bay, China -> Zhuhai, China",13.0,13,13,12,7,6,114,61,0.06806282722513089,2,False,True,False,13.0,0.0
HK,landing_region_319252418c1f::landing_region_3362110f86da,"Deep Water Bay, China -> Pa Li, Taiwan",1.0,2,2,2,1,1,114,61,0.005235602094240838,3,False,False,True,0.0,1.0
HK,landing_region_319252418c1f::landing_region_8eebb9f0ec75,"Deep Water Bay, China -> Toucheng, Taiwan",1.0,2,2,2,1,1,114,61,0.005235602094240838,4,False,False,False,0.0,1.0
HN,landing_region_0c894d5ef6d3::landing_region_620bdff3a2d2,"Dania Beach, FL, United States -> Puerto Cortes, Honduras",12.0,12,12,12,6,5,6,5,1.0,1,True,False,False,0.0,12.0
ID,landing_region_149ad599e1a3::landing_region_d0ecf913edd7,"Tanjung Bemban, Indonesia -> Katong, Singapore",96.0,96,96,72,36,29,67,52,0.45933014354066987,1,True,False,False,24.0,72.0
