unit_id,src_country,service_id,msm_id,file_name,num_measurements,num_probes,num_probe_asns,num_files_or_targets,num_egress_links,num_egress_asns,num_next_asns_after_egress,num_egress_transitions,egress_transition_entropy,effective_egress_transitions,num_src_dst_as_pairs,src_dst_as_pair_entropy,effective_as_pair_transitions,network_effective_diversity,physical_level,num_feasible_candidates,num_feasible_corridors,effective_feasible_candidates,effective_feasible_corridors,physical_candidate_diversity_upper_bound,network_to_physical_compression_ratio,log_network_physical_compression_gap,physical_coverage_ratio,absolute_compression_tier,network_percentile,physical_upper_bound_percentile,rank_gap_upper_bound,strict_upper_bound_mismatch_75_25,upper_bound_mismatch_category,pdb_interconnection_footprint_score,pdb_interconnection_footprint_percentile,pdb_interconnection_footprint_tier
NA,CH,MULTI,MULTI,root_dns_traces.json,13,234,35,1,22,6,3,6,1.5311533190671125,4.623506126287459,63,2.5277111554368767,12.524805970038917,4.623506126287459,cable,2,2,2.0,2.0,2.0,2.3117530631437293,0.6283430466015154,0.4325721531174745,weak_compression,0.7471264367816092,0.1896551724137931,-4.0,False,network_high_physical_upper_low,19.17669877499184,0.9239130434782608,high
NA,CH,MULTI,MULTI,root_dns_traces.json,13,234,35,1,22,6,3,6,1.5311533190671125,4.623506126287459,63,2.5277111554368767,12.524805970038917,4.623506126287459,corridor,2,2,2.0,2.0,2.0,2.3117530631437293,0.6283430466015154,0.4325721531174745,weak_compression,0.7471264367816092,0.1724137931034483,8.0,False,network_high_physical_upper_low,19.17669877499184,0.9239130434782608,high
NA,CL,MULTI,MULTI,root_dns_traces.json,13,88,5,1,184,2,2,2,0.17884491271684755,1.1958352709427176,10,0.8726109929760516,2.3931512042080048,1.1958352709427176,cable,3,5,3.0,5.0,3.0,0.39861175698090584,-0.5997318535181533,2.5087067365348723,no_compression,0.27586206896551724,0.3275862068965517,-44.0,False,network_low_physical_upper_low,15.27575460109274,0.8206521739130435,high
NA,CL,MULTI,MULTI,root_dns_traces.json,13,88,5,1,184,2,2,2,0.17884491271684755,1.1958352709427176,10,0.8726109929760516,2.3931512042080048,1.1958352709427176,corridor,3,5,3.0,5.0,5.0,0.2391670541885435,-1.0051969616263177,4.1811778942247875,no_compression,0.27586206896551724,0.47126436781609193,-34.0,False,network_low_physical_upper_low,15.27575460109274,0.8206521739130435,high
NA,CN,MULTI,MULTI,root_dns_traces.json,13,71,8,1,209,5,7,8,1.2530898986815922,3.5011444427180267,13,1.474777205643212,4.3700620393014376,3.5011444427180267,cable,12,23,12.0,23.0,12.0,0.2917620368931689,-1.0606176724152596,3.427450708284431,no_compression,0.7011494252873564,0.8275862068965517,-16.0,False,network_high_physical_upper_high,17.226663430758407,0.8913043478260869,high
NA,CN,MULTI,MULTI,root_dns_traces.json,13,71,8,1,209,5,7,8,1.2530898986815922,3.5011444427180267,13,1.474777205643212,4.3700620393014376,3.5011444427180267,corridor,12,23,12.0,23.0,23.0,0.1522236714225229,-1.6737221453016686,6.569280524211826,no_compression,0.7011494252873564,0.8218390804597702,-11.0,False,network_high_physical_upper_high,17.226663430758407,0.8913043478260869,high
NA,CV,MULTI,MULTI,root_dns_traces.json,11,1,1,1,18,1,3,3,1.0608569471580214,2.8888455168024434,3,1.0608569471580214,2.8888455168024434,2.8888455168024434,cable,2,2,2.0,2.0,2.0,1.4444227584012217,0.2595000426006624,0.6923180863661157,weak_compression,0.6436781609195402,0.1896551724137931,-13.0,False,network_high_physical_upper_low,3.332204510175204,0.2146739130434782,low
NA,CV,MULTI,MULTI,root_dns_traces.json,11,1,1,1,18,1,3,3,1.0608569471580214,2.8888455168024434,3,1.0608569471580214,2.8888455168024434,2.8888455168024434,corridor,2,2,2.0,2.0,2.0,1.4444227584012217,0.2595000426006624,0.6923180863661157,weak_compression,0.6436781609195402,0.1724137931034483,-1.0,False,network_high_physical_upper_low,3.332204510175204,0.2146739130434782,low
NA,CW,MULTI,MULTI,root_dns_traces.json,3,1,1,1,5,1,1,1,-0.0,1.0,1,-0.0,1.0,1.0,cable,2,3,2.0,3.0,2.0,0.5,-0.4054651081081645,2.0,no_compression,0.13793103448275862,0.1896551724137931,-44.0,False,network_low_physical_upper_low,4.851217980184408,0.3532608695652174,medium
NA,CW,MULTI,MULTI,root_dns_traces.json,3,1,1,1,5,1,1,1,-0.0,1.0,1,-0.0,1.0,1.0,corridor,2,3,2.0,3.0,3.0,0.3333333333333333,-0.6931471805599453,3.0,no_compression,0.13793103448275862,0.28735632183908044,-33.0,False,network_low_physical_upper_low,4.851217980184408,0.3532608695652174,medium
