Country,Root,Aggregation_Mode,Confidence_Filter,Owner_Multi_Entity_Mode,Total_Traces,Submarine_Traces,Dependency_Rate,Top_Cable,Top_Cable_Expected_Vol,Top_Cable_Share,Top2_Cable,Top2_Cable_Expected_Vol,Top2_Cable_Share,Dominance_Margin,Unique_CrossBorder_AS_Pairs,Top_CrossBorder_AS_Pair,Top_CrossBorder_AS_Pair_Count,Top_CrossBorder_AS_Pair_Share,Top2_CrossBorder_AS_Pair,Top2_CrossBorder_AS_Pair_Count,Top2_CrossBorder_AS_Pair_Share,CrossBorder_AS_Pair_Dominance_Margin,Cable_vs_ASPair_Concentration_Gap,Top_Owner,Top_Owner_Expected_Vol,Top_Owner_Share,Top2_Owner,Top2_Owner_Expected_Vol,Top2_Owner_Share,Owner_Dominance_Margin,Cable_Owner_Concentration_Gap,High_Bucket_Traces,Medium_Bucket_Traces,Ambiguous_Bucket_Traces
VU,C-Root,weighted,all,full,2,2,1.0,APX East,1.5947,0.7973,Tabua,1.5947,0.7973,0.0,2,AS9249->AS38442,2,1.0,AS174->AS2149,2,1.0,0.0,-0.2027,Southern Cross Cable Network,0.9998,0.4999,SUBCO,0.5001,0.25,0.2499,-0.2974,0,0,2
VU,B-Root,weighted,all,full,2,2,1.0,APX East,1.5849,0.7924,Tabua,1.5849,0.7924,0.0,1,AS9249->AS38442,2,1.0,None,0,0.0,1.0,-0.2076,Southern Cross Cable Network,0.9998,0.4999,SUBCO,0.5001,0.25,0.2499,-0.2925,0,0,2
TD,G-Root,weighted,all,full,8,8,1.0,South America-1 (SAm-1),6.2509,0.7814,America Movil Submarine Cable System-1 (AMX-1),5.7452,0.7181,0.0632,2,AS328594->AS15964,8,1.0,AS15964->AS12956,8,1.0,0.0,-0.2186,Telxius,3.049,0.3811,América Móvil (Claro),2.8024,0.3503,0.0308,-0.4002,0,0,8
TD,D-Root,weighted,all,full,7,7,1.0,South America-1 (SAm-1),5.4637,0.7805,America Movil Submarine Cable System-1 (AMX-1),5.0216,0.7174,0.0631,2,AS328594->AS15964,7,1.0,AS15964->AS12956,7,1.0,0.0,-0.2195,Telxius,2.6679,0.3811,América Móvil (Claro),2.4521,0.3503,0.0308,-0.3994,0,0,7
RW,C-Root,weighted,all,full,2,2,1.0,SAT-3/WASC,1.5192,0.7596,West Africa Cable System (WACS),1.3339,0.6669,0.0926,2,AS174->AS2149,2,1.0,AS37006->AS30844,2,1.0,0.0,-0.2404,Vodafone,1.2492,0.6246,Orange,1.2242,0.6121,0.0125,-0.135,0,0,2
MP,D-Root,weighted,all,full,2,2,1.0,Mariana-Guam Cable,1.4861,0.7431,Atisa,1.2187,0.6094,0.1337,1,AS7131->AS10886,2,1.0,None,0,0.0,1.0,-0.2569,Google,1.2146,0.6073,PTI Pacifica,0.4315,0.2157,0.3916,-0.1357,0,1,1
US,C-Root,weighted,all,full,2,2,1.0,Asia-America Gateway (AAG) Cable System,1.4806,0.7403,None,0.0,0.0,0.7403,0,None,0,0.0,None,0,0.0,0.0,0.7403,AT&T,2.0,1.0,BT,2.0,1.0,0.0,0.2597,2,0,0
SS,F-Root,weighted,all,full,2,2,1.0,2Africa,1.4478,0.7239,None,0.0,0.0,0.7239,1,AS37406->AS6939,2,1.0,None,0,0.0,1.0,-0.2761,Bayobab,2.0,1.0,China Mobile,2.0,1.0,0.0,0.2761,0,0,2
MP,F-Root,weighted,all,full,3,3,1.0,Mariana-Guam Cable,2.1514,0.7171,Atisa,1.3145,0.4382,0.279,0,None,0,0.0,None,0,0.0,0.0,0.7171,PTI Pacifica,1.4315,0.4772,Google,1.2146,0.4049,0.0723,-0.24,0,2,1
MP,E-Root,weighted,all,full,4,4,1.0,Mariana-Guam Cable,2.829,0.7073,Atisa,1.3302,0.3325,0.3747,0,None,0,0.0,None,0,0.0,0.0,0.7073,PTI Pacifica,2.4315,0.6079,Google,1.2146,0.3037,0.3042,-0.0994,0,2,2
US,B-Root,weighted,all,full,4,4,1.0,Sydney-Melbourne-Adelaide-Perth (SMAP),2.8029,0.7007,INDIGO-Central,2.8007,0.7002,0.0006,0,None,0,0.0,None,0,0.0,0.0,0.7007,SUBCO,2.0008,0.5002,Australia’s Academic and Research Network (AARNET),1.9992,0.4998,0.0004,-0.2005,0,0,4
CU,H-Root,weighted,all,full,2,2,1.0,South American Crossing (SAC),1.3967,0.6983,None,0.0,0.0,0.6983,2,AS6762->AS1508,2,1.0,AS11960->AS6762,2,1.0,0.0,-0.3017,Cirion Technologies,2.0,1.0,Sparkle,2.0,1.0,0.0,0.3017,0,0,2
US,E-Root,weighted,all,full,5,5,1.0,Crosslake Fibre,3.3871,0.6774,None,0.0,0.0,0.6774,0,None,0,0.0,None,0,0.0,0.0,0.6774,Crosslake Fibre,5.0,1.0,None,0.0,0.0,1.0,0.3226,2,3,0
TV,J-Root,weighted,all,full,2,2,1.0,Honomoana,1.3468,0.6734,Tasman Ring Network,1.3468,0.6734,0.0,2,AS9241->AS6939,2,1.0,AS23917->AS9241,2,1.0,0.0,-0.3266,Google,1.0,0.5,Datagrid New Zealand,1.0,0.5,0.0,-0.1734,0,0,2
PG,K-Root,weighted,all,full,4,4,1.0,Hawaiki Nui 1,2.6573,0.6643,Coral Sea Cable System (CS²),1.6497,0.4124,0.2519,2,AS17828->AS4826,2,0.5,AS4608->AS25152,2,0.5,0.0,0.1643,BW Digital,1.9252,0.4813,PNG DataCo Limited,1.0677,0.2669,0.2144,-0.183,0,2,2
PG,M-Root,weighted,all,full,4,4,1.0,Hawaiki Nui 1,2.6542,0.6636,Coral Sea Cable System (CS²),1.644,0.411,0.2526,2,AS17828->AS4826,2,0.5,AS4608->AS7500,2,0.5,0.0,0.1636,BW Digital,1.9252,0.4813,PNG DataCo Limited,1.0677,0.2669,0.2144,-0.1823,0,2,2
TT,M-Root,weighted,all,full,2,2,1.0,Japan-Guam-Australia South (JGA-S),1.2735,0.6368,Hawaiki Nui 1,1.2555,0.6278,0.009,3,AS2914->AS7575,2,1.0,AS4608->AS7500,2,1.0,0.0,-0.3632,Australia’s Academic and Research Network (AARNET),1.0071,0.5036,Google,1.0071,0.5036,0.0,-0.1332,0,0,2
VA,B-Root,weighted,all,full,2,2,1.0,Blue,1.2516,0.6258,2Africa,0.6612,0.3306,0.2952,0,None,0,0.0,None,0,0.0,0.0,0.6258,Google,0.845,0.4225,Sparkle,0.845,0.4225,0.0,-0.2033,0,0,2
VA,C-Root,weighted,all,full,4,4,1.0,Blue,2.4757,0.6189,2Africa,1.3515,0.3379,0.2811,1,AS174->AS2149,2,0.5,None,0,0.0,0.5,0.1189,Google,1.69,0.4225,Sparkle,1.69,0.4225,0.0,-0.1964,0,0,4
PW,H-Root,weighted,all,full,2,2,1.0,Australia-Japan Cable (AJC),1.2055,0.6027,PIPE Pacific Cable-1 (PPC-1),1.1997,0.5998,0.0029,2,AS36236->AS1508,2,1.0,AS17893->AS140627,2,1.0,0.0,-0.3973,AT&T,0.6712,0.3356,NTT,0.6712,0.3356,0.0,-0.2671,0,0,2
LA,A-Root,weighted,all,full,2,2,1.0,Southeast Asia-Japan Cable 2 (SJC2),1.177,0.5885,APCN-2,1.0417,0.5209,0.0677,2,AS23900->AS38082,2,1.0,AS38082->AS3356,1,0.5,0.5,-0.4115,Chunghwa Telecom,1.229,0.6145,Singtel,1.1383,0.5691,0.0453,0.026,0,1,1
TL,M-Root,weighted,all,full,11,11,1.0,Hawaiki Nui 1,6.3972,0.5816,Asia Connect Cable-1 (ACC-1),6.3885,0.5808,0.0008,4,AS151605->AS9341,5,0.4545,AS9341->AS7500,5,0.4545,0.0,0.127,BW Digital,4.1285,0.3753,Inligo Networks,3.1269,0.2843,0.091,-0.2062,0,0,11
LA,G-Root,weighted,all,full,2,2,1.0,Southeast Asia-Japan Cable 2 (SJC2),1.1483,0.5742,APCN-2,1.0168,0.5084,0.0658,2,AS23900->AS38082,2,1.0,AS38082->AS3356,1,0.5,0.5,-0.4258,Chunghwa Telecom,1.2685,0.6343,Singtel,1.2673,0.6336,0.0006,0.0601,0,1,1
JP,M-Root,weighted,all,full,2,2,1.0,Hawaiki Nui 1,1.1376,0.5688,None,0.0,0.0,0.5688,0,None,0,0.0,None,0,0.0,0.0,0.5688,BW Digital,2.0,1.0,None,0.0,0.0,1.0,0.4312,0,0,2
NC,M-Root,weighted,all,full,10,10,1.0,Gondwana-1,5.6642,0.5664,None,0.0,0.0,0.5664,2,AS18200->AS4608,10,1.0,AS4608->AS7500,10,1.0,0.0,-0.4336,OPT,10.0,1.0,None,0.0,0.0,1.0,0.4336,0,10,0
NC,K-Root,weighted,all,full,10,10,1.0,Gondwana-1,5.6535,0.5654,None,0.0,0.0,0.5654,1,AS18200->AS25152,10,1.0,None,0,0.0,1.0,-0.4346,OPT,10.0,1.0,None,0.0,0.0,1.0,0.4346,0,10,0
TV,I-Root,weighted,all,full,2,2,1.0,Southern Cross Cable Network (SCCN),1.114,0.557,Southern Cross NEXT,1.114,0.557,0.0,1,AS23917->AS9241,2,1.0,None,0,0.0,1.0,-0.443,Southern Cross Cable Network,2.0,1.0,None,0.0,0.0,1.0,0.443,0,0,2
GQ,H-Root,weighted,all,full,2,2,1.0,West Africa Cable System (WACS),1.0969,0.5484,None,0.0,0.0,0.5484,1,AS60171->AS1508,2,1.0,None,0,0.0,1.0,-0.4516,Altice Portugal,2.0,1.0,Angola Cables,2.0,1.0,0.0,0.4516,0,2,0
TL,G-Root,weighted,all,full,7,7,1.0,Hawaiki Nui 1,3.8248,0.5464,Asia Connect Cable-1 (ACC-1),3.8196,0.5457,0.0007,5,AS151605->AS9341,3,0.4286,AS9341->AS3549,3,0.4286,0.0,0.1178,BW Digital,1.8771,0.2682,Inligo Networks,1.8762,0.268,0.0001,-0.2782,0,0,7
SE,I-Root,weighted,all,full,1,1,1.0,Aurora,0.5321,0.5321,None,0.0,0.0,0.5321,0,None,0,0.0,None,0,0.0,0.0,0.5321,GlobalConnect,1.0,1.0,None,0.0,0.0,1.0,0.4679,0,0,1
VU,K-Root,weighted,all,full,3,3,1.0,APX East,1.5819,0.5273,Tabua,1.5819,0.5273,0.0,3,AS9249->AS38442,2,0.6667,AS6939->AS25152,2,0.6667,0.0,-0.1394,SUBCO,1.0006,0.3335,Southern Cross Cable Network,0.9998,0.3333,0.0002,-0.1938,0,0,3
PR,I-Root,weighted,all,full,2,2,1.0,ARCOS,1.0524,0.5262,America Movil Submarine Cable System-1 (AMX-1),1.0351,0.5175,0.0087,1,AS5786->AS20080,2,1.0,None,0,0.0,1.0,-0.4738,AT&T,0.6741,0.337,Alestra,0.6741,0.337,0.0,-0.1892,0,0,2
PR,G-Root,weighted,all,full,2,2,1.0,ARCOS,1.0482,0.5241,America Movil Submarine Cable System-1 (AMX-1),1.0309,0.5155,0.0086,1,AS5786->AS20080,2,1.0,None,0,0.0,1.0,-0.4759,AT&T,0.6741,0.337,Alestra,0.6741,0.337,0.0,-0.1871,0,0,2
PR,H-Root,weighted,all,full,2,2,1.0,ARCOS,1.0472,0.5236,America Movil Submarine Cable System-1 (AMX-1),1.0299,0.515,0.0086,1,AS5786->AS20080,2,1.0,None,0,0.0,1.0,-0.4764,AT&T,0.6741,0.337,Alestra,0.6741,0.337,0.0,-0.1866,0,0,2
PR,C-Root,weighted,all,full,2,2,1.0,ARCOS,1.045,0.5225,America Movil Submarine Cable System-1 (AMX-1),1.0278,0.5139,0.0086,1,AS5786->AS20080,2,1.0,None,0,0.0,1.0,-0.4775,AT&T,0.6741,0.337,Alestra,0.6741,0.337,0.0,-0.1855,0,0,2
PR,J-Root,weighted,all,full,2,2,1.0,ARCOS,1.0445,0.5222,America Movil Submarine Cable System-1 (AMX-1),1.0272,0.5136,0.0086,1,AS5786->AS20080,2,1.0,None,0,0.0,1.0,-0.4778,AT&T,0.6741,0.337,Alestra,0.6741,0.337,0.0,-0.1852,0,0,2
PR,E-Root,weighted,all,full,2,2,1.0,ARCOS,1.044,0.522,America Movil Submarine Cable System-1 (AMX-1),1.0268,0.5134,0.0086,1,AS5786->AS20080,2,1.0,None,0,0.0,1.0,-0.478,AT&T,0.6741,0.337,Alestra,0.6741,0.337,0.0,-0.185,0,0,2
PR,M-Root,weighted,all,full,2,2,1.0,ARCOS,1.0435,0.5218,America Movil Submarine Cable System-1 (AMX-1),1.0263,0.5131,0.0086,2,AS5786->AS20080,2,1.0,AS11537->AS7500,2,1.0,0.0,-0.4782,AT&T,0.6741,0.337,Alestra,0.6741,0.337,0.0,-0.1847,0,0,2
PR,K-Root,weighted,all,full,2,2,1.0,ARCOS,1.0433,0.5217,America Movil Submarine Cable System-1 (AMX-1),1.0261,0.5131,0.0086,2,AS5786->AS20080,2,1.0,AS11537->AS25152,2,1.0,0.0,-0.4783,AT&T,0.6741,0.337,Alestra,0.6741,0.337,0.0,-0.1846,0,0,2
PR,A-Root,weighted,all,full,3,3,1.0,ARCOS,1.5649,0.5216,America Movil Submarine Cable System-1 (AMX-1),1.539,0.513,0.0086,1,AS5786->AS20080,3,1.0,None,0,0.0,1.0,-0.4784,AT&T,1.0111,0.337,Alestra,1.0111,0.337,0.0,-0.1846,0,0,3
PR,B-Root,weighted,all,full,2,2,1.0,ARCOS,1.0412,0.5206,America Movil Submarine Cable System-1 (AMX-1),1.024,0.512,0.0086,1,AS5786->AS20080,2,1.0,None,0,0.0,1.0,-0.4794,AT&T,0.6741,0.337,Alestra,0.6741,0.337,0.0,-0.1836,0,0,2
PR,L-Root,weighted,all,full,1,1,1.0,ARCOS,0.5181,0.5181,America Movil Submarine Cable System-1 (AMX-1),0.5096,0.5096,0.0085,3,AS5786->AS20080,1,1.0,AS2018->AS20144,1,1.0,0.0,-0.4819,AT&T,0.337,0.337,Alestra,0.337,0.337,0.0,-0.1811,0,0,1
TL,E-Root,weighted,all,full,7,7,1.0,Matrix Cable System,3.5657,0.5094,Hawaiki Nui 1,3.5323,0.5046,0.0048,3,AS9341->AS21556,4,0.5714,AS151605->AS9341,4,0.5714,0.0,-0.062,BW Digital,1.8624,0.2661,Telin,1.7775,0.2539,0.0121,-0.2433,0,0,7
US,A-Root,weighted,all,full,1,1,1.0,Apricot,0.5007,0.5007,None,0.0,0.0,0.5007,0,None,0,0.0,None,0,0.0,0.0,0.5007,Chunghwa Telecom,1.0,1.0,Google,1.0,1.0,0.0,0.4993,0,1,0
US,F-Root,weighted,all,full,6,6,1.0,Crosslake Fibre,2.9089,0.4848,Australia-Japan Cable (AJC),1.4472,0.2412,0.2436,0,None,0,0.0,None,0,0.0,0.0,0.4848,Crosslake Fibre,4.0,0.6667,AT&T,0.6712,0.1119,0.5548,0.1819,3,1,2
US,J-Root,weighted,all,full,3,3,1.0,Australia-Japan Cable (AJC),1.4472,0.4824,PIPE Pacific Cable-1 (PPC-1),1.4403,0.4801,0.0023,0,None,0,0.0,None,0,0.0,0.0,0.4824,Australia’s Academic and Research Network (AARNET),1.1603,0.3868,Google,1.1603,0.3868,0.0,-0.0956,0,0,3
NC,G-Root,weighted,all,full,13,13,1.0,APCN-2,6.258,0.4814,Asia United Gateway East (AUG East),4.8312,0.3716,0.1098,3,AS18200->AS38195,10,0.7692,AS3491->AS3356,9,0.6923,0.0769,-0.2878,Chunghwa Telecom,5.0209,0.3862,Singtel,4.2317,0.3255,0.0607,-0.0952,4,9,0
MP,H-Root,weighted,all,full,6,6,1.0,Mariana-Guam Cable,2.8617,0.4769,Atisa,2.4102,0.4017,0.0752,0,None,0,0.0,None,0,0.0,0.0,0.4769,Google,2.1469,0.3578,PTI Pacifica,1.4995,0.2499,0.1079,-0.1191,0,4,2
TL,D-Root,weighted,all,full,11,11,1.0,Hawaiki Nui 1,5.1059,0.4642,Asia Connect Cable-1 (ACC-1),5.0989,0.4635,0.0006,4,AS151605->AS9341,4,0.3636,AS9341->AS10886,4,0.3636,0.0,0.1005,BW Digital,3.6342,0.3304,Inligo Networks,2.5015,0.2274,0.103,-0.1338,0,0,11
MP,L-Root,weighted,all,full,4,4,1.0,Mariana-Guam Cable,1.7673,0.4418,Atisa,1.4493,0.3623,0.0795,0,None,0,0.0,None,0,0.0,0.0,0.4418,Google,2.3234,0.5809,GTA TeleGuam,0.8912,0.2228,0.358,0.139,0,4,0
MP,B-Root,weighted,all,full,6,6,1.0,Mariana-Guam Cable,2.6233,0.4372,Tabua,1.3673,0.2279,0.2093,0,None,0,0.0,None,0,0.0,0.0,0.4372,PTI Pacifica,2.7652,0.4609,Google,1.7161,0.286,0.1748,0.0237,0,3,3
MP,A-Root,weighted,all,full,5,5,1.0,Mariana-Guam Cable,2.1601,0.432,Atisa,1.8016,0.3603,0.0717,0,None,0,0.0,None,0,0.0,0.0,0.432,Google,2.3234,0.4647,PTI Pacifica,0.9655,0.1931,0.2716,0.0327,0,4,1
MP,J-Root,weighted,all,full,4,4,1.0,Mariana-Guam Cable,1.6907,0.4227,Atisa,1.3865,0.3466,0.0761,0,None,0,0.0,None,0,0.0,0.0,0.4227,Google,2.3234,0.5809,GTA TeleGuam,0.8912,0.2228,0.358,0.1582,0,4,0
VU,M-Root,weighted,all,full,4,4,1.0,APX East,1.5893,0.3973,Tabua,1.5893,0.3973,0.0,2,AS9249->AS38442,2,0.5,AS6939->AS7500,2,0.5,0.0,-0.1027,SUBCO,1.501,0.3753,Google,1.4992,0.3748,0.0005,-0.0221,0,0,4
MV,G-Root,weighted,all,full,33,33,1.0,Candle,12.691,0.3846,SeaMeWe-6,10.9681,0.3324,0.0522,4,AS174->AS3356,20,0.6061,AS7642->AS174,16,0.4848,0.1212,-0.2215,Telekom Malaysia,16.4635,0.4989,Singtel,14.7378,0.4466,0.0523,0.1143,0,6,27
US,H-Root,weighted,all,full,4,4,1.0,Australia-Japan Cable (AJC),1.4464,0.3616,PIPE Pacific Cable-1 (PPC-1),1.4394,0.3599,0.0017,0,None,0,0.0,None,0,0.0,0.0,0.3616,NTT,2.6712,0.6678,Google,2.6608,0.6652,0.0026,0.3062,0,2,2
TL,K-Root,weighted,all,full,8,8,1.0,SeaMeWe-4,2.551,0.3189,SeaMeWe-6,2.551,0.3189,0.0,5,AS38077->AS1299,4,0.5,AS1299->AS9498,4,0.5,0.0,-0.1811,Bangladesh Submarine Cable Company Limited (BSCCL),2.1354,0.2669,Bharti Airtel,2.1354,0.2669,0.0,-0.0519,0,0,8
US,G-Root,weighted,all,full,6,6,1.0,Australia-Japan Cable (AJC),1.4476,0.2413,PIPE Pacific Cable-1 (PPC-1),1.4406,0.2401,0.0012,0,None,0,0.0,None,0,0.0,0.0,0.2413,NTT,2.0529,0.3421,BW Digital,2.0,0.3333,0.0088,0.1009,0,4,2
TD,C-Root,weighted,all,full,7,6,0.8571,South America-1 (SAm-1),4.5867,0.6552,America Movil Submarine Cable System-1 (AMX-1),4.2157,0.6022,0.053,2,AS328594->AS15964,7,1.0,AS15964->AS12956,7,1.0,0.0,-0.3448,Telxius,2.2868,0.3267,América Móvil (Claro),2.1018,0.3003,0.0264,-0.3286,0,0,6
TL,J-Root,weighted,all,full,7,6,0.8571,Hawaiki Nui 1,3.6804,0.5258,Asia Connect Cable-1 (ACC-1),3.677,0.5253,0.0005,2,AS151605->AS9341,4,0.5714,AS64055->AS4826,1,0.1429,0.4286,-0.0457,BW Digital,2.2514,0.3216,Inligo Networks,2.2508,0.3215,0.0001,-0.2041,0,0,6
ID,G-Root,weighted,all,full,202,172,0.8515,Candle,65.0555,0.3221,APCN-2,64.8503,0.321,0.001,47,AS6939->AS3356,48,0.2376,AS174->AS3356,30,0.1485,0.0891,0.0844,Chunghwa Telecom,66.1376,0.3274,Singtel,64.0515,0.3171,0.0103,0.0054,1,19,152
DO,M-Root,weighted,all,full,26,22,0.8462,Unity,14.2852,0.5494,Tata TGN-Pacific,5.8078,0.2234,0.3261,8,AS6400->AS1299,8,0.3077,AS64126->AS1299,6,0.2308,0.0769,0.2417,Bharti Airtel,15.4649,0.5948,Google,15.4649,0.5948,0.0,0.0454,0,22,0
OM,G-Root,weighted,all,full,6,5,0.8333,SeaMeWe-6,1.7919,0.2986,Asia Africa Europe-1 (AAE-1),1.1718,0.1953,0.1033,3,AS58453->AS3356,4,0.6667,AS8529->AS58453,4,0.6667,0.0,-0.368,China Unicom,3.549,0.5915,PCCW,3.1838,0.5306,0.0609,0.2929,1,0,4
TD,L-Root,weighted,all,full,8,6,0.75,South America-1 (SAm-1),4.8379,0.6047,Monet,3.4092,0.4262,0.1786,4,AS328594->AS15964,8,1.0,AS15964->AS12956,8,1.0,0.0,-0.3953,Telxius,2.4903,0.3113,Algar Telecom,1.7549,0.2194,0.0919,-0.2935,6,0,0
TD,B-Root,weighted,all,full,8,6,0.75,South America-1 (SAm-1),4.6056,0.5757,America Movil Submarine Cable System-1 (AMX-1),4.233,0.5291,0.0466,2,AS328594->AS15964,8,1.0,AS15964->AS12956,8,1.0,0.0,-0.4243,Telxius,2.2868,0.2858,América Móvil (Claro),2.1018,0.2627,0.0231,-0.2898,0,0,6
TD,I-Root,weighted,all,full,8,6,0.75,South America-1 (SAm-1),4.5362,0.567,Monet,2.8394,0.3549,0.2121,3,AS328594->AS15964,8,1.0,AS15964->AS12956,8,1.0,0.0,-0.433,Telxius,3.0752,0.3844,Algar Telecom,1.4624,0.1828,0.2016,-0.1826,5,1,0
