unit_id,src_country,service_id,msm_id,file_name,num_measurements,num_probes,num_probe_asns,num_files_or_targets,num_egress_links,num_egress_asns,num_next_asns_after_egress,num_egress_transitions,egress_transition_entropy,effective_egress_transitions,num_src_dst_as_pairs,src_dst_as_pair_entropy,effective_as_pair_transitions,network_effective_diversity,physical_level,num_feasible_candidates,num_feasible_corridors,effective_feasible_candidates,effective_feasible_corridors,physical_candidate_diversity_upper_bound,best_case_physical_candidate_diversity_upper_bound,physical_candidate_concentration_tier,is_physical_candidate_concentrated,physical_candidate_exposure_class,sufficient_observation_for_physical_concentration,concentration_interpretation,network_to_physical_compression_ratio,log_network_physical_compression_gap,physical_coverage_ratio,absolute_compression_tier,network_physical_compression_tier,joint_cross_layer_risk_class,is_network_physical_mismatch,is_physical_candidate_concentration_only,is_joint_physical_concentration_and_mismatch,network_percentile,physical_upper_bound_percentile,rank_gap_upper_bound,strict_upper_bound_mismatch_75_25,upper_bound_mismatch_category,pdb_interconnection_footprint_score,pdb_interconnection_footprint_percentile,pdb_interconnection_footprint_tier,paper_case_scope
NA,TN,msm_5016,5016,root_dns_traces.json,1,6,1,1,11,1,1,1,-0.0,1.0,1,-0.0,1.0,1.0,corridor,3,1,3.0,1.0,1.0,1.0,severe_physical_candidate_concentration,True,concentrated_best_case_physical_candidate_space,True,auditable_physical_candidate_concentration,1.0,0.0,1.0,no_compression,no_network_physical_compression,physical_concentration_without_compression,False,True,False,0.2596590909090909,0.11079545454545454,-174.0,False,network_low_physical_upper_low,3.401197381662155,0.2282608695652173,low,paper_service_country_cross_layer_audit
NA,GT,msm_5016,5016,root_dns_traces.json,1,6,1,1,8,1,1,1,-0.0,1.0,1,-0.0,1.0,1.0,corridor,1,1,1.0,1.0,1.0,1.0,severe_physical_candidate_concentration,True,concentrated_best_case_physical_candidate_space,True,auditable_physical_candidate_concentration,1.0,0.0,1.0,no_compression,no_network_physical_compression,physical_concentration_without_compression,False,True,False,0.2596590909090909,0.11079545454545454,-174.0,False,network_low_physical_upper_low,7.938596614890306,0.5380434782608695,medium,paper_service_country_cross_layer_audit
NA,ZA,msm_5013,5013,root_dns_traces.json,1,6,4,1,0,0,0,0,0.0,0.0,4,1.2206072645530173,3.389245277339831,3.389245277339831,corridor,1,1,1.0,1.0,1.0,1.0,severe_physical_candidate_concentration,True,concentrated_best_case_physical_candidate_space,True,auditable_physical_candidate_concentration,3.389245277339831,0.7860101131460328,0.2950509385336919,moderate_compression,moderate_network_physical_compression,physical_concentration_with_network_physical_compression,True,False,True,0.8392045454545455,0.11079545454545454,-45.0,True,network_high_physical_upper_low,16.271109638736306,0.8695652173913043,high,paper_service_country_cross_layer_audit
NA,NC,MULTI,MULTI,root_dns_traces.json,7,5,1,1,37,1,2,2,0.6751425885789244,1.9643130446076713,2,0.6751425885789244,1.9643130446076713,1.9643130446076713,corridor,1,1,1.0,1.0,1.0,1.0,severe_physical_candidate_concentration,True,concentrated_best_case_physical_candidate_space,True,auditable_physical_candidate_concentration,1.9643130446076713,0.3934981368865941,0.5090838258927961,weak_compression,weak_network_physical_compression,physical_concentration_with_network_physical_compression,True,False,True,0.42528735632183906,0.05747126436781609,-18.0,False,network_low_physical_upper_low,3.58351893845611,0.2635869565217391,low,paper_country_cross_layer_audit
NA,IT,msm_5005,5005,root_dns_traces.json,1,5,1,1,10,1,1,1,-0.0,1.0,1,-0.0,1.0,1.0,corridor,1,1,1.0,1.0,1.0,1.0,severe_physical_candidate_concentration,True,concentrated_best_case_physical_candidate_space,True,auditable_physical_candidate_concentration,1.0,0.0,1.0,no_compression,no_network_physical_compression,physical_concentration_without_compression,False,True,False,0.2596590909090909,0.11079545454545454,-174.0,False,network_low_physical_upper_low,19.801807797724223,0.9347826086956522,high,paper_service_country_cross_layer_audit
NA,LK,msm_5011,5011,root_dns_traces.json,1,5,1,1,10,1,1,1,-0.0,1.0,1,-0.0,1.0,1.0,corridor,1,1,1.0,1.0,1.0,1.0,severe_physical_candidate_concentration,True,concentrated_best_case_physical_candidate_space,True,auditable_physical_candidate_concentration,1.0,0.0,1.0,no_compression,no_network_physical_compression,physical_concentration_without_compression,False,True,False,0.2596590909090909,0.11079545454545454,-174.0,False,network_low_physical_upper_low,3.465735902799726,0.2391304347826087,low,paper_service_country_cross_layer_audit
NA,NC,msm_5001,5001,root_dns_traces.json,1,5,1,1,10,1,1,1,-0.0,1.0,1,-0.0,1.0,1.0,corridor,1,1,1.0,1.0,1.0,1.0,severe_physical_candidate_concentration,True,concentrated_best_case_physical_candidate_space,True,auditable_physical_candidate_concentration,1.0,0.0,1.0,no_compression,no_network_physical_compression,physical_concentration_without_compression,False,True,False,0.2596590909090909,0.11079545454545454,-174.0,False,network_low_physical_upper_low,3.58351893845611,0.2635869565217391,low,paper_service_country_cross_layer_audit
NA,NC,msm_5006,5006,root_dns_traces.json,1,5,1,1,10,1,1,1,-0.0,1.0,1,-0.0,1.0,1.0,corridor,1,1,1.0,1.0,1.0,1.0,severe_physical_candidate_concentration,True,concentrated_best_case_physical_candidate_space,True,auditable_physical_candidate_concentration,1.0,0.0,1.0,no_compression,no_network_physical_compression,physical_concentration_without_compression,False,True,False,0.2596590909090909,0.11079545454545454,-174.0,False,network_low_physical_upper_low,3.58351893845611,0.2635869565217391,low,paper_service_country_cross_layer_audit
NA,PE,msm_5012,5012,root_dns_traces.json,1,5,1,1,10,1,1,1,-0.0,1.0,1,-0.0,1.0,1.0,corridor,1,1,1.0,1.0,1.0,1.0,severe_physical_candidate_concentration,True,concentrated_best_case_physical_candidate_space,True,auditable_physical_candidate_concentration,1.0,0.0,1.0,no_compression,no_network_physical_compression,physical_concentration_without_compression,False,True,False,0.2596590909090909,0.11079545454545454,-174.0,False,network_low_physical_upper_low,14.339307831825838,0.782608695652174,high,paper_service_country_cross_layer_audit
NA,GT,msm_5009,5009,root_dns_traces.json,1,5,1,1,9,1,1,1,-0.0,1.0,1,-0.0,1.0,1.0,corridor,1,1,1.0,1.0,1.0,1.0,severe_physical_candidate_concentration,True,concentrated_best_case_physical_candidate_space,True,auditable_physical_candidate_concentration,1.0,0.0,1.0,no_compression,no_network_physical_compression,physical_concentration_without_compression,False,True,False,0.2596590909090909,0.11079545454545454,-174.0,False,network_low_physical_upper_low,7.938596614890306,0.5380434782608695,medium,paper_service_country_cross_layer_audit
