pdb_interconnection_footprint_tier,physical_level,network_definition,num_units,strict_upper_bound_mismatch_units,strict_upper_bound_mismatch_share,median_network_percentile,median_physical_upper_bound_percentile,median_rank_gap
low,cable,application_observation_supplementary,111,0,0.0,0.1431818181818182,0.2772727272727273,-73.0
low,cable,as_egress_primary,111,0,0.0,0.29375,0.2772727272727273,-240.0
low,cable,as_only,111,0,0.0,0.2034090909090909,0.2772727272727273,-357.0
low,cable,as_pair_primary,111,0,0.0,0.2034090909090909,0.2772727272727273,-357.0
low,cable,combined_supplementary,111,0,0.0,0.13977272727272727,0.2772727272727273,-423.0
low,cable,composite,111,0,0.0,0.13977272727272727,0.2772727272727273,-423.0
low,cable,country_only,111,0,0.0,0.27329545454545456,0.2772727272727273,-225.0
low,cable,dst_asn_primary,111,0,0.0,0.21420454545454545,0.2772727272727273,-321.0
low,cable,geographic_transition_supplementary,111,0,0.0,0.27329545454545456,0.2772727272727273,-225.0
low,cable,probe_target_only,111,0,0.0,0.1431818181818182,0.2772727272727273,-73.0
low,corridor,application_observation_supplementary,111,0,0.0,0.1431818181818182,0.29375,-31.0
low,corridor,as_egress_primary,111,0,0.0,0.29375,0.29375,-198.0
low,corridor,as_only,111,0,0.0,0.2034090909090909,0.29375,-315.0
low,corridor,as_pair_primary,111,0,0.0,0.2034090909090909,0.29375,-315.0
low,corridor,combined_supplementary,111,0,0.0,0.13977272727272727,0.29375,-381.0
low,corridor,composite,111,0,0.0,0.13977272727272727,0.29375,-381.0
low,corridor,country_only,111,0,0.0,0.27329545454545456,0.29375,-183.0
low,corridor,dst_asn_primary,111,0,0.0,0.21420454545454545,0.29375,-279.0
low,corridor,geographic_transition_supplementary,111,0,0.0,0.27329545454545456,0.29375,-183.0
low,corridor,probe_target_only,111,0,0.0,0.1431818181818182,0.29375,-31.0
medium,cable,application_observation_supplementary,198,0,0.0,0.44772727272727275,0.5232954545454546,-72.0
medium,cable,as_egress_primary,198,0,0.0,0.29375,0.5232954545454546,-239.0
medium,cable,as_only,198,0,0.0,0.4727272727272727,0.5232954545454546,-329.5
medium,cable,as_pair_primary,198,0,0.0,0.4727272727272727,0.5232954545454546,-329.5
medium,cable,combined_supplementary,198,0,0.0,0.45,0.5232954545454546,-398.0
medium,cable,composite,198,0,0.0,0.45,0.5232954545454546,-398.0
medium,cable,country_only,198,0,0.0,0.27329545454545456,0.5232954545454546,-224.0
medium,cable,dst_asn_primary,198,0,0.0,0.471875,0.5232954545454546,-304.0
medium,cable,geographic_transition_supplementary,198,0,0.0,0.27329545454545456,0.5232954545454546,-224.0
medium,cable,probe_target_only,198,0,0.0,0.44772727272727275,0.5232954545454546,-72.0
medium,corridor,application_observation_supplementary,198,0,0.0,0.44772727272727275,0.4414772727272727,-30.0
medium,corridor,as_egress_primary,198,0,0.0,0.29375,0.4414772727272727,-197.0
medium,corridor,as_only,198,0,0.0,0.4727272727272727,0.4414772727272727,-286.0
medium,corridor,as_pair_primary,198,0,0.0,0.4727272727272727,0.4414772727272727,-286.0
medium,corridor,combined_supplementary,198,0,0.0,0.45,0.4414772727272727,-355.0
medium,corridor,composite,198,0,0.0,0.45,0.4414772727272727,-355.0
medium,corridor,country_only,198,0,0.0,0.27329545454545456,0.4414772727272727,-182.0
medium,corridor,dst_asn_primary,198,0,0.0,0.471875,0.4414772727272727,-260.0
medium,corridor,geographic_transition_supplementary,198,0,0.0,0.27329545454545456,0.4414772727272727,-182.0
medium,corridor,probe_target_only,198,0,0.0,0.44772727272727275,0.4414772727272727,-30.0
unknown,cable,application_observation_supplementary,112,0,0.0,0.1431818181818182,0.4193181818181818,-72.0
unknown,cable,as_egress_primary,112,0,0.0,0.29375,0.4193181818181818,-241.0
unknown,cable,as_only,112,0,0.0,0.2034090909090909,0.4193181818181818,-357.0
unknown,cable,as_pair_primary,112,0,0.0,0.2034090909090909,0.4193181818181818,-357.0
unknown,cable,combined_supplementary,112,0,0.0,0.13977272727272727,0.4193181818181818,-422.0
unknown,cable,composite,112,0,0.0,0.13977272727272727,0.4193181818181818,-422.0
unknown,cable,country_only,112,0,0.0,0.27329545454545456,0.4193181818181818,-224.0
unknown,cable,dst_asn_primary,112,0,0.0,0.21420454545454545,0.4193181818181818,-321.0
unknown,cable,geographic_transition_supplementary,112,0,0.0,0.27329545454545456,0.4193181818181818,-224.0
unknown,cable,probe_target_only,112,0,0.0,0.1431818181818182,0.4193181818181818,-72.0
unknown,corridor,application_observation_supplementary,112,0,0.0,0.1431818181818182,0.5551136363636363,-31.0
unknown,corridor,as_egress_primary,112,0,0.0,0.29375,0.5551136363636363,-200.0
unknown,corridor,as_only,112,0,0.0,0.2034090909090909,0.5551136363636363,-315.5
unknown,corridor,as_pair_primary,112,0,0.0,0.2034090909090909,0.5551136363636363,-315.5
unknown,corridor,combined_supplementary,112,0,0.0,0.13977272727272727,0.5551136363636363,-380.0
unknown,corridor,composite,112,0,0.0,0.13977272727272727,0.5551136363636363,-380.0
unknown,corridor,country_only,112,0,0.0,0.27329545454545456,0.5551136363636363,-182.0
unknown,corridor,dst_asn_primary,112,0,0.0,0.21420454545454545,0.5551136363636363,-279.5
unknown,corridor,geographic_transition_supplementary,112,0,0.0,0.27329545454545456,0.5551136363636363,-182.0
unknown,corridor,probe_target_only,112,0,0.0,0.1431818181818182,0.5551136363636363,-31.0
