probe_country,total_valid_traces,mappable_traces,submarine_exposed_traces,service_physical_exposure_rate,mappable_trace_rate,unique_services,unique_probes,unique_probe_asns,unique_target_ips,unique_target_asns
PG,2,2,2,1.0,1.0,1,1,1,1,1
PH,132,111,65,0.49242424242424243,0.8409090909090909,1,66,35,1,1
PK,26,16,0,0.0,0.6153846153846154,1,13,9,1,1
PL,468,452,1,0.002136752136752137,0.9658119658119658,1,233,132,1,1
PR,4,4,4,1.0,1.0,1,2,2,1,1
PS,2,2,0,0.0,1.0,1,1,1,1,1
PT,209,198,158,0.7559808612440191,0.9473684210526315,1,105,23,1,1
PW,1,1,1,1.0,1.0,1,1,1,1,1
PY,22,20,0,0.0,0.9090909090909091,1,11,8,1,1
QA,2,2,2,1.0,1.0,1,1,1,1,1
RE,104,104,0,0.0,1.0,1,52,5,1,1
RO,180,178,2,0.011111111111111112,0.9888888888888889,1,90,47,1,1
RS,102,97,0,0.0,0.9509803921568627,1,51,21,1,1
RU,1044,994,71,0.06800766283524905,0.9521072796934866,1,522,309,1,1
RW,2,2,0,0.0,1.0,1,1,1,1,1
SA,48,41,0,0.0,0.8541666666666666,1,24,12,1,1
SE,467,443,270,0.5781584582441114,0.9486081370449678,1,233,78,1,1
SG,300,268,204,0.68,0.8933333333333333,1,150,67,1,1
SI,98,91,0,0.0,0.9285714285714286,1,49,22,1,1
SK,112,104,0,0.0,0.9285714285714286,1,56,22,1,1
SL,4,2,2,0.5,0.5,1,2,2,1,1
SM,2,2,0,0.0,1.0,1,1,1,1,1
SN,4,4,0,0.0,1.0,1,2,2,1,1
SR,1,1,1,1.0,1.0,1,1,1,1,1
SS,2,2,0,0.0,1.0,1,1,1,1,1
SV,29,23,5,0.1724137931034483,0.7931034482758621,1,15,10,1,1
SY,6,0,0,0.0,0.0,1,3,2,1,1
TD,2,2,0,0.0,1.0,1,1,1,1,1
TG,2,2,0,0.0,1.0,1,1,1,1,1
TH,98,96,42,0.42857142857142855,0.9795918367346939,1,49,29,1,1
TJ,28,26,0,0.0,0.9285714285714286,1,14,11,1,1
TL,8,8,4,0.5,1.0,1,4,2,1,1
TN,16,14,0,0.0,0.875,1,8,5,1,1
TO,2,2,2,1.0,1.0,1,1,1,1,1
TR,138,129,0,0.0,0.9347826086956522,1,69,30,1,1
TT,2,2,0,0.0,1.0,1,1,1,1,1
TV,2,2,2,1.0,1.0,1,1,1,1,1
TW,162,155,127,0.7839506172839507,0.9567901234567902,1,81,34,1,1
TZ,12,10,0,0.0,0.8333333333333334,1,6,5,1,1
UA,328,320,0,0.0,0.975609756097561,1,165,115,1,1
UG,12,12,0,0.0,1.0,1,6,4,1,1
US,3783,3620,315,0.08326724821570182,0.9569125033042559,1,1891,513,1,1
UY,42,42,0,0.0,1.0,1,21,5,1,1
UZ,20,18,0,0.0,0.9,1,10,8,1,1
VA,2,2,0,0.0,1.0,1,1,1,1,1
VE,78,59,21,0.2692307692307692,0.7564102564102564,1,39,25,1,1
VI,6,6,4,0.6666666666666666,1.0,1,3,2,1,1
VN,56,56,8,0.14285714285714285,1.0,1,28,16,1,1
VU,4,2,2,0.5,0.5,1,2,1,1,1
YE,2,2,0,0.0,1.0,1,1,1,1,1
ZA,265,208,0,0.0,0.7849056603773585,1,133,71,1,1
ZM,8,6,0,0.0,0.75,1,4,4,1,1
ZW,6,6,0,0.0,1.0,1,3,2,1,1
