country,msm_id,file_name,total_mappable_segments,total_observation_mass,unique_corridors_observed,top1_corridor_id,top1_corridor_share,top2_corridor_share,top3_corridor_share,corridor_entropy,corridor_normalized_entropy,effective_corridor_count,corridor_concentration_tier,is_corridor_concentrated,auditable_corridor_concentration,sufficient_corridor_observation,auditable_paper_case,observation_sufficiency_reason,failed_thresholds,unique_probes,unique_probe_asns,unique_measurements_or_targets,domestic_segment_share,international_segment_share,analysis_scope
HK,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,11,11.0,4,landing_region_319252418c1f::landing_region_d0ecf913edd7,0.5454545454545454,0.9090909090909091,0.9545454545454545,0.9794782655903753,0.7065442182128787,2.66306646600355,moderate_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes","minimum_mappable_segments,minimum_unique_probes",7,6,1,0.36363636363636365,0.6363636363636364,transition_near_country
HN,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,19,19.0,1,landing_region_0c894d5ef6d3::landing_region_620bdff3a2d2,1.0,1.0,1.0,-0.0,0.0,1.0,severe_corridor_observation_concentration,True,False,False,False,insufficient_minimum_mappable_segments,minimum_mappable_segments,10,7,1,0.0,1.0,transition_near_country
ID,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,184,184.0,10,landing_region_149ad599e1a3::landing_region_d0ecf913edd7,0.30978260869565216,0.5679347826086956,0.826086956521739,1.6614939527888333,0.7215776554118122,5.267173878588738,weak_corridor_observation_concentration,True,True,True,True,auditable,,63,46,1,0.7336956521739131,0.266304347826087,transition_near_country
IL,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,66,66.0,3,landing_region_7559ef31b258::landing_region_c6ca70161fbc,0.7979797979797979,0.914141414141414,0.9999999999999999,0.6409387022420763,0.5834075486440363,1.898261945973263,moderate_corridor_observation_concentration,True,True,True,True,auditable,,19,8,1,1.0,0.0,transition_near_country
IN,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,139,139.0,4,landing_region_0074f164da96::landing_region_8dc97f28b4d0,0.5683453237410072,0.7913669064748201,0.9424460431654677,1.1056215071625997,0.797537332741832,3.0211015216799098,weak_corridor_observation_concentration,True,True,True,True,auditable,,80,30,1,0.1510791366906475,0.8489208633093526,transition_near_country
JP,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,2,2.0,1,landing_region_a995dae8d34a::landing_region_df61fea74887,1.0,1.0,1.0,-0.0,0.0,1.0,severe_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,1,0.0,1.0,transition_near_country
KY,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,2,2.0,1,landing_region_0c894d5ef6d3::landing_region_6a990cca53f4,1.0,1.0,1.0,-0.0,0.0,1.0,severe_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,1,0.0,1.0,transition_near_country
LC,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,2,2.0,1,landing_region_b69228a09b14::landing_region_c92fc361db9a,1.0,1.0,1.0,-0.0,0.0,1.0,severe_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",2,1,1,0.0,1.0,transition_near_country
LK,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,17,17.0,3,landing_region_08ea81d123b5::landing_region_465d1b4e7da4,0.8235294117647058,0.9411764705882353,1.0,0.5783252866601273,0.5264143616682583,1.7830498315865158,severe_corridor_observation_concentration,True,False,False,False,insufficient_minimum_mappable_segments,minimum_mappable_segments,10,5,1,0.0,1.0,transition_near_country
MM,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,4,4.0,1,landing_region_a314ea9d2330::landing_region_d0ecf913edd7,1.0,1.0,1.0,-0.0,0.0,1.0,severe_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",2,2,1,0.0,1.0,transition_near_country
MP,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,2,2.0,1,landing_region_3602b9b9f277::landing_region_bc6c664daa8f,1.0,1.0,1.0,-0.0,0.0,1.0,severe_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,1,0.0,1.0,transition_near_country
MT,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,4,4.0,1,landing_region_08ea81d123b5::landing_region_9e3a5ff856b9,1.0,1.0,1.0,-0.0,0.0,1.0,severe_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",2,2,1,0.0,1.0,transition_near_country
MV,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,2,2.0,1,landing_region_3e5f0fe5028c::landing_region_465d1b4e7da4,1.0,1.0,1.0,-0.0,0.0,1.0,severe_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,1,0.0,1.0,transition_near_country
MX,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,4,4.0,1,landing_region_0c894d5ef6d3::landing_region_2899c8b816f4,1.0,1.0,1.0,-0.0,0.0,1.0,severe_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",2,2,1,0.0,1.0,transition_near_country
MY,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,6,6.0,1,landing_region_d0ecf913edd7::landing_region_d5376611ccce,1.0,1.0,1.0,-0.0,0.0,1.0,severe_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes","minimum_mappable_segments,minimum_unique_probes",3,3,1,0.8333333333333334,0.16666666666666666,transition_near_country
NC,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,10,10.0,1,landing_region_3563aa191965::landing_region_58084817cbe7,1.0,1.0,1.0,-0.0,0.0,1.0,severe_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",5,2,1,0.0,1.0,transition_near_country
NG,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,22,22.0,2,landing_region_30beda532e6f::landing_region_44e270aeb18c,0.8181818181818182,1.0,1.0,0.47413931305783735,0.6840384356390417,1.6066307960863546,severe_corridor_observation_concentration,True,False,False,False,insufficient_minimum_mappable_segments,minimum_mappable_segments,13,8,1,0.0,1.0,transition_near_country
NO,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,302,302.0,15,landing_region_2f1f6d8f7ce5::landing_region_d514e04d4eb8,0.739514348785872,0.7902869757174393,0.8333333333333334,1.1725653460299876,0.43299247021075865,3.230268775591306,weak_corridor_observation_concentration,True,True,True,True,auditable,,70,27,1,1.0,0.0,transition_near_country
NU,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,2,2.0,1,landing_region_0601a73acabb::landing_region_3b96281acedd,1.0,1.0,1.0,-0.0,0.0,1.0,severe_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,1,0.0,1.0,transition_near_country
NZ,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,287,287.0,10,landing_region_58084817cbe7::landing_region_64abd2b76b5b,0.445993031358885,0.6829268292682926,0.7787456445993032,1.6033598141206775,0.6963303197780337,4.969701679793909,broad_corridor_observation_distribution,False,False,True,True,auditable,,80,22,1,0.5331010452961672,0.46689895470383275,transition_near_country
PA,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,2,2.0,1,landing_region_466f092d0a6e::landing_region_af7df63397a0,1.0,1.0,1.0,-0.0,0.0,1.0,severe_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,1,0.0,1.0,transition_near_country
PE,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,36,36.0,1,landing_region_4d0efd9bb45b::landing_region_5113b57f1083,1.0,1.0,1.0,-0.0,0.0,1.0,severe_corridor_observation_concentration,True,True,True,True,auditable,,18,11,1,0.0,1.0,transition_near_country
PG,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,2,2.0,1,landing_region_58084817cbe7::landing_region_a4275bfd77b7,1.0,1.0,1.0,-0.0,0.0,1.0,severe_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,1,0.0,1.0,transition_near_country
PH,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,72,72.0,6,landing_region_319252418c1f::landing_region_71e1260196d0,0.5277777777777778,0.8333333333333334,0.9166666666666667,1.2052682309297549,0.6726730075265189,3.3376542201043162,moderate_corridor_observation_concentration,True,True,True,True,auditable,,34,18,1,0.1388888888888889,0.8611111111111112,transition_near_country
PR,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,6,6.0,1,landing_region_0c894d5ef6d3::landing_region_822747b0ce7e,1.0,1.0,1.0,-0.0,0.0,1.0,severe_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes","minimum_mappable_segments,minimum_unique_probes",3,3,1,0.0,1.0,transition_near_country
PT,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,2,2.0,1,landing_region_a2ee20dddede::landing_region_c88b92706e9c,1.0,1.0,1.0,-0.0,0.0,1.0,severe_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,1,1.0,0.0,transition_near_country
PW,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,1,1.0,1,landing_region_4dc2204794ee::landing_region_bc6c664daa8f,1.0,1.0,1.0,-0.0,0.0,1.0,severe_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,1,0.0,1.0,transition_near_country
QA,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,2,2.0,1,landing_region_08ea81d123b5::landing_region_f0ff9789c5ea,1.0,1.0,1.0,-0.0,0.0,1.0,severe_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,1,0.0,1.0,transition_near_country
SE,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,378,378.0,2,landing_region_1ce0b85cd8b9::landing_region_e1a72a298b9d,0.9947089947089947,1.0,1.0,0.033011094361068624,0.04762494212903133,1.033562005887778,severe_corridor_observation_concentration,True,True,True,True,auditable,,182,73,1,1.0,0.0,transition_near_country
SG,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,893,893.0,2,landing_region_149ad599e1a3::landing_region_d0ecf913edd7,0.729003359462486,1.0,1.0,0.5842476034882609,0.8428911202037754,1.7936409486289584,moderate_corridor_observation_concentration,True,True,True,True,auditable,,192,89,1,0.729003359462486,0.270996640537514,transition_near_country
SL,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,2,2.0,1,landing_region_c88b92706e9c::landing_region_dbe3261635ed,1.0,1.0,1.0,-0.0,0.0,1.0,severe_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,1,0.0,1.0,transition_near_country
SN,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,2,2.0,1,landing_region_9d5009d65552::landing_region_c88b92706e9c,1.0,1.0,1.0,-0.0,0.0,1.0,severe_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,1,0.0,1.0,transition_near_country
TH,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,3,3.0,2,landing_region_04269067e649::landing_region_149ad599e1a3,0.5,1.0,1.0,0.6931471805599453,1.0,2.0,moderate_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",2,1,1,0.0,1.0,transition_near_country
TO,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,2,2.0,1,landing_region_1cece50a3587::landing_region_ab5fcb6a28e2,1.0,1.0,1.0,-0.0,0.0,1.0,severe_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,1,0.0,1.0,transition_near_country
TW,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,129,129.0,5,landing_region_3362110f86da::landing_region_7a95dbddaa36,0.3798449612403101,0.6085271317829457,0.8372093023255813,1.4491758063903282,0.9004235548289072,4.259602330986813,weak_corridor_observation_concentration,True,True,True,True,auditable,,47,13,1,0.5426356589147286,0.4573643410852713,transition_near_country
US,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,294,294.0,18,landing_region_35391ab448ed::landing_region_a4e660c6c620,0.36394557823129253,0.5884353741496599,0.7448979591836735,1.8363264416829845,0.635325347566918,6.273449994540877,broad_corridor_observation_distribution,False,False,True,True,auditable,,91,55,1,0.9659863945578231,0.034013605442176874,transition_near_country
VI,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,4,4.0,1,landing_region_0c894d5ef6d3::landing_region_fd5565d28cce,1.0,1.0,1.0,-0.0,0.0,1.0,severe_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",2,1,1,0.0,1.0,transition_near_country
VN,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,2,2.0,1,landing_region_319252418c1f::landing_region_54f9d6b44a8a,1.0,1.0,1.0,-0.0,0.0,1.0,severe_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,1,0.0,1.0,transition_near_country
ZA,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,2,2.0,1,landing_region_44e270aeb18c::landing_region_eafefa1c1ea4,1.0,1.0,1.0,-0.0,0.0,1.0,severe_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,1,1.0,0.0,transition_near_country
