country,msm_id,file_name,total_mappable_segments,total_observation_mass,unique_corridors_observed,top1_corridor_id,top1_corridor_share,top2_corridor_share,top3_corridor_share,effective_corridor_count,corridor_concentration_tier,is_corridor_concentrated,auditable_corridor_concentration,sufficient_corridor_observation,auditable_paper_case,observation_sufficiency_reason,failed_thresholds,unique_probes,unique_probe_asns,unique_measurements_or_targets,domestic_segment_share,international_segment_share
SN,5008,dns-root_l-root_msm5008_20260701T000000Z_010000Z.json,10,10.0,1,landing_region_0239::landing_region_0308,1.0,1.0,1.0,1.0,severe_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,1,0.0,1.0
TG,5008,dns-root_l-root_msm5008_20260701T000000Z_010000Z.json,10,10.0,1,landing_region_0556::landing_region_0586,1.0,1.0,1.0,1.0,severe_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,1,0.0,1.0
TH,5008,dns-root_l-root_msm5008_20260701T000000Z_010000Z.json,215,215.0,7,landing_region_0132::landing_region_0892,0.5581395348837209,0.7906976744186046,0.8488372093023255,3.669881686987422,weak_corridor_observation_concentration,True,True,True,True,auditable,,16,11,1,0.37209302325581395,0.627906976744186
TO,5008,dns-root_l-root_msm5008_20260701T000000Z_010000Z.json,10,10.0,1,landing_region_0701::landing_region_0903,1.0,1.0,1.0,1.0,severe_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,1,0.0,1.0
TR,5008,dns-root_l-root_msm5008_20260701T000000Z_010000Z.json,80,80.0,1,landing_region_0088::landing_region_0461,1.0,1.0,1.0,1.0,severe_corridor_observation_concentration,True,False,False,False,insufficient_minimum_unique_probes,minimum_unique_probes,8,3,1,0.0,1.0
TW,5008,dns-root_l-root_msm5008_20260701T000000Z_010000Z.json,295,295.0,7,landing_region_0719::landing_region_1011,0.423728813559322,0.7966101694915254,0.8813559322033898,3.8733986321609706,weak_corridor_observation_concentration,True,True,True,True,auditable,,16,8,1,0.9152542372881356,0.0847457627118644
US,5008,dns-root_l-root_msm5008_20260701T000000Z_010000Z.json,3250,3250.0,24,landing_region_0149::landing_region_0610,0.18846153846153846,0.36615384615384616,0.4753846153846154,10.358733033599297,broad_corridor_observation_distribution,False,False,True,True,auditable,,78,30,1,0.7107692307692308,0.28923076923076924
VE,5008,dns-root_l-root_msm5008_20260701T000000Z_010000Z.json,10,10.0,1,landing_region_0225::landing_region_0425,1.0,1.0,1.0,1.0,severe_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,1,1.0,0.0
VI,5008,dns-root_l-root_msm5008_20260701T000000Z_010000Z.json,40,39.99999999999999,4,landing_region_0174::landing_region_0208,0.5,0.6666666666666666,0.8333333333333333,3.464101615137755,weak_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_unique_probes,minimum_unique_probe_asns","minimum_unique_probes,minimum_unique_probe_asns",2,1,1,0.5000000000000001,0.5000000000000001
VN,5008,dns-root_l-root_msm5008_20260701T000000Z_010000Z.json,105,105.0,2,landing_region_0230::landing_region_0988,0.5714285714285714,1.0,1.0,1.9796263300525183,moderate_corridor_observation_concentration,True,False,False,False,insufficient_minimum_unique_probes,minimum_unique_probes,7,5,1,0.0,1.0
ZA,5008,dns-root_l-root_msm5008_20260701T000000Z_010000Z.json,475,475.0,5,landing_region_0233::landing_region_0233,0.5894736842105263,0.8210526315789473,0.9473684210526315,2.983104117292235,moderate_corridor_observation_concentration,True,True,True,True,auditable,,17,11,1,0.5894736842105263,0.4105263157894737
