probe_country,service_id,service_class,deployment_type,path_scope_stratum,total_valid_traces,mappable_traces,traces_with_feasible_submarine_corridor_candidates,submarine_candidate_exposure_rate,any_candidate_exposure_rate,inter_region_candidate_exposure_rate,domestic_inter_region_candidate_exposure_rate,international_inter_region_candidate_exposure_rate,intra_region_candidate_rate,submarine_exposed_traces,service_physical_exposure_rate,mappable_trace_rate,unique_probes,unique_probe_asns,unique_target_ips,unique_target_asns,service_entry_resolution_rate,sufficient_trace_observation,country_fallback_share,sufficient_network_transition_resolution,auditable_paper_case,observation_sufficiency_reason,failed_thresholds
SG,C-Root,dns_root,anycast,resolved_entry_only,256,256,242,0.9453125,0.9453125,0.9453125,0.9453125,0.08203125,0.9453125,242,0.9453125,1.0,141,63,1,1,1.0,True,0.0,True,True,auditable,
TH,C-Root,dns_root,anycast,all_publicly_visible,91,89,86,0.945054945054945,0.945054945054945,0.945054945054945,0.8791208791208791,0.17582417582417584,0.9010989010989011,86,0.945054945054945,0.978021978021978,49,29,1,1,0.978021978021978,True,0.0,True,True,auditable,
NO,C-Root,dns_root,anycast,resolved_entry_only,158,158,145,0.9177215189873418,0.9177215189873418,0.9177215189873418,0.8924050632911392,0.4177215189873418,0.18354430379746836,145,0.9177215189873418,1.0,88,34,1,1,1.0,True,0.0,True,True,auditable,
SE,C-Root,dns_root,anycast,resolved_entry_only,402,402,363,0.9029850746268657,0.9029850746268657,0.9029850746268657,0.24378109452736318,0.8631840796019901,0.21393034825870647,363,0.9029850746268657,1.0,220,74,1,1,1.0,True,0.0,True,True,auditable,
HK,C-Root,dns_root,anycast,resolved_entry_only,119,119,106,0.8907563025210085,0.9495798319327731,0.8907563025210085,0.8823529411764706,0.8319327731092437,0.9495798319327731,106,0.8907563025210085,1.0,64,39,1,1,1.0,True,0.0,True,True,auditable,
SG,C-Root,dns_root,anycast,all_publicly_visible,272,256,242,0.8897058823529411,0.8897058823529411,0.8897058823529411,0.8897058823529411,0.07720588235294118,0.8897058823529411,242,0.8897058823529411,0.9411764705882353,150,67,1,1,0.9411764705882353,True,0.0,True,True,auditable,
NO,C-Root,dns_root,anycast,all_publicly_visible,167,160,147,0.8802395209580839,0.8802395209580839,0.8802395209580839,0.8562874251497006,0.39520958083832336,0.17365269461077845,147,0.8802395209580839,0.9580838323353293,93,35,1,1,0.9461077844311377,True,0.0,True,True,auditable,
MY,C-Root,dns_root,anycast,resolved_entry_only,65,65,57,0.8769230769230769,0.8769230769230769,0.8769230769230769,0.8615384615384616,0.15384615384615385,0.8615384615384616,57,0.8769230769230769,1.0,35,19,1,1,1.0,True,0.011834319526627219,True,True,auditable,
LK,C-Root,dns_root,anycast,all_publicly_visible,24,22,21,0.875,0.875,0.875,0.625,0.8333333333333334,0.625,21,0.875,0.9166666666666666,13,6,1,1,0.9166666666666666,False,0.0,True,True,auditable,
HK,C-Root,dns_root,anycast,all_publicly_visible,124,121,108,0.8709677419354839,0.9274193548387096,0.8709677419354839,0.8629032258064516,0.8145161290322581,0.9274193548387096,108,0.8709677419354839,0.9758064516129032,66,40,1,1,0.9596774193548387,True,0.0,True,True,auditable,
IN,C-Root,dns_root,anycast,all_publicly_visible,278,244,239,0.8597122302158273,0.8597122302158273,0.8597122302158273,0.7410071942446043,0.42805755395683454,0.7410071942446043,239,0.8597122302158273,0.8776978417266187,152,63,1,1,0.8705035971223022,True,0.0199468085106383,True,True,auditable,
SE,C-Root,dns_root,anycast,all_publicly_visible,427,404,365,0.8548009367681498,0.8548009367681498,0.8548009367681498,0.234192037470726,0.8126463700234192,0.20140515222482436,365,0.8548009367681498,0.9461358313817331,233,78,1,1,0.9414519906323185,True,0.0,True,True,auditable,
MY,C-Root,dns_root,anycast,all_publicly_visible,67,65,57,0.8507462686567164,0.8507462686567164,0.8507462686567164,0.835820895522388,0.14925373134328357,0.835820895522388,57,0.8507462686567164,0.9701492537313433,36,20,1,1,0.9701492537313433,True,0.011834319526627219,True,True,auditable,
EE,C-Root,dns_root,anycast,all_publicly_visible,77,65,64,0.8311688311688312,0.8311688311688312,0.8311688311688312,0.0,0.8311688311688312,0.0,64,0.8311688311688312,0.8441558441558441,41,21,1,1,0.8441558441558441,True,0.0,True,True,auditable,
FI,C-Root,dns_root,anycast,resolved_entry_only,312,312,237,0.7596153846153846,0.7596153846153846,0.7596153846153846,0.04807692307692308,0.7147435897435898,0.0,237,0.7596153846153846,1.0,169,61,1,1,1.0,True,0.0,True,True,auditable,
LV,C-Root,dns_root,anycast,resolved_entry_only,56,56,41,0.7321428571428571,0.7321428571428571,0.7321428571428571,0.0,0.7321428571428571,0.0,41,0.7321428571428571,1.0,30,21,1,1,1.0,True,0.0,True,True,auditable,
FI,C-Root,dns_root,anycast,all_publicly_visible,327,314,239,0.7308868501529052,0.7308868501529052,0.7308868501529052,0.045871559633027525,0.6880733944954128,0.0,239,0.7308868501529052,0.9602446483180428,177,62,1,1,0.9541284403669725,True,0.0,True,True,auditable,
RU,C-Root,dns_root,anycast,all_publicly_visible,966,919,703,0.727743271221532,0.727743271221532,0.727743271221532,0.0,0.727743271221532,0.0,703,0.727743271221532,0.9513457556935818,519,308,1,1,0.39233954451345754,True,0.0,True,True,auditable,
LV,C-Root,dns_root,anycast,all_publicly_visible,58,56,41,0.7068965517241379,0.7068965517241379,0.7068965517241379,0.0,0.7068965517241379,0.0,41,0.7068965517241379,0.9655172413793104,31,21,1,1,0.9655172413793104,True,0.0,True,True,auditable,
NZ,C-Root,dns_root,anycast,resolved_entry_only,191,191,132,0.6910994764397905,0.9162303664921466,0.6910994764397905,0.3769633507853403,0.5602094240837696,0.8795811518324608,132,0.6910994764397905,1.0,102,32,1,1,1.0,True,0.0,True,True,auditable,
NP,C-Root,dns_root,anycast,all_publicly_visible,29,29,18,0.6206896551724138,0.6206896551724138,0.6206896551724138,0.5517241379310345,0.1724137931034483,0.5517241379310345,18,0.6206896551724138,1.0,16,10,1,1,1.0,False,0.05555555555555555,True,True,auditable,
NP,C-Root,dns_root,anycast,resolved_entry_only,29,29,18,0.6206896551724138,0.6206896551724138,0.6206896551724138,0.5517241379310345,0.1724137931034483,0.5517241379310345,18,0.6206896551724138,1.0,16,10,1,1,1.0,False,0.05555555555555555,True,True,auditable,
