country,msm_id,file_name,total_mappable_segments,unique_network_transitions_observed,top1_network_transition_key,top1_network_transition_share,top2_network_transition_share,top3_network_transition_share,effective_network_transition_count,network_transition_concentration_tier,cross_as_boundary_segments,intra_as_hop_pair_segments,country_fallback_segments,cross_as_boundary_share,intra_as_hop_pair_share,country_fallback_share,sufficient_network_transition_resolution,auditable_paper_case,observation_sufficiency_reason,failed_thresholds,unique_probes,unique_probe_asns,domestic_segment_share,international_segment_share
HK,86710103,popular-application_wikipedia_msm86710103_20260701T000000Z_010000Z.json,178,16,2914->2914,0.2808988764044944,0.4775280898876405,0.6067415730337079,8.55059509645094,broad_network_transition_distribution,22,147,9,0.12359550561797752,0.8258426966292135,0.05056179775280899,True,True,auditable,,112,54,0.0,1.0
HN,86710103,popular-application_wikipedia_msm86710103_20260701T000000Z_010000Z.json,12,2,263725->54082,0.6666666666666666,1.0,1.0,1.8898815748423097,moderate_network_transition_concentration,8,4,0,0.6666666666666666,0.3333333333333333,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes","minimum_mappable_segments,minimum_unique_probes",6,4,0.0,1.0
ID,86710103,popular-application_wikipedia_msm86710103_20260701T000000Z_010000Z.json,113,21,COUNTRY_FALLBACK:ID->SG,0.3274336283185841,0.4690265486725664,0.5575221238938053,10.991855295541358,broad_network_transition_distribution,22,47,44,0.19469026548672566,0.415929203539823,0.3893805309734513,False,False,insufficient_maximum_country_fallback_share,maximum_country_fallback_share,56,39,0.6106194690265486,0.3893805309734513
IL,86710103,popular-application_wikipedia_msm86710103_20260701T000000Z_010000Z.json,5,1,12400->12400,1.0,1.0,1.0,1.0,severe_network_transition_concentration,0,5,0,0.0,1.0,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",3,1,0.0,1.0
IN,86710103,popular-application_wikipedia_msm86710103_20260701T000000Z_010000Z.json,156,10,6453->6453,0.32051282051282054,0.5769230769230769,0.7756410256410257,5.557019750598012,broad_network_transition_distribution,6,117,33,0.038461538461538464,0.75,0.21153846153846154,True,True,auditable,,82,35,0.11538461538461539,0.8846153846153846
IT,86710103,popular-application_wikipedia_msm86710103_20260701T000000Z_010000Z.json,8,3,9002->9002,0.5,0.75,1.0,2.82842712474619,weak_network_transition_concentration,2,6,0,0.25,0.75,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",4,2,0.0,1.0
KY,86710103,popular-application_wikipedia_msm86710103_20260701T000000Z_010000Z.json,2,1,36549->3855,1.0,1.0,1.0,1.0,severe_network_transition_concentration,2,0,0,1.0,0.0,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,0.0,1.0
LK,86710103,popular-application_wikipedia_msm86710103_20260701T000000Z_010000Z.json,17,2,18001->18001,0.6470588235294118,1.0,1.0,1.914101563056557,moderate_network_transition_concentration,0,17,0,0.0,1.0,0.0,True,False,insufficient_minimum_mappable_segments,minimum_mappable_segments,10,5,0.0,1.0
MM,86710103,popular-application_wikipedia_msm86710103_20260701T000000Z_010000Z.json,3,1,136168->136168,1.0,1.0,1.0,1.0,severe_network_transition_concentration,0,3,0,0.0,1.0,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",2,2,0.0,1.0
MP,86710103,popular-application_wikipedia_msm86710103_20260701T000000Z_010000Z.json,2,1,7131->7131,1.0,1.0,1.0,1.0,severe_network_transition_concentration,0,2,0,0.0,1.0,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,0.0,1.0
