country,total_mappable_segments,top1_network_transition_share,top2_network_transition_share,top3_network_transition_share,network_transition_entropy,network_transition_normalized_entropy,effective_network_transition_count,network_transition_concentration_tier,top1_corridor_share,top2_corridor_share,top3_corridor_share,corridor_entropy,corridor_normalized_entropy,effective_corridor_count,corridor_minus_network_normalized_entropy,normalized_entropy_reduction,corridor_concentration_tier,cross_layer_distribution_class,country_fallback_share,auditable_cross_layer_case,sufficient_trace_observation,sufficient_corridor_observation,sufficient_network_transition_resolution,auditable_paper_case,observation_sufficiency_reason,failed_thresholds,unique_probes,unique_probe_asns,domestic_segment_share,international_segment_share,analysis_scope
PG,2,1.0,1.0,1.0,-0.0,0.0,1.0,severe_network_transition_concentration,1.0,1.0,1.0,-0.0,0.0,1.0,0.0,0.0,severe_corridor_observation_concentration,network_and_physical_both_concentrated,0.0,False,False,False,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,0.0,1.0,transition_near_country
PH,40,0.475,0.625,0.725,1.6618522247515823,0.7991819877797997,5.269061297396792,broad_network_transition_distribution,0.5833333333333333,0.7333333333333333,0.8583333333333333,1.3544434443748212,0.6513496134547071,3.874603923825342,-0.14783237432509255,0.14783237432509255,weak_corridor_observation_concentration,network_and_physical_both_broad,0.2,True,True,True,True,True,auditable,,22,10,0.25000000000000006,0.7500000000000001,transition_near_country
PK,10,1.0,1.0,1.0,-0.0,0.0,1.0,severe_network_transition_concentration,0.5,1.0,1.0,0.6931471805599453,1.0,2.0,1.0,-1.0,moderate_corridor_observation_concentration,network_and_physical_both_concentrated,1.0,False,False,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,maximum_country_fallback_share","minimum_mappable_segments,minimum_unique_probes,maximum_country_fallback_share",5,4,0.0,1.0,transition_near_country
PR,6,0.3333333333333333,0.6666666666666666,1.0,1.0986122886681096,0.9999999999999998,2.9999999999999996,weak_network_transition_concentration,1.0,1.0,1.0,-0.0,0.0,1.0,-0.9999999999999998,0.9999999999999998,severe_corridor_observation_concentration,network_broad_physical_concentrated,0.0,False,False,False,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes","minimum_mappable_segments,minimum_unique_probes",3,3,0.0,1.0,transition_near_country
PT,110,0.23636363636363636,0.4,0.5272727272727272,2.392001009548419,0.8442714046108055,10.935353812238127,broad_network_transition_distribution,0.9636363636363636,0.9818181818181818,1.0,0.18141552308224446,0.16513152542848536,1.1989132519354815,-0.6791398791823202,0.6791398791823202,severe_corridor_observation_concentration,network_broad_physical_concentrated,0.0,True,True,True,True,True,auditable,,39,11,0.9636363636363636,0.03636363636363636,transition_near_country
PW,2,1.0,1.0,1.0,-0.0,0.0,1.0,severe_network_transition_concentration,1.0,1.0,1.0,-0.0,0.0,1.0,0.0,0.0,severe_corridor_observation_concentration,network_and_physical_both_concentrated,0.0,False,False,False,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,0.0,1.0,transition_near_country
SE,677,0.5228951255539144,0.6779911373707533,0.7488921713441655,1.7113876879217376,0.5920995052786626,5.5366392766486605,broad_network_transition_distribution,0.7813884785819794,0.8847858197932054,0.9660265878877401,0.7963235831256518,0.3829506947727694,2.2173739341051784,-0.20914881050589323,0.20914881050589323,moderate_corridor_observation_concentration,network_broad_physical_concentrated,0.5317577548005908,False,True,True,False,False,insufficient_maximum_country_fallback_share,maximum_country_fallback_share,141,57,0.9601181683899557,0.03988183161004431,transition_near_country
SG,1128,0.1773049645390071,0.274822695035461,0.3696808510638298,3.2027187379712987,0.7617010392629369,24.59931846725231,broad_network_transition_distribution,0.30230496453900707,0.6046099290780141,0.9069148936170213,1.500181909533697,0.568453702274215,4.482504406463484,-0.19324733698872187,0.19324733698872187,weak_corridor_observation_concentration,network_and_physical_both_broad,0.15336879432624115,True,True,True,True,True,auditable,,250,116,0.9069148936170213,0.09308510638297872,transition_near_country
SL,2,1.0,1.0,1.0,-0.0,0.0,1.0,severe_network_transition_concentration,1.0,1.0,1.0,-0.0,0.0,1.0,0.0,0.0,severe_corridor_observation_concentration,network_and_physical_both_concentrated,0.0,False,False,False,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,0.0,1.0,transition_near_country
SN,1,1.0,1.0,1.0,-0.0,0.0,1.0,severe_network_transition_concentration,0.5,1.0,1.0,0.6931471805599453,1.0,2.0,1.0,-1.0,moderate_corridor_observation_concentration,network_and_physical_both_concentrated,0.0,False,False,False,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,0.0,1.0,transition_near_country
TH,2,1.0,1.0,1.0,-0.0,0.0,1.0,severe_network_transition_concentration,0.5,1.0,1.0,0.6931471805599453,1.0,2.0,1.0,-1.0,moderate_corridor_observation_concentration,network_and_physical_both_concentrated,0.0,False,False,False,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,0.0,1.0,transition_near_country
TO,2,1.0,1.0,1.0,-0.0,0.0,1.0,severe_network_transition_concentration,1.0,1.0,1.0,-0.0,0.0,1.0,0.0,0.0,severe_corridor_observation_concentration,network_and_physical_both_concentrated,0.0,False,False,False,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,0.0,1.0,transition_near_country
TW,72,0.5833333333333334,0.7222222222222223,0.8055555555555556,1.4154470956059297,0.6806861684904538,4.118327340476851,weak_network_transition_concentration,0.7777777777777778,0.8472222222222222,0.9027777777777778,0.9112786391018505,0.43823239116676105,2.4875011170152095,-0.24245377732369278,0.24245377732369278,moderate_corridor_observation_concentration,network_broad_physical_concentrated,0.5833333333333334,False,True,True,False,False,insufficient_maximum_country_fallback_share,maximum_country_fallback_share,29,9,0.9444444444444444,0.05555555555555555,transition_near_country
US,984,0.5802845528455285,0.7245934959349594,0.7784552845528456,1.8041938772396593,0.4858378522975134,6.075072220108537,broad_network_transition_distribution,0.6803861788617886,0.9415650406504066,0.9600271002710027,0.8962399794655449,0.36067350036751183,2.450372317813871,-0.12516435193000158,0.12516435193000158,moderate_corridor_observation_concentration,network_broad_physical_concentrated,0.5823170731707317,False,True,True,False,False,insufficient_maximum_country_fallback_share,maximum_country_fallback_share,300,102,0.9908536585365854,0.009146341463414635,transition_near_country
VE,20,0.6,0.8999999999999999,1.0,0.8979457248567798,0.8173454221465101,2.454555595891148,moderate_network_transition_concentration,0.4,0.7,1.0,1.0888999753452238,0.9911594714322187,2.971004096610006,0.17381404928570865,-0.17381404928570865,weak_corridor_observation_concentration,network_and_physical_both_concentrated,0.6,False,False,False,False,False,"insufficient_minimum_mappable_segments,maximum_country_fallback_share","minimum_mappable_segments,maximum_country_fallback_share",10,6,1.0,0.0,transition_near_country
VI,4,1.0,1.0,1.0,-0.0,0.0,1.0,severe_network_transition_concentration,1.0,1.0,1.0,-0.0,0.0,1.0,0.0,0.0,severe_corridor_observation_concentration,network_and_physical_both_concentrated,0.0,False,False,False,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",2,1,0.0,1.0,transition_near_country
ZA,2,1.0,1.0,1.0,-0.0,0.0,1.0,severe_network_transition_concentration,1.0,1.0,1.0,-0.0,0.0,1.0,0.0,0.0,severe_corridor_observation_concentration,network_and_physical_both_concentrated,0.0,False,False,False,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,0.0,1.0,transition_near_country
