probe_country,service_id,msm_id,file_name,total_mappable_segments,unique_network_transitions_observed,top1_network_transition_key,top1_network_transition_share,top2_network_transition_share,top3_network_transition_share,effective_network_transition_count,network_transition_concentration_tier,country_fallback_share,sufficient_network_transition_resolution,auditable_paper_case,observation_sufficiency_reason,failed_thresholds,unique_probes,unique_probe_asns,domestic_segment_share,international_segment_share
IN,I-Root,5005,dns-root_i-root_msm5005_20260701T000000Z_010000Z.json,11,4,9498->-1,0.45454545454545453,0.6363636363636364,0.8181818181818181,3.6264430977659163,weak_network_transition_concentration,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes","minimum_mappable_segments,minimum_unique_probes",5,5,0.6363636363636364,0.36363636363636365
IQ,I-Root,5005,dns-root_i-root_msm5005_20260701T000000Z_010000Z.json,4,1,200612->200612,1.0,1.0,1.0,1.0,severe_network_transition_concentration,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,0.5,0.5
IT,I-Root,5005,dns-root_i-root_msm5005_20260701T000000Z_010000Z.json,22,3,55818->55818,0.7272727272727273,0.9090909090909092,1.0,2.137308637435014,moderate_network_transition_concentration,0.0,True,False,insufficient_minimum_mappable_segments,minimum_mappable_segments,10,5,0.8181818181818182,0.18181818181818182
JP,I-Root,5005,dns-root_i-root_msm5005_20260701T000000Z_010000Z.json,160,41,4713->4713,0.1,0.175,0.2375,31.345599698105552,broad_network_transition_distribution,0.0,True,True,auditable,,55,31,0.95625,0.04375
KI,I-Root,5005,dns-root_i-root_msm5005_20260701T000000Z_010000Z.json,5,1,-1->-1,1.0,1.0,1.0,1.0,severe_network_transition_concentration,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",2,1,1.0,0.0
KN,I-Root,5005,dns-root_i-root_msm5005_20260701T000000Z_010000Z.json,1,1,174->174,1.0,1.0,1.0,1.0,severe_network_transition_concentration,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,1.0,0.0
KY,I-Root,5005,dns-root_i-root_msm5005_20260701T000000Z_010000Z.json,3,2,36549->3855,0.6666666666666666,1.0,1.0,1.8898815748423097,moderate_network_transition_concentration,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,0.0,1.0
LA,I-Root,5005,dns-root_i-root_msm5005_20260701T000000Z_010000Z.json,4,2,45796->-1,0.5,1.0,1.0,2.0,moderate_network_transition_concentration,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,1.0,0.0
LC,I-Root,5005,dns-root_i-root_msm5005_20260701T000000Z_010000Z.json,5,2,15344->23520,0.8,1.0,1.0,1.6493848884661177,severe_network_transition_concentration,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",2,2,0.8,0.2
LI,I-Root,5005,dns-root_i-root_msm5005_20260701T000000Z_010000Z.json,8,4,35223->-1,0.25,0.5,0.75,4.0,weak_network_transition_concentration,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes","minimum_mappable_segments,minimum_unique_probes",3,3,0.75,0.25
