probe_country,total_valid_traces,mappable_traces,submarine_exposed_traces,service_physical_exposure_rate,mappable_trace_rate,unique_services,unique_probes,unique_probe_asns,unique_target_ips,unique_target_asns
US,3292,3147,383,0.11634264884568651,0.9559538274605103,1,1646,440,1,1
UY,37,37,0,0.0,1.0,1,19,5,1,1
UZ,20,18,8,0.4,0.9,1,10,8,1,1
VA,2,2,0,0.0,1.0,1,1,1,1,1
VE,70,50,15,0.21428571428571427,0.7142857142857143,1,35,24,1,1
VI,4,4,2,0.5,1.0,1,2,2,1,1
VN,47,47,30,0.6382978723404256,1.0,1,24,13,1,1
VU,2,0,0,0.0,0.0,1,1,1,1,1
XK,4,2,0,0.0,0.5,1,2,2,1,1
YE,2,2,0,0.0,1.0,1,1,1,1,1
ZA,228,222,14,0.06140350877192982,0.9736842105263158,1,113,63,1,1
ZM,8,5,0,0.0,0.625,1,4,4,1,1
ZW,6,6,0,0.0,1.0,1,3,2,1,1
