country,msm_id,file_name,total_mappable_segments,total_observation_mass,unique_corridors_observed,top1_corridor_id,top1_corridor_share,top2_corridor_share,top3_corridor_share,corridor_entropy,corridor_normalized_entropy,effective_corridor_count,corridor_concentration_tier,is_corridor_concentrated,auditable_corridor_concentration,sufficient_corridor_observation,auditable_paper_case,observation_sufficiency_reason,failed_thresholds,unique_probes,unique_probe_asns,unique_measurements_or_targets,domestic_segment_share,international_segment_share,analysis_scope
NO,5005,dns-root_i-root_msm5005_20260701T000000Z_010000Z.json,493,492.99999999999994,12,landing_region_2f1f6d8f7ce5::landing_region_d514e04d4eb8,0.8384043272481406,0.8979039891818796,0.922920892494929,0.7489670242946318,0.30140650328193613,2.1148143360990352,severe_corridor_observation_concentration,True,True,True,True,auditable,,84,30,1,1.0,0.0,transition_near_country
NU,5005,dns-root_i-root_msm5005_20260701T000000Z_010000Z.json,2,2.0,1,landing_region_0601a73acabb::landing_region_3b96281acedd,1.0,1.0,1.0,-0.0,0.0,1.0,severe_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,1,0.0,1.0,transition_near_country
NZ,5005,dns-root_i-root_msm5005_20260701T000000Z_010000Z.json,303,303.0,10,landing_region_58084817cbe7::landing_region_64abd2b76b5b,0.44554455445544555,0.6732673267326733,0.764026402640264,1.63153487045772,0.7085665912725245,5.111714520062888,broad_corridor_observation_distribution,False,False,True,True,auditable,,85,22,1,0.5082508250825083,0.49174917491749176,transition_near_country
PE,5005,dns-root_i-root_msm5005_20260701T000000Z_010000Z.json,17,17.0,1,landing_region_4d0efd9bb45b::landing_region_8c0e5886c6bc,1.0,1.0,1.0,-0.0,0.0,1.0,severe_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes","minimum_mappable_segments,minimum_unique_probes",9,7,1,0.0,1.0,transition_near_country
PG,5005,dns-root_i-root_msm5005_20260701T000000Z_010000Z.json,2,2.0,1,landing_region_58084817cbe7::landing_region_a4275bfd77b7,1.0,1.0,1.0,-0.0,0.0,1.0,severe_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,1,0.0,1.0,transition_near_country
PH,5005,dns-root_i-root_msm5005_20260701T000000Z_010000Z.json,40,40.0,6,landing_region_319252418c1f::landing_region_71e1260196d0,0.5875,0.7375,0.8625,1.2796783876397233,0.7142021067096959,3.5954831877664715,weak_corridor_observation_concentration,True,True,True,True,auditable,,22,10,1,0.25,0.75,transition_near_country
PK,5005,dns-root_i-root_msm5005_20260701T000000Z_010000Z.json,10,10.0,2,landing_region_1b3a8d836a7d::landing_region_6fa1e5de30e2,0.5,1.0,1.0,0.6931471805599453,1.0,2.0,moderate_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes","minimum_mappable_segments,minimum_unique_probes",5,4,1,0.0,1.0,transition_near_country
PR,5005,dns-root_i-root_msm5005_20260701T000000Z_010000Z.json,6,6.0,1,landing_region_0c894d5ef6d3::landing_region_822747b0ce7e,1.0,1.0,1.0,-0.0,0.0,1.0,severe_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes","minimum_mappable_segments,minimum_unique_probes",3,3,1,0.0,1.0,transition_near_country
PT,5005,dns-root_i-root_msm5005_20260701T000000Z_010000Z.json,4,4.0,2,landing_region_08ea81d123b5::landing_region_c88b92706e9c,0.5,1.0,1.0,0.6931471805599453,1.0,2.0,moderate_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",2,2,1,0.0,1.0,transition_near_country
PW,5005,dns-root_i-root_msm5005_20260701T000000Z_010000Z.json,2,2.0,1,landing_region_4dc2204794ee::landing_region_df61fea74887,1.0,1.0,1.0,-0.0,0.0,1.0,severe_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,1,0.0,1.0,transition_near_country
