probe_country,service_id,msm_id,file_name,total_mappable_segments,top1_network_transition_share,top2_network_transition_share,top3_network_transition_share,effective_network_transition_count,network_transition_concentration_tier,top1_corridor_share,top2_corridor_share,top3_corridor_share,effective_corridor_count,corridor_concentration_tier,cross_layer_distribution_class,country_fallback_share,auditable_cross_layer_case,sufficient_trace_observation,sufficient_corridor_observation,sufficient_network_transition_resolution,auditable_paper_case,observation_sufficiency_reason,failed_thresholds,unique_probes,unique_probe_asns,domestic_segment_share,international_segment_share,analysis_scope
NG,L-Root,5008,dns-root_l-root_msm5008_20260701T000000Z_010000Z.json,9,0.4444444444444444,0.7777777777777777,1.0,2.8888455168024434,weak_network_transition_concentration,0.5555555555555556,1.0,1.0,1.9876669750024174,moderate_corridor_observation_concentration,network_broad_physical_concentrated,0.0,False,False,False,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",3,2,0.0,1.0,probe_country_service
NL,L-Root,5008,dns-root_l-root_msm5008_20260701T000000Z_010000Z.json,36,0.3333333333333333,0.5,0.6666666666666666,5.846616656423171,broad_network_transition_distribution,0.16666666666666666,0.3333333333333333,0.5,6.708922535459291,broad_corridor_observation_distribution,network_and_physical_both_broad,0.0,False,False,False,True,False,insufficient_minimum_unique_probes,minimum_unique_probes,3,3,0.6111111111111112,0.3888888888888889,probe_country_service
NO,L-Root,5008,dns-root_l-root_msm5008_20260701T000000Z_010000Z.json,309,0.16828478964401294,0.2912621359223301,0.40453074433656955,20.63667358353497,broad_network_transition_distribution,0.7799352750809061,0.8511326860841424,0.889967637540453,2.6347238715404115,moderate_corridor_observation_concentration,network_broad_physical_concentrated,0.0,True,True,True,True,True,auditable,,63,27,1.0,0.0,probe_country_service
NZ,L-Root,5008,dns-root_l-root_msm5008_20260701T000000Z_010000Z.json,487,0.20739219712525667,0.37577002053388087,0.4455852156057495,19.550366573154978,broad_network_transition_distribution,0.5708418891170431,0.7597535934291582,0.8603696098562629,3.6560872091061807,weak_corridor_observation_concentration,network_and_physical_both_broad,0.0,True,True,True,True,True,auditable,,48,23,0.9794661190965093,0.02053388090349076,probe_country_service
PA,L-Root,5008,dns-root_l-root_msm5008_20260701T000000Z_010000Z.json,3,0.6666666666666666,1.0,1.0,1.8898815748423097,moderate_network_transition_concentration,0.6666666666666666,1.0,1.0,1.8898815748423097,moderate_corridor_observation_concentration,network_and_physical_both_concentrated,0.0,False,False,False,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,0.0,1.0,probe_country_service
PE,L-Root,5008,dns-root_l-root_msm5008_20260701T000000Z_010000Z.json,2,1.0,1.0,1.0,1.0,severe_network_transition_concentration,1.0,1.0,1.0,1.0,severe_corridor_observation_concentration,network_and_physical_both_concentrated,0.0,False,False,False,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,0.0,1.0,probe_country_service
PG,L-Root,5008,dns-root_l-root_msm5008_20260701T000000Z_010000Z.json,7,0.42857142857142855,0.7142857142857142,1.0,2.941713421083178,weak_network_transition_concentration,0.2857142857142857,0.5714285714285714,0.8571428571428571,3.8643132978583434,weak_corridor_observation_concentration,network_and_physical_both_concentrated,0.0,False,False,False,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,0.42857142857142855,0.5714285714285714,probe_country_service
PH,L-Root,5008,dns-root_l-root_msm5008_20260701T000000Z_010000Z.json,155,0.15483870967741936,0.25806451612903225,0.3419354838709677,21.5297331929649,broad_network_transition_distribution,0.3935483870967742,0.7387096774193549,0.8032258064516129,5.192237287808022,weak_corridor_observation_concentration,network_and_physical_both_broad,0.0,True,True,True,True,True,auditable,,32,17,0.5096774193548387,0.49032258064516127,probe_country_service
PK,L-Root,5008,dns-root_l-root_msm5008_20260701T000000Z_010000Z.json,12,0.5,0.8333333333333333,1.0,2.7494592739972052,moderate_network_transition_concentration,0.6666666666666666,1.0,1.0,1.8898815748423097,moderate_corridor_observation_concentration,network_and_physical_both_concentrated,0.0,False,False,False,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",2,2,0.6666666666666666,0.3333333333333333,probe_country_service
PL,L-Root,5008,dns-root_l-root_msm5008_20260701T000000Z_010000Z.json,4,0.5,1.0,1.0,2.0,moderate_network_transition_concentration,0.5,1.0,1.0,2.0,moderate_corridor_observation_concentration,network_and_physical_both_concentrated,0.0,False,False,False,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,1.0,0.0,probe_country_service
