probe_country,service_id,service_class,deployment_type,path_scope_stratum,total_valid_traces,mappable_traces,traces_with_feasible_submarine_corridor_candidates,submarine_candidate_exposure_rate,any_candidate_exposure_rate,inter_region_candidate_exposure_rate,domestic_inter_region_candidate_exposure_rate,international_inter_region_candidate_exposure_rate,intra_region_candidate_rate,submarine_exposed_traces,service_physical_exposure_rate,mappable_trace_rate,unique_probes,unique_probe_asns,unique_target_ips,unique_target_asns,service_entry_resolution_rate,sufficient_trace_observation,auditable_paper_case,observation_sufficiency_reason,failed_thresholds,analysis_scope
IR,K-Root,dns_root,anycast,all_publicly_visible,88,16,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.18181818181818182,44,22,1,1,0.1590909090909091,True,True,auditable,,probe_country_service
IT,K-Root,dns_root,anycast,all_publicly_visible,611,513,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.839607201309329,307,102,1,1,0.8101472995090017,True,True,auditable,,probe_country_service
IT,K-Root,dns_root,anycast,resolved_entry_only,495,495,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,249,84,1,1,1.0,True,True,auditable,,probe_country_service
JP,K-Root,dns_root,anycast,all_publicly_visible,446,422,93,0.2085201793721973,0.2085201793721973,0.033632286995515695,0.0,0.033632286995515695,0.2062780269058296,93,0.2085201793721973,0.9461883408071748,224,98,1,1,0.9417040358744395,True,True,auditable,,probe_country_service
JP,K-Root,dns_root,anycast,resolved_entry_only,420,420,93,0.22142857142857142,0.22142857142857142,0.03571428571428571,0.0,0.03571428571428571,0.21904761904761905,93,0.22142857142857142,1.0,211,96,1,1,1.0,True,True,auditable,,probe_country_service
KE,K-Root,dns_root,anycast,all_publicly_visible,30,28,4,0.13333333333333333,0.13333333333333333,0.06666666666666667,0.0,0.06666666666666667,0.1,4,0.13333333333333333,0.9333333333333333,15,10,1,1,0.9333333333333333,True,True,auditable,,probe_country_service
KG,K-Root,dns_root,anycast,all_publicly_visible,40,34,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.85,20,13,1,1,0.85,True,True,auditable,,probe_country_service
KG,K-Root,dns_root,anycast,resolved_entry_only,34,34,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,17,10,1,1,1.0,True,True,auditable,,probe_country_service
KR,K-Root,dns_root,anycast,all_publicly_visible,44,38,6,0.13636363636363635,0.13636363636363635,0.0,0.0,0.0,0.13636363636363635,6,0.13636363636363635,0.8636363636363636,22,12,1,1,0.8181818181818182,True,True,auditable,,probe_country_service
KR,K-Root,dns_root,anycast,resolved_entry_only,36,36,6,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,0.16666666666666666,6,0.16666666666666666,1.0,18,11,1,1,1.0,True,True,auditable,,probe_country_service
KZ,K-Root,dns_root,anycast,all_publicly_visible,108,108,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,54,20,1,1,1.0,True,True,auditable,,probe_country_service
KZ,K-Root,dns_root,anycast,resolved_entry_only,108,108,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,54,20,1,1,1.0,True,True,auditable,,probe_country_service
LT,K-Root,dns_root,anycast,all_publicly_visible,72,68,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.9444444444444444,36,21,1,1,0.9166666666666666,True,True,auditable,,probe_country_service
LT,K-Root,dns_root,anycast,resolved_entry_only,66,66,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,33,20,1,1,1.0,True,True,auditable,,probe_country_service
LU,K-Root,dns_root,anycast,all_publicly_visible,76,58,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.7631578947368421,38,20,1,1,0.7631578947368421,True,True,auditable,,probe_country_service
LU,K-Root,dns_root,anycast,resolved_entry_only,58,58,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,29,15,1,1,1.0,True,True,auditable,,probe_country_service
LV,K-Root,dns_root,anycast,all_publicly_visible,61,59,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.9672131147540983,31,19,1,1,0.9672131147540983,True,True,auditable,,probe_country_service
LV,K-Root,dns_root,anycast,resolved_entry_only,59,59,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,31,19,1,1,1.0,True,True,auditable,,probe_country_service
MD,K-Root,dns_root,anycast,all_publicly_visible,50,32,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.64,25,15,1,1,0.64,True,True,auditable,,probe_country_service
MD,K-Root,dns_root,anycast,resolved_entry_only,32,32,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,16,11,1,1,1.0,True,True,auditable,,probe_country_service
MX,K-Root,dns_root,anycast,all_publicly_visible,84,73,6,0.07142857142857142,0.07142857142857142,0.023809523809523808,0.0,0.023809523809523808,0.047619047619047616,6,0.07142857142857142,0.8690476190476191,42,21,1,1,0.8690476190476191,True,True,auditable,,probe_country_service
MX,K-Root,dns_root,anycast,resolved_entry_only,73,73,6,0.0821917808219178,0.0821917808219178,0.0273972602739726,0.0,0.0273972602739726,0.0547945205479452,6,0.0821917808219178,1.0,37,19,1,1,1.0,True,True,auditable,,probe_country_service
MY,K-Root,dns_root,anycast,all_publicly_visible,65,63,17,0.26153846153846155,0.26153846153846155,0.13846153846153847,0.0,0.13846153846153847,0.24615384615384617,17,0.26153846153846155,0.9692307692307692,33,18,1,1,0.9692307692307692,True,True,auditable,,probe_country_service
MY,K-Root,dns_root,anycast,resolved_entry_only,63,63,17,0.2698412698412698,0.2698412698412698,0.14285714285714285,0.0,0.14285714285714285,0.25396825396825395,17,0.2698412698412698,1.0,32,17,1,1,1.0,True,True,auditable,,probe_country_service
NA,K-Root,dns_root,anycast,all_publicly_visible,3497,3202,557,0.15927938232770947,0.15927938232770947,0.06805833571632829,0.03259937088933371,0.046325421790105806,0.13096940234486704,557,0.15927938232770947,0.9156419788390049,1750,4,1,1,0.8839004861309694,True,True,auditable,,probe_country_service
NA,K-Root,dns_root,anycast,resolved_entry_only,3091,3091,531,0.1717890650274992,0.1717890650274992,0.07214493691362019,0.03591070850857328,0.04852798447104497,0.1426722743448722,531,0.1717890650274992,1.0,1553,4,1,1,1.0,True,True,auditable,,probe_country_service
NL,K-Root,dns_root,anycast,all_publicly_visible,1149,1105,14,0.012184508268059183,0.012184508268059183,0.004351610095735422,0.004351610095735422,0.0,0.012184508268059183,14,0.012184508268059183,0.9617058311575283,577,159,1,1,0.9573542210617929,True,True,auditable,,probe_country_service
NL,K-Root,dns_root,anycast,resolved_entry_only,1100,1100,14,0.012727272727272728,0.012727272727272728,0.004545454545454545,0.004545454545454545,0.0,0.012727272727272728,14,0.012727272727272728,1.0,554,151,1,1,1.0,True,True,auditable,,probe_country_service
NO,K-Root,dns_root,anycast,all_publicly_visible,178,170,137,0.7696629213483146,0.7696629213483146,0.24719101123595505,0.20224719101123595,0.0449438202247191,0.702247191011236,137,0.7696629213483146,0.9550561797752809,89,33,1,1,0.9438202247191011,True,True,auditable,,probe_country_service
NO,K-Root,dns_root,anycast,resolved_entry_only,168,168,135,0.8035714285714286,0.8035714285714286,0.2619047619047619,0.21428571428571427,0.047619047619047616,0.7321428571428571,135,0.8035714285714286,1.0,84,31,1,1,1.0,True,True,auditable,,probe_country_service
NZ,K-Root,dns_root,anycast,all_publicly_visible,196,178,165,0.8418367346938775,0.8418367346938775,0.40816326530612246,0.32653061224489793,0.08163265306122448,0.8214285714285714,165,0.8418367346938775,0.9081632653061225,98,32,1,1,0.8979591836734694,True,True,auditable,,probe_country_service
NZ,K-Root,dns_root,anycast,resolved_entry_only,176,176,163,0.9261363636363636,0.9261363636363636,0.45454545454545453,0.36363636363636365,0.09090909090909091,0.9034090909090909,163,0.9261363636363636,1.0,88,29,1,1,1.0,True,True,auditable,,probe_country_service
PA,K-Root,dns_root,anycast,all_publicly_visible,36,30,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.8333333333333334,18,11,1,1,0.8333333333333334,True,True,auditable,,probe_country_service
PA,K-Root,dns_root,anycast,resolved_entry_only,30,30,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,15,9,1,1,1.0,True,True,auditable,,probe_country_service
PE,K-Root,dns_root,anycast,all_publicly_visible,41,35,20,0.4878048780487805,0.4878048780487805,0.4878048780487805,0.0975609756097561,0.43902439024390244,0.0,20,0.4878048780487805,0.8536585365853658,21,16,1,1,0.8048780487804879,True,True,auditable,,probe_country_service
PE,K-Root,dns_root,anycast,resolved_entry_only,33,33,18,0.5454545454545454,0.5454545454545454,0.5454545454545454,0.12121212121212122,0.48484848484848486,0.0,18,0.5454545454545454,1.0,17,12,1,1,1.0,True,True,auditable,,probe_country_service
PH,K-Root,dns_root,anycast,all_publicly_visible,118,114,60,0.5084745762711864,0.5084745762711864,0.4661016949152542,0.0847457627118644,0.4491525423728814,0.19491525423728814,60,0.5084745762711864,0.9661016949152542,59,33,1,1,0.9491525423728814,True,True,auditable,,probe_country_service
PH,K-Root,dns_root,anycast,resolved_entry_only,112,112,58,0.5178571428571429,0.5178571428571429,0.4732142857142857,0.08928571428571429,0.45535714285714285,0.20535714285714285,58,0.5178571428571429,1.0,56,32,1,1,1.0,True,True,auditable,,probe_country_service
PL,K-Root,dns_root,anycast,all_publicly_visible,408,364,4,0.00980392156862745,0.00980392156862745,0.00980392156862745,0.00980392156862745,0.0,0.004901960784313725,4,0.00980392156862745,0.8921568627450981,204,120,1,1,0.8921568627450981,True,True,auditable,,probe_country_service
PL,K-Root,dns_root,anycast,resolved_entry_only,364,364,4,0.01098901098901099,0.01098901098901099,0.01098901098901099,0.01098901098901099,0.0,0.005494505494505495,4,0.01098901098901099,1.0,182,109,1,1,1.0,True,True,auditable,,probe_country_service
PT,K-Root,dns_root,anycast,all_publicly_visible,190,178,100,0.5263157894736842,0.5263157894736842,0.0,0.0,0.0,0.5263157894736842,100,0.5263157894736842,0.9368421052631579,95,21,1,1,0.9315789473684211,True,True,auditable,,probe_country_service
PT,K-Root,dns_root,anycast,resolved_entry_only,177,177,99,0.559322033898305,0.559322033898305,0.0,0.0,0.0,0.559322033898305,99,0.559322033898305,1.0,89,20,1,1,1.0,True,True,auditable,,probe_country_service
RE,K-Root,dns_root,anycast,all_publicly_visible,71,71,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,36,4,1,1,1.0,True,True,auditable,,probe_country_service
RE,K-Root,dns_root,anycast,resolved_entry_only,71,71,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,36,4,1,1,1.0,True,True,auditable,,probe_country_service
