exact_landing_pair_id,landing_station_a_id,landing_station_a_name,landing_station_b_id,landing_station_b_name,corridor_id,corridor_label,candidate_scope,cable_count,cable_ids,cable_names,strict_parallel_candidate,strict_parallel_cable_pair_relationships
abidjan-cte-divoire::dakhla-morocco,abidjan-cte-divoire,"Abidjan, Côte d'Ivoire",dakhla-morocco,"Dakhla, Morocco",landing_region_b25d12b6e7f8::landing_region_bed1f90b1b26,"Dakhla, Morocco <-> Abidjan, Côte d'Ivoire",inter_region,1,"[""maroc-telecom-west-africa""]","[""Maroc Telecom West Africa""]",False,0
abidjan-cte-divoire::dar-es-salaam-tanzania,abidjan-cte-divoire,"Abidjan, Côte d'Ivoire",dar-es-salaam-tanzania,"Dar Es Salaam, Tanzania",landing_region_5524694c9ae5::landing_region_bed1f90b1b26,"Dar Es Salaam, Tanzania <-> Abidjan, Côte d'Ivoire",inter_region,1,"[""2africa""]","[""2Africa""]",False,0
abidjan-cte-divoire::djibouti-city-djibouti,abidjan-cte-divoire,"Abidjan, Côte d'Ivoire",djibouti-city-djibouti,"Djibouti City, Djibouti",landing_region_173727a59ebb::landing_region_bed1f90b1b26,"Djibouti City, Djibouti <-> Abidjan, Côte d'Ivoire",inter_region,1,"[""2africa""]","[""2Africa""]",False,0
abidjan-cte-divoire::doha-qatar,abidjan-cte-divoire,"Abidjan, Côte d'Ivoire",doha-qatar,"Doha, Qatar",landing_region_bed1f90b1b26::landing_region_f0ff9789c5ea,"Abidjan, Côte d'Ivoire <-> Al-Kheesa, Qatar",inter_region,1,"[""2africa""]","[""2Africa""]",False,0
abidjan-cte-divoire::douala-cameroon,abidjan-cte-divoire,"Abidjan, Côte d'Ivoire",douala-cameroon,"Douala, Cameroon",landing_region_99a747248ab4::landing_region_bed1f90b1b26,"Douala, Cameroon <-> Abidjan, Côte d'Ivoire",inter_region,1,"[""sat-3wasc""]","[""SAT-3/WASC""]",False,0
abidjan-cte-divoire::duba-saudi-arabia,abidjan-cte-divoire,"Abidjan, Côte d'Ivoire",duba-saudi-arabia,"Duba, Saudi Arabia",landing_region_bed1f90b1b26::landing_region_ec08d714ad46,"Abidjan, Côte d'Ivoire <-> Duba, Saudi Arabia",inter_region,1,"[""2africa""]","[""2Africa""]",False,0
abidjan-cte-divoire::duynefontein-south-africa,abidjan-cte-divoire,"Abidjan, Côte d'Ivoire",duynefontein-south-africa,"Duynefontein, South Africa",landing_region_44e270aeb18c::landing_region_bed1f90b1b26,"Melkbosstrand, South Africa <-> Abidjan, Côte d'Ivoire",inter_region,2,"[""2africa"", ""africa-coast-to-europe-ace""]","[""2Africa"", ""Africa Coast to Europe (ACE)""]",True,1
abidjan-cte-divoire::el-goro-canary-islands-spain,abidjan-cte-divoire,"Abidjan, Côte d'Ivoire",el-goro-canary-islands-spain,"El Goro, Canary Islands, Spain",landing_region_bed1f90b1b26::landing_region_ea3290db8988,"Abidjan, Côte d'Ivoire <-> Tarahales, Spain",inter_region,1,"[""west-africa-cable-system-wacs""]","[""West Africa Cable System (WACS)""]",False,0
abidjan-cte-divoire::freetown-sierra-leone,abidjan-cte-divoire,"Abidjan, Côte d'Ivoire",freetown-sierra-leone,"Freetown, Sierra Leone",landing_region_bed1f90b1b26::landing_region_dbe3261635ed,"Abidjan, Côte d'Ivoire <-> Freetown, Sierra Leone",inter_region,1,"[""africa-coast-to-europe-ace""]","[""Africa Coast to Europe (ACE)""]",False,0
abidjan-cte-divoire::genoa-italy,abidjan-cte-divoire,"Abidjan, Côte d'Ivoire",genoa-italy,"Genoa, Italy",landing_region_a98ab4a2cae2::landing_region_bed1f90b1b26,"Genoa, Italy <-> Abidjan, Côte d'Ivoire",inter_region,1,"[""2africa""]","[""2Africa""]",False,0
abidjan-cte-divoire::gqeberha-south-africa,abidjan-cte-divoire,"Abidjan, Côte d'Ivoire",gqeberha-south-africa,"Gqeberha, South Africa",landing_region_bed1f90b1b26::landing_region_ff082f6e3580,"Abidjan, Côte d'Ivoire <-> Gqeberha, South Africa",inter_region,1,"[""2africa""]","[""2Africa""]",False,0
abidjan-cte-divoire::gran-canaria-canary-islands-spain,abidjan-cte-divoire,"Abidjan, Côte d'Ivoire",gran-canaria-canary-islands-spain,"Gran Canaria, Canary Islands, Spain",landing_region_bed1f90b1b26::landing_region_ea3290db8988,"Abidjan, Côte d'Ivoire <-> Tarahales, Spain",inter_region,1,"[""2africa""]","[""2Africa""]",False,0
abidjan-cte-divoire::granadilla-de-abona-spain,abidjan-cte-divoire,"Abidjan, Côte d'Ivoire",granadilla-de-abona-spain,"Granadilla de Abona, Spain",landing_region_bed1f90b1b26::landing_region_e7d55bab279f,"Abidjan, Côte d'Ivoire <-> Güimar, Canary Islands, Spain",inter_region,1,"[""africa-coast-to-europe-ace""]","[""Africa Coast to Europe (ACE)""]",False,0
abidjan-cte-divoire::jeddah-saudi-arabia,abidjan-cte-divoire,"Abidjan, Côte d'Ivoire",jeddah-saudi-arabia,"Jeddah, Saudi Arabia",landing_region_a096883e3a96::landing_region_bed1f90b1b26,"Jeddah, Saudi Arabia <-> Abidjan, Côte d'Ivoire",inter_region,1,"[""2africa""]","[""2Africa""]",False,0
abidjan-cte-divoire::kalba-united-arab-emirates,abidjan-cte-divoire,"Abidjan, Côte d'Ivoire",kalba-united-arab-emirates,"Kalba, United Arab Emirates",landing_region_1392e3aea9b8::landing_region_bed1f90b1b26,"Fujairah, United Arab Emirates <-> Abidjan, Côte d'Ivoire",inter_region,1,"[""2africa""]","[""2Africa""]",False,0
abidjan-cte-divoire::karachi-pakistan,abidjan-cte-divoire,"Abidjan, Côte d'Ivoire",karachi-pakistan,"Karachi, Pakistan",landing_region_1b3a8d836a7d::landing_region_bed1f90b1b26,"Karachi, Pakistan <-> Abidjan, Côte d'Ivoire",inter_region,1,"[""2africa""]","[""2Africa""]",False,0
abidjan-cte-divoire::kuwait-city-kuwait,abidjan-cte-divoire,"Abidjan, Côte d'Ivoire",kuwait-city-kuwait,"Kuwait City, Kuwait",landing_region_bed1f90b1b26::landing_region_fab792fddadd,"Abidjan, Côte d'Ivoire <-> Kuwait City, Kuwait",inter_region,1,"[""2africa""]","[""2Africa""]",False,0
abidjan-cte-divoire::kwa-ibo-nigeria,abidjan-cte-divoire,"Abidjan, Côte d'Ivoire",kwa-ibo-nigeria,"Kwa Ibo, Nigeria",landing_region_5067eb8d0563::landing_region_bed1f90b1b26,"Kwa Ibo, Nigeria <-> Abidjan, Côte d'Ivoire",inter_region,1,"[""2africa""]","[""2Africa""]",False,0
abidjan-cte-divoire::lagos-nigeria,abidjan-cte-divoire,"Abidjan, Côte d'Ivoire",lagos-nigeria,"Lagos, Nigeria",landing_region_30beda532e6f::landing_region_bed1f90b1b26,"Lagos, Nigeria <-> Abidjan, Côte d'Ivoire",inter_region,5,"[""2africa"", ""africa-coast-to-europe-ace"", ""mainone"", ""sat-3wasc"", ""west-africa-cable-system-wacs""]","[""2Africa"", ""Africa Coast to Europe (ACE)"", ""MainOne"", ""SAT-3/WASC"", ""West Africa Cable System (WACS)""]",True,10
abidjan-cte-divoire::libreville-gabon,abidjan-cte-divoire,"Abidjan, Côte d'Ivoire",libreville-gabon,"Libreville, Gabon",landing_region_a47655b7f5ec::landing_region_bed1f90b1b26,"Libreville, Gabon <-> Abidjan, Côte d'Ivoire",inter_region,4,"[""2africa"", ""africa-coast-to-europe-ace"", ""maroc-telecom-west-africa"", ""sat-3wasc""]","[""2Africa"", ""Africa Coast to Europe (ACE)"", ""Maroc Telecom West Africa"", ""SAT-3/WASC""]",True,6
abidjan-cte-divoire::limbe-cameroon,abidjan-cte-divoire,"Abidjan, Côte d'Ivoire",limbe-cameroon,"Limbe, Cameroon",landing_region_3ac9da776834::landing_region_bed1f90b1b26,"Limbe, Cameroon <-> Abidjan, Côte d'Ivoire",inter_region,1,"[""west-africa-cable-system-wacs""]","[""West Africa Cable System (WACS)""]",False,0
abidjan-cte-divoire::lome-togo,abidjan-cte-divoire,"Abidjan, Côte d'Ivoire",lome-togo,"Lome, Togo",landing_region_bed1f90b1b26::landing_region_c40dbe766ade,"Abidjan, Côte d'Ivoire <-> Lome, Togo",inter_region,2,"[""maroc-telecom-west-africa"", ""west-africa-cable-system-wacs""]","[""Maroc Telecom West Africa"", ""West Africa Cable System (WACS)""]",True,1
abidjan-cte-divoire::luanda-angola,abidjan-cte-divoire,"Abidjan, Côte d'Ivoire",luanda-angola,"Luanda, Angola",landing_region_3ee19f69866b::landing_region_bed1f90b1b26,"Luanda, Angola <-> Abidjan, Côte d'Ivoire",inter_region,1,"[""2africa""]","[""2Africa""]",False,0
abidjan-cte-divoire::mahajanga-madagascar,abidjan-cte-divoire,"Abidjan, Côte d'Ivoire",mahajanga-madagascar,"Mahajanga, Madagascar",landing_region_ac9f23141ecd::landing_region_bed1f90b1b26,"Mahajanga, Madagascar <-> Abidjan, Côte d'Ivoire",inter_region,1,"[""2africa""]","[""2Africa""]",False,0
abidjan-cte-divoire::manama-bahrain,abidjan-cte-divoire,"Abidjan, Côte d'Ivoire",manama-bahrain,"Manama, Bahrain",landing_region_445416594174::landing_region_bed1f90b1b26,"Amwaj Island, Bahrain <-> Abidjan, Côte d'Ivoire",inter_region,1,"[""2africa""]","[""2Africa""]",False,0
