landing_region_id,landing_region_label,landing_station_count,region_diameter_km,configured_maximum_diameter_km,diameter_within_configured_maximum,configured_radius_km,diameter_within_configured_radius,region_assignment_methods,landing_station_ids
landing_region_ac9f23141ecd,"Mahajanga, Madagascar",1,0.0,30.0,True,30.0,True,"[""diameter_limited_complete_link_greedy""]","[""mahajanga-madagascar""]"
landing_region_aca2fc3e8719,"Philipsburg, Sint Maarten",5,28.602304382507366,30.0,True,30.0,True,"[""diameter_limited_complete_link_greedy""]","[""great-bay-beach-sint-maarten"", ""gustavia-saint-barthlemy"", ""philipsburg-sint-maarten"", ""saint-jean-bay-saint-barthlemy"", ""saint-maarten-sint-maarten""]"
landing_region_acbcb21e89d1,"Kalpeni, India",1,0.0,30.0,True,30.0,True,"[""diameter_limited_complete_link_greedy""]","[""kalpeni-india""]"
landing_region_accac381f3cd,"Hanstholm, Denmark",1,0.0,30.0,True,30.0,True,"[""diameter_limited_complete_link_greedy""]","[""hanstholm-denmark""]"
landing_region_accee5d606ce,"Vaasa, Finland",1,0.0,30.0,True,30.0,True,"[""diameter_limited_complete_link_greedy""]","[""vaasa-finland""]"
landing_region_ad2e1f237edf,"Buffalo, NY, United States",1,0.0,30.0,True,30.0,True,"[""diameter_limited_complete_link_greedy""]","[""buffalo-ny-united-states""]"
landing_region_ad68a442145b,"Deeside Clwyd, United Kingdom",1,0.0,30.0,True,30.0,True,"[""diameter_limited_complete_link_greedy""]","[""deeside-clwyd-united-kingdom""]"
landing_region_ad714c108d0f,"Lorengau, Papua New Guinea",1,0.0,30.0,True,30.0,True,"[""diameter_limited_complete_link_greedy""]","[""lorengau-papua-new-guinea""]"
landing_region_ae009e7912f0,"Morar, United Kingdom",4,23.249755126188784,30.0,True,30.0,True,"[""diameter_limited_complete_link_greedy""]","[""ardvasar-united-kingdom"", ""laig-united-kingdom"", ""mallaig-united-kingdom"", ""morar-united-kingdom""]"
landing_region_ae1406649abf,"Wurrumiyanga, NT, Australia",1,0.0,30.0,True,30.0,True,"[""diameter_limited_complete_link_greedy""]","[""wurrumiyanga-nt-australia""]"
landing_region_ae1b031adf3a,"Ancol, Indonesia",3,8.163121879655632,30.0,True,30.0,True,"[""diameter_limited_complete_link_greedy""]","[""ancol-indonesia"", ""jakarta-indonesia"", ""pantai-mutiara-indonesia""]"
landing_region_ae2cb6b6c71d,"Haifa, Israel",2,6.089208739051965,30.0,True,30.0,True,"[""diameter_limited_complete_link_greedy""]","[""haifa-israel"", ""tirat-carmel-israel""]"
landing_region_ae41151cd4af,"Seaford, BC, Canada",6,18.740013912752858,30.0,True,30.0,True,"[""diameter_limited_complete_link_greedy""]","[""bliss-landing-bc-canada"", ""lund-bc-canada"", ""mansons-landing-bc-canada"", ""refuge-cove-bc-canada"", ""seaford-bc-canada"", ""squirrel-cove-bc-canada""]"
landing_region_aeb849c05f9e,"Bude, United Kingdom",1,0.0,30.0,True,30.0,True,"[""diameter_limited_complete_link_greedy""]","[""bude-united-kingdom""]"
landing_region_aec65461b9ed,"Mogadishu, Somalia",1,0.0,30.0,True,30.0,True,"[""diameter_limited_complete_link_greedy""]","[""mogadishu-somalia""]"
landing_region_af0b8c4ef4b3,"Saida, Lebanon",1,0.0,30.0,True,30.0,True,"[""diameter_limited_complete_link_greedy""]","[""saida-lebanon""]"
landing_region_af23cef429b3,"Licata, Italy",1,0.0,30.0,True,30.0,True,"[""diameter_limited_complete_link_greedy""]","[""licata-italy""]"
landing_region_af2b1cb46785,"Tuas, Singapore",1,0.0,30.0,True,30.0,True,"[""diameter_limited_complete_link_greedy""]","[""tuas-singapore""]"
landing_region_af2b366a0e97,"Lena Point, AK, United States",1,0.0,30.0,True,30.0,True,"[""diameter_limited_complete_link_greedy""]","[""lena-point-ak-united-states""]"
landing_region_af61c11accfa,"Waisai, Indonesia",1,0.0,30.0,True,30.0,True,"[""diameter_limited_complete_link_greedy""]","[""waisai-indonesia""]"
landing_region_af7df63397a0,"Jacksonville, FL, United States",1,0.0,30.0,True,30.0,True,"[""diameter_limited_complete_link_greedy""]","[""jacksonville-fl-united-states""]"
landing_region_afd840b360b3,"Katthammarsvik, Sweden",1,0.0,30.0,True,30.0,True,"[""diameter_limited_complete_link_greedy""]","[""katthammarsvik-sweden""]"
landing_region_b07caa2a5885,"Aqaba, Jordan",1,0.0,30.0,True,30.0,True,"[""diameter_limited_complete_link_greedy""]","[""aqaba-jordan""]"
landing_region_b0dd7baf6c0d,"Ivory Island, BC, Canada",2,21.640726695636737,30.0,True,30.0,True,"[""diameter_limited_complete_link_greedy""]","[""ivory-island-bc-canada"", ""mcinnes-island-bc-canada""]"
landing_region_b0ec13b02b16,"Al Ghaydah, Yemen",1,0.0,30.0,True,30.0,True,"[""diameter_limited_complete_link_greedy""]","[""al-ghaydah-yemen""]"
landing_region_b0fe5c69b187,"Rengit, Malaysia",1,0.0,30.0,True,30.0,True,"[""diameter_limited_complete_link_greedy""]","[""rengit-malaysia""]"
landing_region_b11aacabae82,"Iranduba, Brazil",2,25.33879411303337,30.0,True,30.0,True,"[""diameter_limited_complete_link_greedy""]","[""iranduba-brazil"", ""manaus-brazil""]"
landing_region_b131051d8ac2,"Maruyama, Japan",5,13.594909843166523,30.0,True,30.0,True,"[""diameter_limited_complete_link_greedy""]","[""chikura-japan"", ""emi-japan"", ""maruyama-japan"", ""minamiboso-japan"", ""wada-japan""]"
landing_region_b145f2c00adb,"Puvirnituq, QC, Canada",1,0.0,30.0,True,30.0,True,"[""diameter_limited_complete_link_greedy""]","[""puvirnituq-qc-canada""]"
landing_region_b1640eb246c9,"Antofagasta, Chile",1,0.0,30.0,True,30.0,True,"[""diameter_limited_complete_link_greedy""]","[""antofagasta-chile""]"
landing_region_b16a1c27395d,"Car Nicobar, India",1,0.0,30.0,True,30.0,True,"[""diameter_limited_complete_link_greedy""]","[""car-nicobar-india""]"
landing_region_b1f424fd08e2,"Baie-Comeau, QC, Canada",1,0.0,30.0,True,30.0,True,"[""diameter_limited_complete_link_greedy""]","[""baie-comeau-qc-canada""]"
landing_region_b1f51ee40391,"Tanjung Pandan, Indonesia",1,0.0,30.0,True,30.0,True,"[""diameter_limited_complete_link_greedy""]","[""tanjung-pandan-indonesia""]"
landing_region_b204db5c9fda,"Adelaide, SA, Australia",1,0.0,30.0,True,30.0,True,"[""diameter_limited_complete_link_greedy""]","[""adelaide-sa-australia""]"
landing_region_b20cafc74ab9,"Tefé, Brazil",2,18.46420031125724,30.0,True,30.0,True,"[""diameter_limited_complete_link_greedy""]","[""alvares-brazil"", ""tef-brazil""]"
landing_region_b22d10ee79c7,"Ballywater, United Kingdom",2,27.194993045197137,30.0,True,30.0,True,"[""diameter_limited_complete_link_greedy""]","[""ballyhornan-united-kingdom"", ""ballywater-united-kingdom""]"
landing_region_b25d12b6e7f8,"Dakhla, Morocco",1,0.0,30.0,True,30.0,True,"[""diameter_limited_complete_link_greedy""]","[""dakhla-morocco""]"
landing_region_b2618e64badf,"Port Neville, BC, Canada",2,15.022353127729147,30.0,True,30.0,True,"[""diameter_limited_complete_link_greedy""]","[""port-neville-bc-canada"", ""sayward-bc-canada""]"
