country,msm_id,file_name,total_mappable_segments,total_observation_mass,unique_corridors_observed,top1_corridor_id,top1_corridor_share,top2_corridor_share,top3_corridor_share,corridor_entropy,corridor_normalized_entropy,effective_corridor_count,corridor_concentration_tier,is_corridor_concentrated,auditable_corridor_concentration,sufficient_corridor_observation,auditable_paper_case,observation_sufficiency_reason,failed_thresholds,unique_probes,unique_probe_asns,unique_measurements_or_targets,domestic_segment_share,international_segment_share,analysis_scope
FI,5010,dns-root_b-root_msm5010_20260701T000000Z_010000Z.json,282,282.00000000000006,11,landing_region_65aa8d7cf62e::landing_region_71db3ba08a92,0.3546099290780142,0.6773049645390071,0.8543144208037825,1.5594659131332833,0.6503477990985691,4.756280299812937,weak_corridor_observation_concentration,True,True,True,True,auditable,,198,75,1,0.2659574468085106,0.7340425531914891,transition_near_country
FJ,5010,dns-root_b-root_msm5010_20260701T000000Z_010000Z.json,2,2.0,1,landing_region_1cece50a3587::landing_region_58084817cbe7,1.0,1.0,1.0,-0.0,0.0,1.0,severe_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",2,2,1,0.0,1.0,transition_near_country
FR,5010,dns-root_b-root_msm5010_20260701T000000Z_010000Z.json,17,17.0,1,landing_region_64561d142765::landing_region_ef749c24fbd2,1.0,1.0,1.0,-0.0,0.0,1.0,severe_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probe_asns",15,1,1,0.058823529411764705,0.9411764705882353,transition_near_country
GB,5010,dns-root_b-root_msm5010_20260701T000000Z_010000Z.json,2,2.0,4,landing_region_08337e5ad0be::landing_region_a371d3258cbb,0.25,0.5,0.75,1.3862943611198906,1.0,4.0,weak_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",2,2,1,0.0,1.0,transition_near_country
GH,5010,dns-root_b-root_msm5010_20260701T000000Z_010000Z.json,4,4.0,2,landing_region_2e263771884f::landing_region_30beda532e6f,0.5,1.0,1.0,0.6931471805599453,1.0,2.0,moderate_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",3,2,1,0.0,1.0,transition_near_country
GP,5010,dns-root_b-root_msm5010_20260701T000000Z_010000Z.json,1,1.0,2,landing_region_24728f09c1b8::landing_region_89faef27b517,0.5,1.0,1.0,0.6931471805599453,1.0,2.0,moderate_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,1,1.0,0.0,transition_near_country
GQ,5010,dns-root_b-root_msm5010_20260701T000000Z_010000Z.json,1,1.0,1,landing_region_30beda532e6f::landing_region_3ac9da776834,1.0,1.0,1.0,-0.0,0.0,1.0,severe_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,1,0.0,1.0,transition_near_country
GT,5010,dns-root_b-root_msm5010_20260701T000000Z_010000Z.json,3,3.0,1,landing_region_0c894d5ef6d3::landing_region_ac0b942bb0ee,1.0,1.0,1.0,-0.0,0.0,1.0,severe_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes","minimum_mappable_segments,minimum_unique_probes",3,3,1,0.0,1.0,transition_near_country
GU,5010,dns-root_b-root_msm5010_20260701T000000Z_010000Z.json,20,20.0,5,landing_region_a13562362d3c::landing_region_bc6c664daa8f,0.5,0.7,0.9,1.2899219826090118,0.8014735906513751,3.63250314627929,weak_corridor_observation_concentration,True,False,False,False,insufficient_minimum_mappable_segments,minimum_mappable_segments,10,5,1,0.5,0.5,transition_near_country
HK,5010,dns-root_b-root_msm5010_20260701T000000Z_010000Z.json,160,160.0,4,landing_region_319252418c1f::landing_region_d0ecf913edd7,0.69375,0.98125,0.9937499999999999,0.698538496825781,0.5038890126202925,2.010811751128419,moderate_corridor_observation_concentration,True,True,True,True,auditable,,126,65,1,0.2875,0.7125,transition_near_country
