country,total_mappable_segments,unique_network_transitions_observed,top1_network_transition_key,top1_network_transition_share,top2_network_transition_share,top3_network_transition_share,network_transition_entropy,network_transition_normalized_entropy,effective_network_transition_count,network_transition_concentration_tier,country_fallback_share,sufficient_network_transition_resolution,auditable_paper_case,observation_sufficiency_reason,failed_thresholds,unique_probes,unique_probe_asns,domestic_segment_share,international_segment_share,analysis_scope
SL,2,1,329109->60171,1.0,1.0,1.0,-0.0,0.0,1.0,severe_network_transition_concentration,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,0.0,1.0,transition_near_country
SN,3,1,8346->6453,1.0,1.0,1.0,-0.0,0.0,1.0,severe_network_transition_concentration,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,0.0,1.0,transition_near_country
TH,91,16,38082->38082,0.23076923076923078,0.38461538461538464,0.47252747252747257,2.4786432571456647,0.8939815838042295,11.925074178157981,broad_network_transition_distribution,0.02197802197802198,True,True,auditable,,31,17,0.3626373626373626,0.6373626373626373,transition_near_country
TO,3,1,24390->24390,1.0,1.0,1.0,-0.0,0.0,1.0,severe_network_transition_concentration,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,0.0,1.0,transition_near_country
TW,142,14,3462->3462,0.2676056338028169,0.5211267605633803,0.6197183098591549,2.1575703585092545,0.8175534249662554,8.650095475468193,broad_network_transition_distribution,0.31690140845070425,False,False,insufficient_maximum_country_fallback_share,maximum_country_fallback_share,47,14,0.6056338028169014,0.39436619718309857,transition_near_country
US,622,52,7922->7922,0.17363344051446947,0.3311897106109325,0.42604501607717044,3.0661953899145726,0.7760076594352413,21.460099847432236,broad_network_transition_distribution,0.17363344051446947,True,True,auditable,,156,58,0.9710610932475884,0.028938906752411574,transition_near_country
VE,3,1,21826->21826,1.0,1.0,1.0,-0.0,0.0,1.0,severe_network_transition_concentration,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,1.0,0.0,transition_near_country
VI,11,1,14434->14434,1.0,1.0,1.0,-0.0,0.0,1.0,severe_network_transition_concentration,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",2,1,0.5454545454545454,0.45454545454545453,transition_near_country
VN,31,5,18403->18403,0.6451612903225806,0.7741935483870968,0.8709677419354839,1.1266243495237434,0.7000110664846003,3.0852242634843203,weak_network_transition_concentration,0.0,True,True,auditable,,13,8,0.0,1.0,transition_near_country
ZA,23,8,213481->328748,0.30434782608695654,0.4782608695652174,0.6086956521739131,1.91777409426173,0.9222543917789072,6.805792543915443,broad_network_transition_distribution,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes","minimum_mappable_segments,minimum_unique_probes",8,6,0.9130434782608695,0.08695652173913043,transition_near_country
