country,msm_id,file_name,network_transition_key,network_transition_representation,hop_pair_as_class,network_transition_observation_count,unique_atomic_segments,share_of_network_transition_observations,rank_within_unit,is_top1_network_transition,is_top2_network_transition,is_top3_network_transition,used_country_fallback_transition,group_total_mappable_segments,group_unique_probes,group_unique_probe_asns,domestic_segment_count,international_segment_count
DO,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,23520->23520,as_transition,intra_as_hop_pair,2,2,0.25,2,False,True,False,False,8,5,5,0,2
EE,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,3327->3327,as_transition,intra_as_hop_pair,10,10,0.5882352941176471,1,True,False,False,False,17,9,5,0,10
EE,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,1257->1257,as_transition,intra_as_hop_pair,7,7,0.4117647058823529,2,False,True,False,False,17,9,5,0,7
ES,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,3352->3352,as_transition,intra_as_hop_pair,8,8,0.34782608695652173,1,True,False,False,False,23,15,5,8,0
ES,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,1299->1299,as_transition,intra_as_hop_pair,7,7,0.30434782608695654,2,False,True,False,False,23,15,5,0,7
ES,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,6939->6939,as_transition,intra_as_hop_pair,5,5,0.21739130434782608,3,False,False,True,False,23,15,5,0,5
ES,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,COUNTRY_FALLBACK:ES->FR,country_fallback,country_fallback,2,2,0.08695652173913043,4,False,False,False,True,23,15,5,0,2
ES,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,6453->6453,as_transition,intra_as_hop_pair,1,1,0.043478260869565216,5,False,False,False,False,23,15,5,0,1
FI,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,6667->6667,as_transition,intra_as_hop_pair,58,58,0.5043478260869565,1,True,False,False,False,115,54,17,0,58
FI,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,16086->12552,as_transition,cross_as_transition,17,17,0.14782608695652175,2,False,True,False,False,115,54,17,0,17
FI,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,COUNTRY_FALLBACK:FI->EE,country_fallback,country_fallback,9,9,0.0782608695652174,3,False,False,True,True,115,54,17,0,9
FI,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,719->6667,as_transition,cross_as_transition,8,8,0.06956521739130435,4,False,False,False,False,115,54,17,8,0
FI,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,39699->39699,as_transition,intra_as_hop_pair,8,8,0.06956521739130435,5,False,False,False,False,115,54,17,8,0
FI,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,719->719,as_transition,intra_as_hop_pair,6,6,0.05217391304347826,6,False,False,False,False,115,54,17,6,0
FI,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,12552->12552,as_transition,intra_as_hop_pair,4,4,0.034782608695652174,7,False,False,False,False,115,54,17,0,4
FI,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,49282->42708,as_transition,cross_as_transition,3,3,0.02608695652173913,8,False,False,False,False,115,54,17,0,3
FI,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,1759->1759,as_transition,intra_as_hop_pair,2,2,0.017391304347826087,9,False,False,False,False,115,54,17,2,0
FJ,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,38442->38442,as_transition,intra_as_hop_pair,2,2,0.3333333333333333,1,True,False,False,False,6,3,2,0,2
FJ,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,COUNTRY_FALLBACK:FJ->AU,country_fallback,country_fallback,2,2,0.3333333333333333,2,False,True,False,True,6,3,2,0,2
FJ,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,24390->7575,as_transition,cross_as_transition,2,2,0.3333333333333333,3,False,False,True,False,6,3,2,0,2
FR,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,7578->44324,as_transition,cross_as_transition,184,184,1.0,1,True,False,False,False,184,103,46,0,184
GB,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,47583->25152,as_transition,cross_as_transition,4,4,1.0,1,True,False,False,False,4,2,0,0,4
GH,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,37468->37468,as_transition,intra_as_hop_pair,2,2,0.5,1,True,False,False,False,4,2,2,0,2
GH,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,COUNTRY_FALLBACK:GH->NG,country_fallback,country_fallback,2,2,0.5,2,False,True,False,True,4,2,2,0,2
GP,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,21351->21351,as_transition,intra_as_hop_pair,2,2,1.0,1,True,False,False,False,2,1,1,0,2
GQ,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,37529->37529,as_transition,intra_as_hop_pair,1,1,1.0,1,True,False,False,False,1,1,1,1,0
HK,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,58453->58453,as_transition,intra_as_hop_pair,29,29,0.4461538461538462,1,True,False,False,False,65,40,20,0,29
HK,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,COUNTRY_FALLBACK:HK->DJ,country_fallback,country_fallback,11,11,0.16923076923076924,2,False,True,False,True,65,40,20,0,11
HK,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,213605->53808,as_transition,cross_as_transition,10,10,0.15384615384615385,3,False,False,True,False,65,40,20,0,10
HK,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,7578->7578,as_transition,intra_as_hop_pair,10,10,0.15384615384615385,4,False,False,False,False,65,40,20,0,10
HK,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,8888->8888,as_transition,intra_as_hop_pair,2,2,0.03076923076923077,5,False,False,False,False,65,40,20,0,2
