analysis_scope,country,network_atomic_segments,corridor_atomic_segments,shared_atomic_segments,network_only_atomic_segments,corridor_only_atomic_segments,segment_population_aligned,probe_country,service_id,path_scope_stratum
probe_country_service,,17,17,17,0,0,True,ES,K-Root,all_publicly_visible
probe_country_service,,17,17,17,0,0,True,ES,K-Root,resolved_entry_only
probe_country_service,,129,129,129,0,0,True,FI,K-Root,all_publicly_visible
probe_country_service,,129,129,129,0,0,True,FI,K-Root,resolved_entry_only
probe_country_service,,18,18,18,0,0,True,FR,K-Root,all_publicly_visible
probe_country_service,,18,18,18,0,0,True,FR,K-Root,resolved_entry_only
probe_country_service,,16,16,16,0,0,True,GB,K-Root,all_publicly_visible
probe_country_service,,16,16,16,0,0,True,GB,K-Root,resolved_entry_only
probe_country_service,,2,2,2,0,0,True,GH,K-Root,all_publicly_visible
probe_country_service,,2,2,2,0,0,True,GH,K-Root,resolved_entry_only
probe_country_service,,2,2,2,0,0,True,GP,K-Root,all_publicly_visible
probe_country_service,,2,2,2,0,0,True,GP,K-Root,resolved_entry_only
probe_country_service,,2,2,2,0,0,True,GQ,K-Root,all_publicly_visible
probe_country_service,,2,2,2,0,0,True,GT,K-Root,all_publicly_visible
probe_country_service,,2,2,2,0,0,True,GT,K-Root,resolved_entry_only
probe_country_service,,3,3,3,0,0,True,GU,K-Root,all_publicly_visible
probe_country_service,,11,11,11,0,0,True,HK,K-Root,all_publicly_visible
probe_country_service,,9,9,9,0,0,True,HK,K-Root,resolved_entry_only
probe_country_service,,2,2,2,0,0,True,HN,K-Root,all_publicly_visible
probe_country_service,,2,2,2,0,0,True,HN,K-Root,resolved_entry_only
probe_country_service,,24,24,24,0,0,True,ID,K-Root,all_publicly_visible
probe_country_service,,24,24,24,0,0,True,ID,K-Root,resolved_entry_only
probe_country_service,,17,17,17,0,0,True,IL,K-Root,all_publicly_visible
probe_country_service,,17,17,17,0,0,True,IL,K-Root,resolved_entry_only
probe_country_service,,9,9,9,0,0,True,IN,K-Root,all_publicly_visible
probe_country_service,,9,9,9,0,0,True,IN,K-Root,resolved_entry_only
probe_country_service,,15,15,15,0,0,True,JP,K-Root,all_publicly_visible
probe_country_service,,15,15,15,0,0,True,JP,K-Root,resolved_entry_only
probe_country_service,,3,3,3,0,0,True,KE,K-Root,all_publicly_visible
probe_country_service,,3,3,3,0,0,True,KE,K-Root,resolved_entry_only
probe_country_service,,4,4,4,0,0,True,KH,K-Root,all_publicly_visible
probe_country_service,,4,4,4,0,0,True,KH,K-Root,resolved_entry_only
probe_country_service,,3,3,3,0,0,True,KI,K-Root,all_publicly_visible
probe_country_service,,3,3,3,0,0,True,KI,K-Root,resolved_entry_only
probe_country_service,,2,2,2,0,0,True,KY,K-Root,all_publicly_visible
probe_country_service,,2,2,2,0,0,True,KY,K-Root,resolved_entry_only
probe_country_service,,6,6,6,0,0,True,LK,K-Root,all_publicly_visible
probe_country_service,,6,6,6,0,0,True,LK,K-Root,resolved_entry_only
probe_country_service,,3,3,3,0,0,True,ML,K-Root,all_publicly_visible
probe_country_service,,3,3,3,0,0,True,ML,K-Root,resolved_entry_only
probe_country_service,,9,9,9,0,0,True,MM,K-Root,all_publicly_visible
probe_country_service,,9,9,9,0,0,True,MM,K-Root,resolved_entry_only
probe_country_service,,2,2,2,0,0,True,MP,K-Root,all_publicly_visible
probe_country_service,,2,2,2,0,0,True,MP,K-Root,resolved_entry_only
probe_country_service,,2,2,2,0,0,True,MT,K-Root,all_publicly_visible
probe_country_service,,2,2,2,0,0,True,MT,K-Root,resolved_entry_only
probe_country_service,,18,18,18,0,0,True,MV,K-Root,all_publicly_visible
probe_country_service,,16,16,16,0,0,True,MV,K-Root,resolved_entry_only
probe_country_service,,2,2,2,0,0,True,MX,K-Root,all_publicly_visible
probe_country_service,,2,2,2,0,0,True,MX,K-Root,resolved_entry_only
probe_country_service,,9,9,9,0,0,True,MY,K-Root,all_publicly_visible
probe_country_service,,9,9,9,0,0,True,MY,K-Root,resolved_entry_only
probe_country_service,,343,343,343,0,0,True,NA,K-Root,all_publicly_visible
probe_country_service,,326,326,326,0,0,True,NA,K-Root,resolved_entry_only
probe_country_service,,20,20,20,0,0,True,NC,K-Root,all_publicly_visible
probe_country_service,,20,20,20,0,0,True,NC,K-Root,resolved_entry_only
probe_country_service,,6,6,6,0,0,True,NG,K-Root,all_publicly_visible
probe_country_service,,6,6,6,0,0,True,NG,K-Root,resolved_entry_only
