country,msm_id,file_name,total_mappable_segments,total_observation_mass,unique_corridors_observed,top1_corridor_id,top1_corridor_share,top2_corridor_share,top3_corridor_share,corridor_entropy,corridor_normalized_entropy,effective_corridor_count,corridor_concentration_tier,is_corridor_concentrated,auditable_corridor_concentration,sufficient_corridor_observation,auditable_paper_case,observation_sufficiency_reason,failed_thresholds,unique_probes,unique_probe_asns,unique_measurements_or_targets,domestic_segment_share,international_segment_share,analysis_scope
GP,5014,dns-root_g-root_msm5014_20260701T000000Z_010000Z.json,4,4.0,8,landing_region_15bd93313ef3::landing_region_7587c579129b,0.125,0.25,0.375,2.0794415416798357,1.0,7.999999999999998,broad_corridor_observation_distribution,False,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,1,0.5,0.5,transition_near_country
GR,5014,dns-root_g-root_msm5014_20260701T000000Z_010000Z.json,2,2.0,1,landing_region_08ea81d123b5::landing_region_e3bb6769193d,1.0,1.0,1.0,-0.0,0.0,1.0,severe_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,1,0.0,1.0,transition_near_country
GU,5014,dns-root_g-root_msm5014_20260701T000000Z_010000Z.json,18,18.0,3,landing_region_bc6c664daa8f::landing_region_df61fea74887,0.9444444444444444,0.9722222222222222,1.0,0.2530673318741798,0.2303518124496706,1.2879699953488117,severe_corridor_observation_concentration,True,False,False,False,insufficient_minimum_mappable_segments,minimum_mappable_segments,10,5,1,0.0,1.0,transition_near_country
HK,5014,dns-root_g-root_msm5014_20260701T000000Z_010000Z.json,69,69.0,5,landing_region_6d0b3b188139::landing_region_85e39fb7d29e,0.7391304347826086,0.8043478260869564,0.8695652173913043,0.9356064986419905,0.5813250026072687,2.5487588078209793,moderate_corridor_observation_concentration,True,True,True,True,auditable,,38,32,1,0.7391304347826086,0.2608695652173913,transition_near_country
HN,5014,dns-root_g-root_msm5014_20260701T000000Z_010000Z.json,12,12.0,1,landing_region_620bdff3a2d2::landing_region_bd03623e84bf,1.0,1.0,1.0,-0.0,0.0,1.0,severe_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes","minimum_mappable_segments,minimum_unique_probes",7,6,1,0.0,1.0,transition_near_country
ID,5014,dns-root_g-root_msm5014_20260701T000000Z_010000Z.json,427,427.0,23,landing_region_5a1e27deaea1::landing_region_ae1b031adf3a,0.5550351288056206,0.5892271662763465,0.6234192037470726,1.973492742777271,0.6294040450629441,7.195765606271443,broad_corridor_observation_distribution,False,False,True,True,auditable,,85,60,1,0.7353629976580797,0.26463700234192034,transition_near_country
IL,5014,dns-root_g-root_msm5014_20260701T000000Z_010000Z.json,60,59.99999999999999,8,landing_region_192d23342e5f::landing_region_cc314324bd60,0.6027777777777777,0.7427777777777778,0.8494444444444444,1.2758267973163442,0.6135429978405128,3.5816614943496803,weak_corridor_observation_concentration,True,True,True,True,auditable,,20,9,1,1.0,0.0,transition_near_country
IN,5014,dns-root_g-root_msm5014_20260701T000000Z_010000Z.json,159,159.0,4,landing_region_32509493c7f4::landing_region_9430e1a9028b,0.3333333333333333,0.6666666666666666,0.8616352201257862,1.3248320000224492,0.9556642782216973,3.761553361033701,weak_corridor_observation_concentration,True,True,True,True,auditable,,85,43,1,0.13836477987421383,0.8616352201257862,transition_near_country
IT,5014,dns-root_g-root_msm5014_20260701T000000Z_010000Z.json,2,2.0,1,landing_region_1d5c9bdda1cc::landing_region_ea98b74befe5,1.0,1.0,1.0,-0.0,0.0,1.0,severe_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,1,1.0,0.0,transition_near_country
JM,5014,dns-root_g-root_msm5014_20260701T000000Z_010000Z.json,7,7.0,1,landing_region_68c87c6fa47f::landing_region_bb71ecf60691,1.0,1.0,1.0,-0.0,0.0,1.0,severe_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",4,2,1,1.0,0.0,transition_near_country
JP,5014,dns-root_g-root_msm5014_20260701T000000Z_010000Z.json,10,10.0,3,landing_region_6ee5239e409c::landing_region_87b575b90c68,0.3333333333333333,0.6666666666666666,1.0,1.0986122886681096,0.9999999999999998,2.9999999999999996,weak_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,1,1.0,0.0,transition_near_country
