country,msm_id,file_name,network_transition_key,network_transition_representation,hop_pair_as_class,network_transition_observation_count,unique_atomic_segments,share_of_network_transition_observations,rank_within_unit,is_top1_network_transition,is_top2_network_transition,is_top3_network_transition,used_country_fallback_transition,group_total_mappable_segments,group_unique_probes,group_unique_probe_asns,domestic_segment_count,international_segment_count
MV,5008,dns-root_l-root_msm5008_20260701T000000Z_010000Z.json,24016->45489,as_transition,cross_as_transition,2,2,0.10526315789473684,2,False,True,False,False,19,10,3,0,2
MX,5008,dns-root_l-root_msm5008_20260701T000000Z_010000Z.json,265539->23520,as_transition,cross_as_transition,4,4,1.0,1,True,False,False,False,4,2,2,0,4
MY,5008,dns-root_l-root_msm5008_20260701T000000Z_010000Z.json,45352->45352,as_transition,intra_as_hop_pair,2,2,0.3333333333333333,1,True,False,False,False,6,3,3,1,1
MY,5008,dns-root_l-root_msm5008_20260701T000000Z_010000Z.json,9930->3356,as_transition,cross_as_transition,2,2,0.3333333333333333,2,False,True,False,False,6,3,3,0,2
MY,5008,dns-root_l-root_msm5008_20260701T000000Z_010000Z.json,COUNTRY_FALLBACK:MY->SG,country_fallback,country_fallback,2,2,0.3333333333333333,3,False,False,True,True,6,3,3,0,2
MZ,5008,dns-root_l-root_msm5008_20260701T000000Z_010000Z.json,36944->36944,as_transition,intra_as_hop_pair,3,3,1.0,1,True,False,False,False,3,3,1,0,3
NG,5008,dns-root_l-root_msm5008_20260701T000000Z_010000Z.json,37721->37721,as_transition,intra_as_hop_pair,16,16,0.5517241379310345,1,True,False,False,False,29,16,11,0,16
NG,5008,dns-root_l-root_msm5008_20260701T000000Z_010000Z.json,37282->37282,as_transition,intra_as_hop_pair,4,4,0.13793103448275862,2,False,True,False,False,29,16,11,0,4
NG,5008,dns-root_l-root_msm5008_20260701T000000Z_010000Z.json,COUNTRY_FALLBACK:NG->GH,country_fallback,country_fallback,4,4,0.13793103448275862,3,False,False,True,True,29,16,11,0,4
NG,5008,dns-root_l-root_msm5008_20260701T000000Z_010000Z.json,37271->37271,as_transition,intra_as_hop_pair,3,3,0.10344827586206896,4,False,False,False,False,29,16,11,0,3
NG,5008,dns-root_l-root_msm5008_20260701T000000Z_010000Z.json,30844->30844,as_transition,intra_as_hop_pair,2,2,0.06896551724137931,5,False,False,False,False,29,16,11,0,2
NO,5008,dns-root_l-root_msm5008_20260701T000000Z_010000Z.json,29695->29695,as_transition,intra_as_hop_pair,18,18,0.2903225806451613,1,True,False,False,False,62,24,9,18,0
NO,5008,dns-root_l-root_msm5008_20260701T000000Z_010000Z.json,2119->2119,as_transition,intra_as_hop_pair,10,10,0.16129032258064516,2,False,True,False,False,62,24,9,10,0
NO,5008,dns-root_l-root_msm5008_20260701T000000Z_010000Z.json,COUNTRY_FALLBACK:NO->NO,country_fallback,country_fallback,9,9,0.14516129032258066,3,False,False,True,True,62,24,9,9,0
NO,5008,dns-root_l-root_msm5008_20260701T000000Z_010000Z.json,56655->56655,as_transition,intra_as_hop_pair,8,8,0.12903225806451613,4,False,False,False,False,62,24,9,8,0
NO,5008,dns-root_l-root_msm5008_20260701T000000Z_010000Z.json,224->224,as_transition,intra_as_hop_pair,6,6,0.0967741935483871,5,False,False,False,False,62,24,9,6,0
NO,5008,dns-root_l-root_msm5008_20260701T000000Z_010000Z.json,49409->57829,as_transition,cross_as_transition,4,4,0.06451612903225806,6,False,False,False,False,62,24,9,4,0
NO,5008,dns-root_l-root_msm5008_20260701T000000Z_010000Z.json,25400->25400,as_transition,intra_as_hop_pair,3,3,0.04838709677419355,7,False,False,False,False,62,24,9,3,0
NO,5008,dns-root_l-root_msm5008_20260701T000000Z_010000Z.json,48144->50304,as_transition,cross_as_transition,2,2,0.03225806451612903,8,False,False,False,False,62,24,9,2,0
NO,5008,dns-root_l-root_msm5008_20260701T000000Z_010000Z.json,50304->1299,as_transition,cross_as_transition,2,2,0.03225806451612903,9,False,False,False,False,62,24,9,2,0
NU,5008,dns-root_l-root_msm5008_20260701T000000Z_010000Z.json,55885->38800,as_transition,cross_as_transition,2,2,1.0,1,True,False,False,False,2,1,0,0,2
NZ,5008,dns-root_l-root_msm5008_20260701T000000Z_010000Z.json,COUNTRY_FALLBACK:NZ->NZ,country_fallback,country_fallback,71,71,0.7395833333333334,1,True,False,False,True,96,49,15,71,0
NZ,5008,dns-root_l-root_msm5008_20260701T000000Z_010000Z.json,4771->7578,as_transition,cross_as_transition,10,10,0.10416666666666667,2,False,True,False,False,96,49,15,0,10
NZ,5008,dns-root_l-root_msm5008_20260701T000000Z_010000Z.json,9790->9790,as_transition,intra_as_hop_pair,10,10,0.10416666666666667,3,False,False,True,False,96,49,15,10,0
NZ,5008,dns-root_l-root_msm5008_20260701T000000Z_010000Z.json,55850->55850,as_transition,intra_as_hop_pair,3,3,0.03125,4,False,False,False,False,96,49,15,3,0
NZ,5008,dns-root_l-root_msm5008_20260701T000000Z_010000Z.json,24324->24324,as_transition,intra_as_hop_pair,2,2,0.020833333333333332,5,False,False,False,False,96,49,15,2,0
PA,5008,dns-root_l-root_msm5008_20260701T000000Z_010000Z.json,11556->23520,as_transition,cross_as_transition,2,2,0.6666666666666666,1,True,False,False,False,3,2,2,0,2
PA,5008,dns-root_l-root_msm5008_20260701T000000Z_010000Z.json,6762->6762,as_transition,intra_as_hop_pair,1,1,0.3333333333333333,2,False,True,False,False,3,2,2,0,1
PE,5008,dns-root_l-root_msm5008_20260701T000000Z_010000Z.json,12956->12956,as_transition,intra_as_hop_pair,13,13,0.8666666666666667,1,True,False,False,False,15,8,5,0,13
PE,5008,dns-root_l-root_msm5008_20260701T000000Z_010000Z.json,3356->3549,as_transition,cross_as_transition,2,2,0.13333333333333333,2,False,True,False,False,15,8,5,0,2
PG,5008,dns-root_l-root_msm5008_20260701T000000Z_010000Z.json,17828->6939,as_transition,cross_as_transition,2,2,1.0,1,True,False,False,False,2,1,1,0,2
PH,5008,dns-root_l-root_msm5008_20260701T000000Z_010000Z.json,9299->9299,as_transition,intra_as_hop_pair,28,28,0.3146067415730337,1,True,False,False,False,89,42,22,4,24
