probe_country,service_id,msm_id,file_name,corridor_id,corridor_label,observation_mass,raw_segment_count_with_corridor_feasible,unique_atomic_segments,unique_traceroutes,unique_probes,unique_probe_asns,share_of_unit_observation_mass,rank_within_unit,is_top1_corridor,is_top2_corridor,is_top3_corridor,domestic_segment_mass,international_segment_mass
NA,D-Root,5012,dns-root_d-root_msm5012_20260701T000000Z_010000Z.json,landing_region_0174::landing_region_0770,landing_region_0174 -> landing_region_0770,7.0,7,7,5,3,1,0.012389380530973451,29,False,False,False,0.0,7.0
NA,D-Root,5012,dns-root_d-root_msm5012_20260701T000000Z_010000Z.json,landing_region_0351::landing_region_0417,landing_region_0351 -> landing_region_0417,6.833333333333333,22,22,8,4,1,0.012094395280235988,30,False,False,False,6.833333333333333,0.0
NA,D-Root,5012,dns-root_d-root_msm5012_20260701T000000Z_010000Z.json,landing_region_0351::landing_region_0420,landing_region_0351 -> landing_region_0420,6.833333333333333,22,22,8,4,1,0.012094395280235988,31,False,False,False,6.833333333333333,0.0
NA,D-Root,5012,dns-root_d-root_msm5012_20260701T000000Z_010000Z.json,landing_region_0132::landing_region_0988,landing_region_0132 -> landing_region_0988,6.0,6,6,6,3,1,0.010619469026548672,32,False,False,False,0.0,6.0
NA,D-Root,5012,dns-root_d-root_msm5012_20260701T000000Z_010000Z.json,landing_region_0174::landing_region_0975,landing_region_0174 -> landing_region_0975,6.0,6,6,4,2,1,0.010619469026548672,33,False,False,False,0.0,6.0
NA,D-Root,5012,dns-root_d-root_msm5012_20260701T000000Z_010000Z.json,landing_region_0200::landing_region_0944,landing_region_0200 -> landing_region_0944,6.0,6,6,4,2,1,0.010619469026548672,34,False,False,False,0.0,6.0
NA,D-Root,5012,dns-root_d-root_msm5012_20260701T000000Z_010000Z.json,landing_region_0242::landing_region_0975,landing_region_0242 -> landing_region_0975,6.0,6,6,4,2,1,0.010619469026548672,35,False,False,False,6.0,0.0
NA,D-Root,5012,dns-root_d-root_msm5012_20260701T000000Z_010000Z.json,landing_region_0610::landing_region_0770,landing_region_0610 -> landing_region_0770,6.0,6,6,4,2,1,0.010619469026548672,36,False,False,False,0.0,6.0
NA,D-Root,5012,dns-root_d-root_msm5012_20260701T000000Z_010000Z.json,landing_region_0041::landing_region_0625,landing_region_0041 -> landing_region_0625,5.0,5,5,4,2,1,0.008849557522123894,37,False,False,False,5.0,0.0
NA,D-Root,5012,dns-root_d-root_msm5012_20260701T000000Z_010000Z.json,landing_region_0351::landing_region_0512,landing_region_0351 -> landing_region_0512,5.0,10,10,7,4,1,0.008849557522123894,38,False,False,False,0.0,5.0
NA,D-Root,5012,dns-root_d-root_msm5012_20260701T000000Z_010000Z.json,landing_region_0051::landing_region_0051,landing_region_0051 -> landing_region_0051,4.5,6,6,4,2,1,0.007964601769911504,39,False,False,False,4.5,0.0
NA,D-Root,5012,dns-root_d-root_msm5012_20260701T000000Z_010000Z.json,landing_region_0271::landing_region_0362,landing_region_0271 -> landing_region_0362,4.0,4,4,3,2,1,0.007079646017699115,40,False,False,False,4.0,0.0
NA,D-Root,5012,dns-root_d-root_msm5012_20260701T000000Z_010000Z.json,landing_region_0351::landing_region_0528,landing_region_0351 -> landing_region_0528,3.5,5,5,5,3,1,0.006194690265486726,41,False,False,False,3.5,0.0
NA,D-Root,5012,dns-root_d-root_msm5012_20260701T000000Z_010000Z.json,landing_region_0512::landing_region_0640,landing_region_0512 -> landing_region_0640,3.5,7,7,4,3,1,0.006194690265486726,42,False,False,False,0.0,3.5
NA,D-Root,5012,dns-root_d-root_msm5012_20260701T000000Z_010000Z.json,landing_region_0041::landing_region_0041,landing_region_0041 -> landing_region_0041,3.0,3,3,2,1,1,0.005309734513274336,43,False,False,False,3.0,0.0
NA,D-Root,5012,dns-root_d-root_msm5012_20260701T000000Z_010000Z.json,landing_region_0041::landing_region_0903,landing_region_0041 -> landing_region_0903,3.0,3,3,2,1,1,0.005309734513274336,44,False,False,False,0.0,3.0
NA,D-Root,5012,dns-root_d-root_msm5012_20260701T000000Z_010000Z.json,landing_region_0089::landing_region_0271,landing_region_0089 -> landing_region_0271,3.0,3,3,2,1,1,0.005309734513274336,45,False,False,False,3.0,0.0
NA,D-Root,5012,dns-root_d-root_msm5012_20260701T000000Z_010000Z.json,landing_region_0132::landing_region_0230,landing_region_0132 -> landing_region_0230,3.0,3,3,2,1,1,0.005309734513274336,46,False,False,False,0.0,3.0
NA,D-Root,5012,dns-root_d-root_msm5012_20260701T000000Z_010000Z.json,landing_region_0132::landing_region_0867,landing_region_0132 -> landing_region_0867,3.0,3,3,2,1,1,0.005309734513274336,47,False,False,False,0.0,3.0
NA,D-Root,5012,dns-root_d-root_msm5012_20260701T000000Z_010000Z.json,landing_region_0174::landing_region_0201,landing_region_0174 -> landing_region_0201,3.0,3,3,2,1,1,0.005309734513274336,48,False,False,False,0.0,3.0
NA,D-Root,5012,dns-root_d-root_msm5012_20260701T000000Z_010000Z.json,landing_region_0230::landing_region_0266,landing_region_0230 -> landing_region_0266,3.0,3,3,2,1,1,0.005309734513274336,49,False,False,False,0.0,3.0
NA,D-Root,5012,dns-root_d-root_msm5012_20260701T000000Z_010000Z.json,landing_region_0266::landing_region_0892,landing_region_0266 -> landing_region_0892,3.0,3,3,2,1,1,0.005309734513274336,50,False,False,False,0.0,3.0
NA,D-Root,5012,dns-root_d-root_msm5012_20260701T000000Z_010000Z.json,landing_region_0297::landing_region_0556,landing_region_0297 -> landing_region_0556,3.0,3,3,2,1,1,0.005309734513274336,51,False,False,False,0.0,3.0
NA,D-Root,5012,dns-root_d-root_msm5012_20260701T000000Z_010000Z.json,landing_region_0741::landing_region_0892,landing_region_0741 -> landing_region_0892,3.0,3,3,2,1,1,0.005309734513274336,52,False,False,False,3.0,0.0
NA,D-Root,5012,dns-root_d-root_msm5012_20260701T000000Z_010000Z.json,landing_region_0132::landing_region_0132,landing_region_0132 -> landing_region_0132,2.333333333333333,7,7,6,3,1,0.004129793510324483,53,False,False,False,1.6666666666666665,0.6666666666666666
NA,D-Root,5012,dns-root_d-root_msm5012_20260701T000000Z_010000Z.json,landing_region_0132::landing_region_0487,landing_region_0132 -> landing_region_0487,2.333333333333333,7,7,6,3,1,0.004129793510324483,54,False,False,False,1.6666666666666665,0.6666666666666666
NA,D-Root,5012,dns-root_d-root_msm5012_20260701T000000Z_010000Z.json,landing_region_0132::landing_region_0807,landing_region_0132 -> landing_region_0807,2.333333333333333,7,7,6,3,1,0.004129793510324483,55,False,False,False,1.6666666666666665,0.6666666666666666
NA,D-Root,5012,dns-root_d-root_msm5012_20260701T000000Z_010000Z.json,landing_region_0030::landing_region_0337,landing_region_0030 -> landing_region_0337,2.0,2,2,2,1,1,0.0035398230088495575,56,False,False,False,0.0,2.0
NA,D-Root,5012,dns-root_d-root_msm5012_20260701T000000Z_010000Z.json,landing_region_0048::landing_region_0073,landing_region_0048 -> landing_region_0073,2.0,2,2,2,1,1,0.0035398230088495575,57,False,False,False,0.0,2.0
NA,D-Root,5012,dns-root_d-root_msm5012_20260701T000000Z_010000Z.json,landing_region_0102::landing_region_0431,landing_region_0102 -> landing_region_0431,2.0,2,2,2,1,1,0.0035398230088495575,58,False,False,False,0.0,2.0
NA,D-Root,5012,dns-root_d-root_msm5012_20260701T000000Z_010000Z.json,landing_region_0125::landing_region_0348,landing_region_0125 -> landing_region_0348,2.0,2,2,2,1,1,0.0035398230088495575,59,False,False,False,2.0,0.0
NA,D-Root,5012,dns-root_d-root_msm5012_20260701T000000Z_010000Z.json,landing_region_0174::landing_region_0465,landing_region_0174 -> landing_region_0465,2.0,2,2,2,1,1,0.0035398230088495575,60,False,False,False,2.0,0.0
NA,D-Root,5012,dns-root_d-root_msm5012_20260701T000000Z_010000Z.json,landing_region_0174::landing_region_0603,landing_region_0174 -> landing_region_0603,2.0,2,2,1,1,1,0.0035398230088495575,61,False,False,False,0.0,2.0
NA,D-Root,5012,dns-root_d-root_msm5012_20260701T000000Z_010000Z.json,landing_region_0187::landing_region_0195,landing_region_0187 -> landing_region_0195,2.0,2,2,2,1,1,0.0035398230088495575,62,False,False,False,2.0,0.0
NA,D-Root,5012,dns-root_d-root_msm5012_20260701T000000Z_010000Z.json,landing_region_0024::landing_region_0867,landing_region_0024 -> landing_region_0867,1.6666666666666665,5,5,4,2,1,0.002949852507374631,63,False,False,False,1.6666666666666665,0.0
