probe_country,total_valid_traces,mappable_traces,submarine_exposed_traces,service_physical_exposure_rate,mappable_trace_rate,unique_services,unique_probes,unique_probe_asns,unique_target_ips,unique_target_asns
IE,200,192,0,0.0,0.96,1,100,27,1,1
IL,70,68,64,0.9142857142857143,0.9714285714285714,1,35,13,1,1
IM,6,6,4,0.6666666666666666,1.0,1,3,3,1,1
IN,305,270,63,0.20655737704918034,0.8852459016393442,1,152,63,1,1
IQ,20,19,0,0.0,0.95,1,10,8,1,1
IR,94,40,0,0.0,0.425531914893617,1,47,24,1,1
IS,22,22,0,0.0,1.0,1,11,8,1,1
IT,685,645,2,0.00291970802919708,0.9416058394160584,1,344,117,1,1
JM,12,12,8,0.6666666666666666,1.0,1,6,3,1,1
JO,8,4,0,0.0,0.5,1,4,4,1,1
JP,585,544,64,0.1094017094017094,0.9299145299145299,1,291,117,1,1
KE,33,31,6,0.18181818181818182,0.9393939393939394,1,17,11,1,1
KG,46,40,0,0.0,0.8695652173913043,1,23,12,1,1
KH,14,12,2,0.14285714285714285,0.8571428571428571,1,7,7,1,1
KI,4,4,1,0.25,1.0,1,2,1,1,1
KN,2,2,2,1.0,1.0,1,1,1,1,1
KR,70,62,0,0.0,0.8857142857142857,1,35,14,1,1
KW,4,2,0,0.0,0.5,1,2,2,1,1
KY,2,2,2,1.0,1.0,1,1,1,1,1
KZ,145,145,0,0.0,1.0,1,73,23,1,1
LA,8,8,6,0.75,1.0,1,4,1,1,1
LB,8,6,2,0.25,0.75,1,4,4,1,1
LC,4,4,0,0.0,1.0,1,2,1,1,1
LI,6,6,0,0.0,1.0,1,3,3,1,1
LK,26,24,18,0.6923076923076923,0.9230769230769231,1,13,6,1,1
LR,2,2,0,0.0,1.0,1,1,1,1,1
LS,2,2,0,0.0,1.0,1,1,1,1,1
LT,86,82,0,0.0,0.9534883720930233,1,43,25,1,1
LU,96,90,0,0.0,0.9375,1,48,22,1,1
LV,62,59,4,0.06451612903225806,0.9516129032258065,1,31,21,1,1
MA,2,2,0,0.0,1.0,1,1,1,1,1
MD,51,51,0,0.0,1.0,1,26,14,1,1
ME,12,12,0,0.0,1.0,1,6,5,1,1
MG,4,4,0,0.0,1.0,1,2,1,1,1
MH,2,2,2,1.0,1.0,1,1,1,1,1
MK,26,24,0,0.0,0.9230769230769231,1,13,10,1,1
ML,2,2,2,1.0,1.0,1,1,1,1,1
MM,6,6,4,0.6666666666666666,1.0,1,3,3,1,1
MN,16,16,14,0.875,1.0,1,8,8,1,1
MP,2,2,2,1.0,1.0,1,1,1,1,1
MT,18,18,18,1.0,1.0,1,9,3,1,1
MU,16,14,0,0.0,0.875,1,8,4,1,1
MV,24,24,20,0.8333333333333334,1.0,1,12,4,1,1
MW,2,2,0,0.0,1.0,1,1,1,1,1
MX,114,108,2,0.017543859649122806,0.9473684210526315,1,57,27,1,1
MY,73,71,1,0.0136986301369863,0.9726027397260274,1,36,20,1,1
MZ,6,6,0,0.0,1.0,1,3,3,1,1
NA,8,8,0,0.0,1.0,1,4,3,1,1
NC,10,10,10,1.0,1.0,1,5,2,1,1
NG,20,20,0,0.0,1.0,1,10,6,1,1
NI,14,10,0,0.0,0.7142857142857143,1,7,5,1,1
NL,1335,1161,0,0.0,0.8696629213483146,1,668,185,1,1
NO,185,177,161,0.8702702702702703,0.9567567567567568,1,93,35,1,1
NP,31,31,0,0.0,1.0,1,16,10,1,1
NU,2,2,2,1.0,1.0,1,1,1,1,1
NZ,232,212,186,0.8017241379310345,0.9137931034482759,1,116,35,1,1
OM,4,4,4,1.0,1.0,1,2,2,1,1
PA,44,40,0,0.0,0.9090909090909091,1,22,10,1,1
PE,46,46,0,0.0,1.0,1,23,18,1,1
PF,12,12,0,0.0,1.0,1,6,1,1,1
PG,2,2,2,1.0,1.0,1,1,1,1,1
PH,132,126,71,0.5378787878787878,0.9545454545454546,1,66,35,1,1
PK,26,18,9,0.34615384615384615,0.6923076923076923,1,13,9,1,1
PL,464,443,2,0.004310344827586207,0.9547413793103449,1,232,132,1,1
PR,4,4,2,0.5,1.0,1,2,2,1,1
PS,2,0,0,0.0,0.0,1,1,1,1,1
PT,209,196,116,0.5550239234449761,0.937799043062201,1,105,23,1,1
PW,2,2,0,0.0,1.0,1,1,1,1,1
PY,22,20,0,0.0,0.9090909090909091,1,11,8,1,1
