country,msm_id,file_name,total_mappable_segments,total_observation_mass,unique_corridors_observed,top1_corridor_id,top1_corridor_share,top2_corridor_share,top3_corridor_share,effective_corridor_count,corridor_concentration_tier,is_corridor_concentrated,auditable_corridor_concentration,sufficient_corridor_observation,auditable_paper_case,observation_sufficiency_reason,failed_thresholds,unique_probes,unique_probe_asns,unique_measurements_or_targets,domestic_segment_share,international_segment_share
NZ,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,272,272.0,10,landing_region_0089::landing_region_0362,0.4485294117647059,0.5955882352941176,0.7279411764705883,5.8035407098447385,broad_corridor_observation_distribution,False,False,True,True,auditable,,24,9,1,0.8970588235294118,0.10294117647058823
PA,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,4,4.0,1,landing_region_0107::landing_region_0287,1.0,1.0,1.0,1.0,severe_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,1,1.0,0.0
PE,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,104,104.0,2,landing_region_0591::landing_region_0975,0.5384615384615384,1.0,1.0,1.9940857527753038,moderate_corridor_observation_concentration,True,True,True,True,auditable,,16,13,1,0.0,1.0
PG,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,4,4.0,1,landing_region_0041::landing_region_0758,1.0,1.0,1.0,1.0,severe_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,1,0.0,1.0
PH,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,282,282.00000000000006,38,landing_region_0133::landing_region_0250,0.4439716312056738,0.5361702127659574,0.6212765957446809,9.324942594887359,broad_corridor_observation_distribution,False,False,True,True,auditable,,29,17,1,0.6170212765957448,0.38297872340425526
PR,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,14,14.0,6,landing_region_0174::landing_region_0290,0.2857142857142857,0.5714285714285714,0.7142857142857142,5.200980011979321,broad_corridor_observation_distribution,False,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",2,2,1,0.0,1.0
PT,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,30,30.0,6,landing_region_0204::landing_region_0239,0.6666666666666666,0.7999999999999999,0.8666666666666666,3.0857158124254274,weak_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_unique_probes,minimum_unique_probe_asns","minimum_unique_probes,minimum_unique_probe_asns",5,2,1,0.8666666666666667,0.13333333333333333
QA,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,12,12.0,3,landing_region_0031::landing_region_0035,0.3333333333333333,0.6666666666666666,1.0,2.9999999999999996,weak_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,1,0.6666666666666666,0.3333333333333333
SE,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,396,396.00000000000006,14,landing_region_0051::landing_region_0512,0.2676767676767677,0.47474747474747475,0.6430976430976432,6.985083852586348,broad_corridor_observation_distribution,False,False,True,True,auditable,,34,17,1,0.919191919191919,0.0808080808080808
SG,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,372,372.0,15,landing_region_0061::landing_region_0132,0.3978494623655914,0.543010752688172,0.6612903225806451,6.861291753379087,broad_corridor_observation_distribution,False,False,True,True,auditable,,37,20,1,0.07526881720430108,0.9247311827956989
