country,msm_id,file_name,network_transition_key,network_transition_representation,hop_pair_as_class,network_transition_observation_count,unique_atomic_segments,share_of_network_transition_observations,rank_within_unit,is_top1_network_transition,is_top2_network_transition,is_top3_network_transition,used_country_fallback_transition,group_total_mappable_segments,group_unique_probes,group_unique_probe_asns,domestic_segment_count,international_segment_count
LK,5010,dns-root_b-root_msm5010_20260701T000000Z_010000Z.json,18001->18001,as_transition,intra_as_hop_pair,3,3,0.375,2,False,True,False,False,8,7,4,0,3
MM,5010,dns-root_b-root_msm5010_20260701T000000Z_010000Z.json,136168->136168,as_transition,intra_as_hop_pair,2,2,1.0,1,True,False,False,False,2,2,2,0,2
MP,5010,dns-root_b-root_msm5010_20260701T000000Z_010000Z.json,7131->7131,as_transition,intra_as_hop_pair,1,1,1.0,1,True,False,False,False,1,1,1,0,1
MT,5010,dns-root_b-root_msm5010_20260701T000000Z_010000Z.json,15735->1299,as_transition,cross_as_transition,2,2,1.0,1,True,False,False,False,2,2,1,0,2
MV,5010,dns-root_b-root_msm5010_20260701T000000Z_010000Z.json,7642->6939,as_transition,cross_as_transition,7,7,0.875,1,True,False,False,False,8,8,3,0,7
MV,5010,dns-root_b-root_msm5010_20260701T000000Z_010000Z.json,24016->45489,as_transition,cross_as_transition,1,1,0.125,2,False,True,False,False,8,8,3,0,1
MX,5010,dns-root_b-root_msm5010_20260701T000000Z_010000Z.json,265539->23520,as_transition,cross_as_transition,2,2,1.0,1,True,False,False,False,2,2,2,0,2
MY,5010,dns-root_b-root_msm5010_20260701T000000Z_010000Z.json,132372->6939,as_transition,cross_as_transition,1,1,0.5,1,True,False,False,False,2,2,1,0,1
MY,5010,dns-root_b-root_msm5010_20260701T000000Z_010000Z.json,38466->6453,as_transition,cross_as_transition,1,1,0.5,2,False,True,False,False,2,2,1,0,1
NC,5010,dns-root_b-root_msm5010_20260701T000000Z_010000Z.json,18200->38195,as_transition,cross_as_transition,6,6,1.0,1,True,False,False,False,6,5,2,0,6
