country,msm_id,file_name,as_boundary_transition_key,as_boundary_observation_count,share_of_as_boundary_observations,rank_within_unit,is_top1_as_boundary_transition,is_top2_as_boundary_transition,is_top3_as_boundary_transition,group_total_hop_pair_segments,group_cross_as_boundary_segments,group_intra_as_hop_pair_segments,group_country_fallback_segments,cross_as_boundary_coverage_rate,intra_as_hop_pair_share,country_fallback_share,group_unique_probes,group_unique_probe_asns
ID,5010,dns-root_b-root_msm5010_20260701T000000Z_010000Z.json,24203->6453,2,0.07407407407407407,5,False,False,False,62,27,28,7,0.43548387096774194,0.45161290322580644,0.11290322580645161,25,16
ID,5010,dns-root_b-root_msm5010_20260701T000000Z_010000Z.json,131111->2914,2,0.07407407407407407,6,False,False,False,62,27,28,7,0.43548387096774194,0.45161290322580644,0.11290322580645161,25,16
ID,5010,dns-root_b-root_msm5010_20260701T000000Z_010000Z.json,17451->174,1,0.037037037037037035,7,False,False,False,62,27,28,7,0.43548387096774194,0.45161290322580644,0.11290322580645161,25,16
ID,5010,dns-root_b-root_msm5010_20260701T000000Z_010000Z.json,138115->149391,1,0.037037037037037035,8,False,False,False,62,27,28,7,0.43548387096774194,0.45161290322580644,0.11290322580645161,25,16
ID,5010,dns-root_b-root_msm5010_20260701T000000Z_010000Z.json,149728->58389,1,0.037037037037037035,9,False,False,False,62,27,28,7,0.43548387096774194,0.45161290322580644,0.11290322580645161,25,16
ID,5010,dns-root_b-root_msm5010_20260701T000000Z_010000Z.json,135659->58389,1,0.037037037037037035,10,False,False,False,62,27,28,7,0.43548387096774194,0.45161290322580644,0.11290322580645161,25,16
ID,5010,dns-root_b-root_msm5010_20260701T000000Z_010000Z.json,142360->136106,1,0.037037037037037035,11,False,False,False,62,27,28,7,0.43548387096774194,0.45161290322580644,0.11290322580645161,25,16
ID,5010,dns-root_b-root_msm5010_20260701T000000Z_010000Z.json,138840->6939,1,0.037037037037037035,12,False,False,False,62,27,28,7,0.43548387096774194,0.45161290322580644,0.11290322580645161,25,16
ID,5010,dns-root_b-root_msm5010_20260701T000000Z_010000Z.json,23947->2914,1,0.037037037037037035,13,False,False,False,62,27,28,7,0.43548387096774194,0.45161290322580644,0.11290322580645161,25,16
ID,5010,dns-root_b-root_msm5010_20260701T000000Z_010000Z.json,147094->2914,1,0.037037037037037035,14,False,False,False,62,27,28,7,0.43548387096774194,0.45161290322580644,0.11290322580645161,25,16
