probe_country,service_id,msm_id,file_name,total_mappable_segments,top1_network_transition_share,top2_network_transition_share,top3_network_transition_share,effective_network_transition_count,network_transition_concentration_tier,top1_corridor_share,top2_corridor_share,top3_corridor_share,effective_corridor_count,corridor_concentration_tier,cross_layer_distribution_class,country_fallback_share,auditable_cross_layer_case,sufficient_trace_observation,sufficient_corridor_observation,sufficient_network_transition_resolution,auditable_paper_case,observation_sufficiency_reason,failed_thresholds,unique_probes,unique_probe_asns,domestic_segment_share,international_segment_share
CO,M-Root,5006,dns-root_m-root_msm5006_20260701T000000Z_010000Z.json,38,0.3684210526315789,0.6052631578947368,0.763157894736842,4.961953671502598,broad_network_transition_distribution,0.2894736842105263,0.5263157894736842,0.631578947368421,6.97376630249414,broad_corridor_observation_distribution,network_and_physical_both_broad,0.0,False,False,False,True,False,insufficient_minimum_unique_probes,minimum_unique_probes,5,3,0.07894736842105263,0.9210526315789473
CU,M-Root,5006,dns-root_m-root_msm5006_20260701T000000Z_010000Z.json,1,1.0,1.0,1.0,1.0,severe_network_transition_concentration,1.0,1.0,1.0,1.0,severe_corridor_observation_concentration,network_and_physical_both_concentrated,0.0,False,False,False,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,0.0,1.0
CY,M-Root,5006,dns-root_m-root_msm5006_20260701T000000Z_010000Z.json,19,0.3157894736842105,0.631578947368421,0.8421052631578947,3.8477358215252986,weak_network_transition_concentration,0.3157894736842105,0.47368421052631576,0.631578947368421,6.014685717290495,broad_corridor_observation_distribution,network_and_physical_both_broad,0.0,False,False,False,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",2,1,0.6842105263157895,0.3157894736842105
CZ,M-Root,5006,dns-root_m-root_msm5006_20260701T000000Z_010000Z.json,11,0.5454545454545454,0.8181818181818181,1.0,2.7045177963242053,moderate_network_transition_concentration,0.5454545454545454,0.7272727272727273,0.8636363636363635,3.2672994019432497,weak_corridor_observation_concentration,network_and_physical_both_concentrated,0.0,False,False,False,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",2,1,0.2727272727272727,0.7272727272727273
DE,M-Root,5006,dns-root_m-root_msm5006_20260701T000000Z_010000Z.json,187,0.5401069518716578,0.716577540106952,0.7807486631016043,4.9729474772633235,broad_network_transition_distribution,0.2700534759358289,0.5401069518716578,0.732620320855615,6.162953830225216,broad_corridor_observation_distribution,network_and_physical_both_broad,0.0,True,True,True,True,True,auditable,,34,12,0.6524064171122995,0.34759358288770054
DJ,M-Root,5006,dns-root_m-root_msm5006_20260701T000000Z_010000Z.json,5,0.6,0.8,1.0,2.586409289858933,moderate_network_transition_concentration,0.8,0.9,1.0,1.8946457081379977,severe_corridor_observation_concentration,network_and_physical_both_concentrated,0.0,False,False,False,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",2,2,0.2,0.8
DK,M-Root,5006,dns-root_m-root_msm5006_20260701T000000Z_010000Z.json,409,0.2713936430317848,0.5427872860635696,0.6161369193154034,8.798021583803028,broad_network_transition_distribution,0.38875305623471884,0.5953545232273839,0.7518337408312958,5.296567076954043,broad_corridor_observation_distribution,network_and_physical_both_broad,0.0,True,True,True,True,True,auditable,,53,15,0.5427872860635696,0.4572127139364303
DO,M-Root,5006,dns-root_m-root_msm5006_20260701T000000Z_010000Z.json,53,0.2641509433962264,0.4339622641509434,0.6037735849056604,6.212912022300524,broad_network_transition_distribution,0.22641509433962265,0.4339622641509434,0.6226415094339623,6.153047420498465,broad_corridor_observation_distribution,network_and_physical_both_broad,0.0,False,False,False,True,False,insufficient_minimum_unique_probes,minimum_unique_probes,5,4,0.2830188679245283,0.7169811320754716
EC,M-Root,5006,dns-root_m-root_msm5006_20260701T000000Z_010000Z.json,28,0.42857142857142855,0.8214285714285714,0.9285714285714285,3.1835446928158935,moderate_network_transition_concentration,0.8214285714285714,0.8928571428571428,0.9464285714285714,1.9418998007085448,severe_corridor_observation_concentration,network_and_physical_both_concentrated,0.0,False,False,False,True,False,insufficient_minimum_mappable_segments,minimum_mappable_segments,10,9,0.10714285714285714,0.8928571428571429
EE,M-Root,5006,dns-root_m-root_msm5006_20260701T000000Z_010000Z.json,48,0.375,0.625,0.7708333333333334,4.762591922730732,broad_network_transition_distribution,0.3958333333333333,0.5833333333333333,0.7708333333333333,4.75987003485251,broad_corridor_observation_distribution,network_and_physical_both_broad,0.0,False,False,False,True,False,"insufficient_minimum_unique_probes,minimum_unique_probe_asns","minimum_unique_probes,minimum_unique_probe_asns",4,2,0.0625,0.9375
