probe_country,total_valid_traces,mappable_traces,submarine_exposed_traces,service_physical_exposure_rate,mappable_trace_rate,unique_services,unique_probes,unique_probe_asns,unique_target_ips,unique_target_asns
PE,46,46,10,0.21739130434782608,1.0,1,23,18,1,1
PF,12,12,0,0.0,1.0,1,6,1,1,1
PG,2,2,2,1.0,1.0,1,1,1,1,1
PH,132,126,87,0.6590909090909091,0.9545454545454546,1,66,35,1,1
PK,26,18,13,0.5,0.6923076923076923,1,13,9,1,1
PL,469,449,56,0.11940298507462686,0.9573560767590619,1,234,133,1,1
PR,4,4,4,1.0,1.0,1,2,2,1,1
PS,2,2,0,0.0,1.0,1,1,1,1,1
PT,209,199,91,0.4354066985645933,0.9521531100478469,1,104,23,1,1
PW,2,2,0,0.0,1.0,1,1,1,1,1
PY,22,20,0,0.0,0.9090909090909091,1,11,8,1,1
QA,2,2,2,1.0,1.0,1,1,1,1,1
RE,103,103,53,0.5145631067961165,1.0,1,52,5,1,1
RO,179,177,0,0.0,0.9888268156424581,1,90,47,1,1
RS,102,97,2,0.0196078431372549,0.9509803921568627,1,51,21,1,1
RU,1039,990,30,0.028873917228103944,0.9528392685274302,1,519,308,1,1
RW,2,2,0,0.0,1.0,1,1,1,1,1
SA,48,36,4,0.08333333333333333,0.75,1,24,12,1,1
SE,468,444,153,0.3269230769230769,0.9487179487179487,1,233,78,1,1
SG,297,279,173,0.5824915824915825,0.9393939393939394,1,149,66,1,1
SI,98,90,0,0.0,0.9183673469387755,1,49,22,1,1
SK,113,105,0,0.0,0.9292035398230089,1,56,22,1,1
SL,4,2,2,0.5,0.5,1,2,2,1,1
SM,2,2,0,0.0,1.0,1,1,1,1,1
SN,4,4,4,1.0,1.0,1,2,2,1,1
SR,2,2,0,0.0,1.0,1,1,1,1,1
SS,2,2,2,1.0,1.0,1,1,1,1,1
SV,29,23,0,0.0,0.7931034482758621,1,15,10,1,1
SY,6,0,0,0.0,0.0,1,3,2,1,1
TD,2,2,0,0.0,1.0,1,1,1,1,1
TG,2,2,0,0.0,1.0,1,1,1,1,1
TH,98,95,10,0.10204081632653061,0.9693877551020408,1,49,29,1,1
TJ,28,26,0,0.0,0.9285714285714286,1,14,11,1,1
TL,8,8,8,1.0,1.0,1,4,2,1,1
TN,16,14,0,0.0,0.875,1,8,5,1,1
TO,2,2,2,1.0,1.0,1,1,1,1,1
TR,138,131,0,0.0,0.9492753623188406,1,69,30,1,1
TT,2,2,0,0.0,1.0,1,1,1,1,1
TV,2,2,2,1.0,1.0,1,1,1,1,1
TW,159,153,131,0.8238993710691824,0.9622641509433962,1,80,33,1,1
TZ,12,10,0,0.0,0.8333333333333334,1,6,5,1,1
UA,330,318,2,0.006060606060606061,0.9636363636363636,1,165,115,1,1
UG,12,12,2,0.16666666666666666,1.0,1,6,4,1,1
US,3779,3638,312,0.0825615242127547,0.9626885419423128,1,1887,512,1,1
UY,42,42,0,0.0,1.0,1,21,5,1,1
UZ,20,18,0,0.0,0.9,1,10,8,1,1
VA,2,2,1,0.5,1.0,1,1,1,1,1
VE,76,68,12,0.15789473684210525,0.8947368421052632,1,38,25,1,1
VI,6,6,4,0.6666666666666666,1.0,1,3,2,1,1
VN,56,56,5,0.08928571428571429,1.0,1,28,16,1,1
VU,4,2,2,0.5,0.5,1,2,1,1,1
YE,2,2,0,0.0,1.0,1,1,1,1,1
ZA,269,261,112,0.4163568773234201,0.9702602230483272,1,134,71,1,1
ZM,8,7,2,0.25,0.875,1,4,4,1,1
ZW,6,6,0,0.0,1.0,1,3,2,1,1
