probe_country,total_valid_traces,mappable_traces,submarine_exposed_traces,service_physical_exposure_rate,mappable_trace_rate,unique_services,unique_probes,unique_probe_asns,unique_target_ips,unique_target_asns
PG,2,2,2,1.0,1.0,1,1,1,1,1
PH,132,101,39,0.29545454545454547,0.7651515151515151,1,66,35,1,1
PK,26,12,9,0.34615384615384615,0.46153846153846156,1,13,9,1,1
PL,465,436,0,0.0,0.9376344086021505,1,233,132,1,1
PR,4,4,4,1.0,1.0,1,2,2,1,1
PS,2,2,0,0.0,1.0,1,1,1,1,1
PT,210,177,57,0.2714285714285714,0.8428571428571429,1,105,23,1,1
PW,1,1,0,0.0,1.0,1,1,1,1,1
PY,22,16,0,0.0,0.7272727272727273,1,11,8,1,1
QA,2,2,0,0.0,1.0,1,1,1,1,1
RE,104,104,0,0.0,1.0,1,52,5,1,1
RO,179,94,2,0.0111731843575419,0.5251396648044693,1,90,47,1,1
RS,102,87,0,0.0,0.8529411764705882,1,51,21,1,1
RU,1043,826,1,0.0009587727708533077,0.7919463087248322,1,521,308,1,1
RW,2,2,0,0.0,1.0,1,1,1,1,1
SA,48,18,1,0.020833333333333332,0.375,1,24,12,1,1
SE,465,432,160,0.34408602150537637,0.9290322580645162,1,232,78,1,1
SG,301,222,168,0.5581395348837209,0.7375415282392026,1,150,67,1,1
SI,97,81,0,0.0,0.8350515463917526,1,49,22,1,1
SK,112,100,0,0.0,0.8928571428571429,1,56,22,1,1
SL,4,0,0,0.0,0.0,1,2,2,1,1
SM,2,2,0,0.0,1.0,1,1,1,1,1
SN,4,4,0,0.0,1.0,1,2,2,1,1
SR,1,1,1,1.0,1.0,1,1,1,1,1
SS,2,2,2,1.0,1.0,1,1,1,1,1
SV,29,18,2,0.06896551724137931,0.6206896551724138,1,15,10,1,1
SY,6,0,0,0.0,0.0,1,3,2,1,1
TD,2,2,0,0.0,1.0,1,1,1,1,1
TG,2,2,2,1.0,1.0,1,1,1,1,1
TH,98,71,12,0.12244897959183673,0.7244897959183674,1,49,29,1,1
TJ,28,20,0,0.0,0.7142857142857143,1,14,11,1,1
TL,8,8,8,1.0,1.0,1,4,2,1,1
TN,16,12,0,0.0,0.75,1,8,5,1,1
TO,2,2,2,1.0,1.0,1,1,1,1,1
TR,138,117,17,0.12318840579710146,0.8478260869565217,1,69,30,1,1
TT,2,2,0,0.0,1.0,1,1,1,1,1
TV,2,2,2,1.0,1.0,1,1,1,1,1
TW,162,156,127,0.7839506172839507,0.9629629629629629,1,81,34,1,1
TZ,12,6,0,0.0,0.5,1,6,5,1,1
UA,328,183,0,0.0,0.5579268292682927,1,165,115,1,1
UG,12,12,4,0.3333333333333333,1.0,1,6,4,1,1
US,3783,3407,341,0.0901401004493788,0.9006079830822099,1,1889,513,1,1
UY,42,40,0,0.0,0.9523809523809523,1,21,5,1,1
UZ,20,18,0,0.0,0.9,1,10,8,1,1
VA,2,2,0,0.0,1.0,1,1,1,1,1
VE,78,45,12,0.15384615384615385,0.5769230769230769,1,39,25,1,1
VI,6,6,4,0.6666666666666666,1.0,1,3,2,1,1
VN,56,56,30,0.5357142857142857,1.0,1,28,16,1,1
VU,4,2,2,0.5,0.5,1,2,1,1,1
YE,2,2,0,0.0,1.0,1,1,1,1,1
ZA,266,179,2,0.007518796992481203,0.6729323308270677,1,133,71,1,1
ZM,8,6,0,0.0,0.75,1,4,4,1,1
ZW,6,6,0,0.0,1.0,1,3,2,1,1
