probe_country,service_id,msm_id,file_name,total_mappable_segments,total_observation_mass,unique_corridors_observed,top1_corridor_id,top1_corridor_share,top2_corridor_share,top3_corridor_share,effective_corridor_count,corridor_concentration_tier,is_corridor_concentrated,auditable_corridor_concentration,sufficient_corridor_observation,auditable_paper_case,observation_sufficiency_reason,failed_thresholds,unique_probes,unique_probe_asns,unique_measurements_or_targets,domestic_segment_share,international_segment_share
PR,J-Root,5016,dns-root_j-root_msm5016_20260701T000000Z_010000Z.json,3,3.0,2,landing_region_0174::landing_region_0290,0.5,1.0,1.0,2.0,moderate_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,1,0.0,1.0
PT,J-Root,5016,dns-root_j-root_msm5016_20260701T000000Z_010000Z.json,25,25.0,5,landing_region_0204::landing_region_0239,0.52,0.66,0.8,3.8615566579171605,weak_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",3,2,1,1.0,0.0
RO,J-Root,5016,dns-root_j-root_msm5016_20260701T000000Z_010000Z.json,38,38.0,3,landing_region_0149::landing_region_0174,0.7368421052631579,0.9342105263157894,1.0,2.063321495039293,moderate_corridor_observation_concentration,True,False,False,False,insufficient_minimum_unique_probes,minimum_unique_probes,7,3,1,0.868421052631579,0.13157894736842105
RU,J-Root,5016,dns-root_j-root_msm5016_20260701T000000Z_010000Z.json,3,3.0,2,landing_region_0351::landing_region_0512,0.5,1.0,1.0,2.0,moderate_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,1,0.0,1.0
SE,J-Root,5016,dns-root_j-root_msm5016_20260701T000000Z_010000Z.json,386,386.00000000000006,14,landing_region_0351::landing_region_0512,0.21243523316062177,0.42487046632124353,0.594559585492228,8.48162970229427,broad_corridor_observation_distribution,False,False,True,True,auditable,,39,11,1,0.5310880829015543,0.46891191709844554
SG,J-Root,5016,dns-root_j-root_msm5016_20260701T000000Z_010000Z.json,94,94.0,13,landing_region_0132::landing_region_0230,0.43617021276595747,0.5319148936170213,0.601063829787234,7.391186172880016,broad_corridor_observation_distribution,False,False,False,False,insufficient_minimum_unique_probes,minimum_unique_probes,8,4,1,0.35106382978723405,0.648936170212766
SV,J-Root,5016,dns-root_j-root_msm5016_20260701T000000Z_010000Z.json,4,4.0,2,landing_region_0174::landing_region_0775,0.5,1.0,1.0,2.0,moderate_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,1,0.0,1.0
TG,J-Root,5016,dns-root_j-root_msm5016_20260701T000000Z_010000Z.json,4,4.0,1,landing_region_0239::landing_region_0586,1.0,1.0,1.0,1.0,severe_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,1,0.0,1.0
TH,J-Root,5016,dns-root_j-root_msm5016_20260701T000000Z_010000Z.json,38,38.0,5,landing_region_0132::landing_region_0892,0.47368421052631576,0.894736842105263,0.9473684210526315,2.899607801889517,moderate_corridor_observation_concentration,True,False,False,False,insufficient_minimum_unique_probes,minimum_unique_probes,6,4,1,0.5263157894736842,0.47368421052631576
TL,J-Root,5016,dns-root_j-root_msm5016_20260701T000000Z_010000Z.json,12,12.0,4,landing_region_0009::landing_region_0041,0.3333333333333333,0.6666666666666666,0.8333333333333333,3.77976314968462,weak_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,1,1.0,0.0
TN,J-Root,5016,dns-root_j-root_msm5016_20260701T000000Z_010000Z.json,9,9.0,1,landing_region_0166::landing_region_0431,1.0,1.0,1.0,1.0,severe_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",2,1,1,0.0,1.0
TO,J-Root,5016,dns-root_j-root_msm5016_20260701T000000Z_010000Z.json,10,10.0,2,landing_region_0041::landing_region_0903,0.5,1.0,1.0,2.0,moderate_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,1,0.0,1.0
TR,J-Root,5016,dns-root_j-root_msm5016_20260701T000000Z_010000Z.json,55,55.0,2,landing_region_0088::landing_region_0461,0.6727272727272727,1.0,1.0,1.8818030338178096,moderate_corridor_observation_concentration,True,False,False,False,insufficient_minimum_unique_probes,minimum_unique_probes,9,4,1,0.32727272727272727,0.6727272727272727
TT,J-Root,5016,dns-root_j-root_msm5016_20260701T000000Z_010000Z.json,2,2.0,1,landing_region_0742::landing_region_0742,1.0,1.0,1.0,1.0,severe_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,1,1.0,0.0
TV,J-Root,5016,dns-root_j-root_msm5016_20260701T000000Z_010000Z.json,8,8.0,2,landing_region_0041::landing_region_0735,0.5,1.0,1.0,2.0,moderate_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,1,0.5,0.5
TW,J-Root,5016,dns-root_j-root_msm5016_20260701T000000Z_010000Z.json,641,641.0,16,landing_region_0024::landing_region_0266,0.3673946957878315,0.6123244929797191,0.7878315132605305,5.830857051848753,broad_corridor_observation_distribution,False,False,True,True,auditable,,39,13,1,0.6801872074882995,0.31981279251170047
UG,J-Root,5016,dns-root_j-root_msm5016_20260701T000000Z_010000Z.json,10,10.0,2,landing_region_0239::landing_region_0573,0.5,1.0,1.0,2.0,moderate_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,1,0.0,1.0
US,J-Root,5016,dns-root_j-root_msm5016_20260701T000000Z_010000Z.json,647,647.0,25,landing_region_0149::landing_region_0149,0.3361669242658423,0.6723338485316847,0.8670788253477588,5.464828135511164,weak_corridor_observation_concentration,True,True,True,True,auditable,,71,28,1,0.9706336939721792,0.02936630602782071
UY,J-Root,5016,dns-root_j-root_msm5016_20260701T000000Z_010000Z.json,2,2.0,1,landing_region_0174::landing_region_0770,1.0,1.0,1.0,1.0,severe_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,1,0.0,1.0
